,human,explain,create,continue
pos_prop_ADV,0.040968342644320296,0.018726591760299626,0.030141843971631204,0.025408348457350273
pos_prop_NOUN,0.19366852886405958,0.24344569288389514,0.21099290780141844,0.2413793103448276
pos_prop_PUNCT,0.14152700186219738,0.10674157303370786,0.11879432624113476,0.10526315789473684
pos_prop_SCONJ,0.0186219739292365,0.00749063670411985,0.0070921985815602835,0.009074410163339383
pos_prop_PROPN,0.06890130353817504,0.052434456928838954,0.0726950354609929,0.016333938294010888
pos_prop_DET,0.09124767225325885,0.11423220973782772,0.1276595744680851,0.14156079854809436
pos_prop_ADJ,0.054003724394785846,0.056179775280898875,0.07092198581560284,0.04900181488203267
pos_prop_ADP,0.0782122905027933,0.10486891385767791,0.09397163120567376,0.1306715063520871
pos_prop_PART,0.03910614525139665,0.026217228464419477,0.01950354609929078,0.010889292196007259
pos_prop_VERB,0.11731843575418995,0.12359550561797752,0.12943262411347517,0.10707803992740472
pos_prop_PRON,0.074487895716946,0.04868913857677903,0.051418439716312055,0.06352087114337568
pos_prop_CCONJ,0.0223463687150838,0.04681647940074907,0.030141843971631204,0.045372050816696916
pos_prop_NUM,0.01303538175046555,0.013108614232209739,,0.010889292196007259
pos_prop_AUX,0.04655493482309125,0.03745318352059925,0.03723404255319149,0.043557168784029036
first_order_coherence,0.7355587372073421,0.8099425228742453,0.831800684928894,0.8289290467898051
second_order_coherence,0.6830482666309063,0.8131253099441529,0.8276640673478445,0.8391342292661252
passed_quality_check,True,True,True,True
n_stop_words,229.0,227.0,219.0,259.0
alpha_ratio,0.8547486033519553,0.8838951310861424,0.8812056737588653,0.8874773139745916
mean_word_length,4.100558659217877,4.571161048689139,4.849290780141844,4.366606170598911
doc_length,537.0,534.0,564.0,551.0
top_ngram_chr_fraction_2,0.011307953260459858,0.022336769759450172,0.01858736059479554,0.016580310880829015
oov_ratio,0.00558659217877095,0.0018726591760299626,0.0017730496453900709,
flesch_reading_ease,75.02535714285715,65.41781668222848,49.792283897643955,66.66589756097564
flesch_kincaid_grade,6.769642857142859,8.514547152194215,11.024878296146046,8.849834146341465
smog,9.696096459569626,10.504223727775692,13.149919865122353,10.878246069084
gunning_fog,9.70357142857143,10.83336445689387,14.075487595568731,11.611837398373986
automated_readability_index,8.564017857142854,10.954604730781199,13.454197222655644,10.868658536585365
coleman_liau_index,9.807499999999994,11.945714285714281,14.352778904665314,10.73349593495935
lix,37.42857142857143,45.780890133831306,53.44429708222812,45.4930081300813
rix,3.4285714285714284,4.962962962962963,6.538461538461538,5.08
token_length_mean,4.669642857142857,5.004201680672269,5.393509127789047,4.7682926829268295
token_length_median,4.0,4.0,5.0,4.0
token_length_std,2.4572719806188923,2.517164436357117,2.906821811014864,2.6731065656057695
sentence_length_mean,16.0,17.62962962962963,18.96153846153846,19.68
sentence_length_median,13.0,17.0,19.5,18.0
sentence_length_std,10.22601723895616,5.012193636324416,5.860432966617144,3.7172032497564618
syllables_per_token_mean,1.3660714285714286,1.4600840336134453,1.6288032454361054,1.420731707317073
syllables_per_token_median,1.0,1.0,1.0,1.0
syllables_per_token_std,0.7646840584082248,0.759037422044791,0.8997080819283751,0.8088792514746503
n_tokens,448,476,493,492
n_unique_tokens,269,265,248,245
proportion_unique_tokens,0.6004464285714286,0.5567226890756303,0.5030425963488844,0.49796747967479676
n_characters,2202,2441,2735,2406
n_sentences,28,27,26,25
entropy,16.48394760799866,16.54424818843565,18.673307345770358,18.695100468586205
perplexity,14417417.871333824,15313543.462474938,128740247.33315852,131576694.61561097
per_word_perplexity,26848.077972688687,28677.047682537337,228262.84988148673,238796.1789757005
dependency_distance_mean,2.4616527344051975,2.5216060829290643,2.723964604386263,2.6497639253992196
dependency_distance_std,0.7380013381043853,0.4537200312276063,0.42300605071454417,0.40322178724162455
prop_adjacent_dependency_relation_mean,0.4433420258686089,0.4853890381768616,0.4364257215624583,0.4637078646843353
prop_adjacent_dependency_relation_std,0.09978447591859826,0.05328849011729856,0.059643531058102155,0.046849140581337594
connectives,11,10,10,7
connectives_cap,2,1,2,2
top_ngram_chr_fraction_3,,0.03127147766323024,0.03717472118959108,
duplicate_ngram_chr_fraction_5,,,0.040892193308550186,
top_ngram_chr_fraction_4,,,0.015799256505576207,
