,human,continue,create,explain
entropy,24.180842551855992,19.05413970563617,14.362673227566347,15.777270870874577
perplexity,31739968254.02711,188411640.75339442,1728342.1765267462,7111835.108048696
per_word_perplexity,45999953.99134364,262777.74163653335,2526.8160475537225,11601.688593880417
pos_prop_ADJ,0.06521739130434782,0.08368200836820083,0.13157894736842105,0.08156606851549755
pos_prop_NOUN,0.16521739130434782,0.200836820083682,0.23830409356725146,0.22838499184339314
pos_prop_ADV,0.043478260869565216,0.061366806136680614,0.033625730994152045,0.03425774877650897
pos_prop_VERB,0.13623188405797101,0.13110181311018132,0.13450292397660818,0.15823817292006526
pos_prop_PRON,0.12173913043478261,0.11157601115760112,0.039473684210526314,0.052202283849918436
pos_prop_ADP,0.09565217391304348,0.12412831241283125,0.11257309941520467,0.1272430668841762
pos_prop_DET,0.07971014492753623,0.0502092050209205,0.05116959064327485,0.08972267536704731
pos_prop_PART,0.04927536231884058,0.029288702928870293,0.019005847953216373,0.026101141924959218
pos_prop_PUNCT,0.0927536231884058,0.08786610878661087,0.09064327485380116,0.08156606851549755
pos_prop_PROPN,0.015942028985507246,0.005578800557880056,0.049707602339181284,0.022838499184339316
pos_prop_AUX,0.06811594202898551,0.03626220362622036,0.02631578947368421,0.022838499184339316
pos_prop_NUM,0.010144927536231883,0.001394700139470014,0.0043859649122807015,0.004893964110929853
pos_prop_CCONJ,0.03768115942028986,0.03765690376569038,0.02631578947368421,0.037520391517128875
pos_prop_SCONJ,0.017391304347826087,0.023709902370990237,0.021929824561403508,0.01794453507340946
pos_prop_SYM,0.0014492753623188406,,,
flesch_reading_ease,77.72749350649353,54.76242788461539,20.52516162165429,45.66196135957068
flesch_kincaid_grade,6.790233766233765,10.667259615384616,16.03671198114918,12.445247942754921
smog,9.534367207540994,13.278272487818896,17.20852691384213,14.206526018710303
gunning_fog,9.897142857142859,14.340384615384615,19.78294967071476,15.670296958855099
automated_readability_index,7.555714285714284,12.906665384615387,20.52532656637061,15.51597495527728
coleman_liau_index,7.718181818181815,12.929784615384612,21.101859706362152,15.042647584973167
lix,36.75584415584416,49.38942307692308,70.82768412784726,58.13817531305904
rix,3.3714285714285714,5.90625,10.925925925925926,8.0
first_order_coherence,0.7915349164429832,0.8113136522231563,0.8259904292913584,0.8577994257211685
second_order_coherence,0.7786164446310564,0.8247511486212412,0.8213327360153199,0.848804860011391
token_length_mean,4.285714285714286,5.133846153846154,6.497553017944535,5.470483005366726
token_length_median,4.0,4.0,6.0,5.0
token_length_std,2.4737958784502565,2.9381719551227463,3.426517436806957,2.8376660802155698
sentence_length_mean,17.6,20.3125,22.703703703703702,22.36
sentence_length_median,15.0,19.5,21.0,23.0
sentence_length_std,8.336494638464231,6.171696991103825,8.881169487616148,5.527241626706761
syllables_per_token_mean,1.3149350649350648,1.5538461538461539,1.9298531810766721,1.6368515205724508
syllables_per_token_median,1.0,1.0,1.0,1.0
syllables_per_token_std,0.6483027258579636,0.9086044960143631,1.163602219516243,0.8844521248423326
n_tokens,616,650,613,559
n_unique_tokens,269,340,372,304
proportion_unique_tokens,0.4366883116883117,0.5230769230769231,0.6068515497553018,0.5438282647584973
n_characters,2725,3409,4060,3116
n_sentences,35,32,27,25
passed_quality_check,True,True,True,True
n_stop_words,386.0,349.0,216.0,256.0
alpha_ratio,0.8985507246376812,0.8967921896792189,0.8830409356725146,0.9004893964110929
mean_word_length,3.949275362318841,4.754532775453278,5.935672514619883,5.083197389885807
doc_length,690.0,717.0,684.0,613.0
symbol_to_word_ratio_#,0.0,0.0,0.0,0.0
proportion_ellipsis,0.0,0.0,0.0,0.0
proportion_bullet_points,0.0,0.0,0.0,0.0
contains_lorem ipsum,0.0,0.0,0.0,0.0
duplicate_line_chr_fraction,0.0,0.0,0.0,0.0
duplicate_paragraph_chr_fraction,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_5,0.009378663540445486,0.010899182561307902,0.017680034497628287,0.0
duplicate_ngram_chr_fraction_6,0.0,0.0,0.017680034497628287,0.0
duplicate_ngram_chr_fraction_7,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_8,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_9,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_10,0.0,0.0,0.0,0.0
top_ngram_chr_fraction_2,0.008792497069167644,0.008174386920980926,0.007761966364812419,0.00738512035010941
top_ngram_chr_fraction_3,0.013188745603751465,0.0,0.01207416990081932,0.016411378555798686
top_ngram_chr_fraction_4,0.0,0.0,0.0,0.011487964989059081
oov_ratio,0.0,0.015341701534170154,0.02046783625730994,0.01468189233278956
dependency_distance_mean,2.516767399027533,2.585451361683597,2.723163518421868,2.7813955483844963
dependency_distance_std,0.5094063083649731,0.39502614008589815,0.5285373951313945,0.4841329587379019
prop_adjacent_dependency_relation_mean,0.44625468620681635,0.4810906846002169,0.4931532711817046,0.49616461853696636
prop_adjacent_dependency_relation_std,0.06620585625169699,0.07680352089352864,0.07149402370332415,0.09211847658470597
connectives,17,25,12,18
connectives_cap,3,6,2,4
pos_prop_SPACE,,0.015341701534170154,0.02046783625730994,0.01468189233278956
