feature,human,create,continue,explain
n_stop_words,166.6,160.0,165.2,181.0
alpha_ratio,0.8164601127914846,0.8505533044995474,0.8640938924190573,0.8776889731570083
mean_word_length,4.848964431980589,5.348746140600148,5.320903157225837,5.284691868806162
doc_length,550.4,534.2,527.2,518.2
duplicate_ngram_chr_fraction_5,0.038430541888187134,0.11005846996311974,0.054503787505718514,0.02645017170411964
top_ngram_chr_fraction_2,0.016206302484897767,0.013544581982722945,0.020827959774370863,0.011073732862321535
top_ngram_chr_fraction_3,0.019397136353367518,0.01730140778644199,0.024493453876597387,0.019847409841719052
top_ngram_chr_fraction_4,0.019295510818230287,0.017507758268647443,0.031142579680011682,0.02557544757033248
oov_ratio,0.016273607780799247,0.012602271120990112,0.022925548806848606,0.01934254415473783
pos_prop_NOUN,0.2533774995964777,0.26752606657253686,0.28833049919337767,0.27286278323359675
pos_prop_AUX,0.036667983779013605,0.029620118033009478,0.03965104252669267,0.027847008786639593
pos_prop_VERB,0.08325236480854108,0.10203094345447476,0.10830229201748223,0.10020579037367203
pos_prop_DET,0.056244414724272086,0.07765848925751576,0.07018616701364963,0.08351782988157924
pos_prop_ADP,0.10301209699056499,0.11747169605139511,0.10309555148422951,0.11961800363210233
pos_prop_PART,0.013100491551878608,0.012445305727998821,0.012592409529741708,0.012463411274494669
pos_prop_ADJ,0.10425388114684861,0.11983744632677937,0.12009505776813127,0.11656945034964739
pos_prop_PUNCT,0.13663759888652507,0.1288057125262841,0.12839214110577465,0.11234435708022561
pos_prop_PRON,0.01162335191191655,0.014503861121212464,0.015237519606097833,0.015419741505779743
pos_prop_PROPN,0.07165617963043232,0.05640433942163943,0.03170566154321262,0.044512993085433515
pos_prop_ADV,0.0355857315085671,0.023411914309414243,0.024369179899367634,0.02544478973671402
pos_prop_CCONJ,0.04215550382742671,0.032061775886927525,0.04328156950389877,0.04602330624965237
pos_prop_X,0.030973096916040027,0.008039679368284543,0.003683241252302026,
pos_prop_SCONJ,0.007666749338366976,0.0033742576333353784,0.011414822789564573,0.015844716316244564
flesch_reading_ease,34.91347779940076,26.55992167606028,29.887390481777892,28.982468281787483
flesch_kincaid_grade,14.629163107029731,15.17383857225045,14.448657724088397,15.682462270473968
smog,16.119328498983947,16.626346311848565,15.99949653564432,16.918657216208523
gunning_fog,18.33266672882548,19.094340100802263,18.109253736080618,19.40140594785581
automated_readability_index,17.78685555921985,18.397148076994597,17.51030364183395,19.212850128133624
coleman_liau_index,16.241953865214764,18.472105627373306,17.951395107262297,17.548988497735525
lix,61.113785649756494,64.30718120098821,63.09137546320127,65.55380047823135
rix,9.039019607843137,9.343252525252526,8.918635854341737,10.261928104575164
token_length_mean,5.660032716860404,6.054746315860227,5.978014118678727,5.866200157646011
token_length_median,5.0,5.4,5.5,5.4
token_length_std,3.229852458490636,3.3556729201515587,3.2183812019400215,3.263191896444906
sentence_length_mean,25.11620292561469,22.618585858585856,21.567714285714285,26.026094771241834
sentence_length_median,24.0,22.6,21.4,26.6
sentence_length_std,13.505934537094536,7.986001940502328,6.533261311607797,7.126477355273624
syllables_per_token_mean,1.7308342344101697,1.859541532830675,1.83281772480168,1.7900241787872584
syllables_per_token_median,1.0,1.2,1.1,1.0
syllables_per_token_std,1.0373465843742247,1.1006181921564997,1.0648559764346035,1.0525958141153815
n_tokens,454.4,458.6,457.2,455.4
n_unique_tokens,238.6,216.2,225.2,229.2
proportion_unique_tokens,0.5250180488532249,0.4713743529276753,0.4927235410387416,0.5034220269877372
n_characters,2668.2,2852.8,2803.6,2737.8
n_sentences,19.0,20.6,21.6,17.6
dependency_distance_mean,3.341420672037053,2.926342286643654,2.9013550690655707,3.102345625073739
dependency_distance_std,1.2330164229187022,0.8536036374155082,0.6687456322603903,0.6178021696141249
prop_adjacent_dependency_relation_mean,0.43833512254534446,0.4645136803051847,0.43950741873800325,0.4712236180343015
prop_adjacent_dependency_relation_std,0.05401498419125463,0.0537475762621609,0.0755117763457391,0.05652979941981965
entropy,13.859453354063623,14.890413003858919,14.49999915400221,14.428206004403492
perplexity,1988776.0834673513,5342908.031919377,2558740.1928731203,2100979.856925581
per_word_perplexity,3586.925085555841,9622.273720724359,4864.265347635397,4026.3517293748346
first_order_coherence,0.6767089420156591,0.791855974665556,0.8409797300409148,0.8694865450054653
second_order_coherence,0.7324569994277425,0.7911309498735672,0.8369577375062212,0.8641754246373026
connectives,16.4,6.4,9.2,13.6
connectives_cap,4.4,1.8,2.8,1.6
duplicate_ngram_chr_fraction_6,0.024921233068485604,0.09123902592505673,0.06618179493929152,0.028638241553842578
pos_prop_SYM,0.00264003133568351,,,0.0019186425693048564
pos_prop_NUM,0.012376682488494805,0.010520412728561114,0.006115502907789585,0.00617463295263526
duplicate_ngram_chr_fraction_7,,0.08963253877695392,0.04262241894438543,0.03964194373401535
duplicate_ngram_chr_fraction_8,,0.08331098934934933,0.06176376950015919,0.03964194373401535
duplicate_ngram_chr_fraction_9,,0.13792209662322696,0.06176376950015919,0.03964194373401535
duplicate_ngram_chr_fraction_10,,0.09544783641730864,0.06176376950015919,0.03964194373401535
pos_prop_INTJ,0.0018018018018018018,,,
