,human,continue,create,explain
flesch_reading_ease,15.40326086956523,10.287009134570098,9.502544031311174,10.892982228564023
flesch_kincaid_grade,21.0524558850282,21.506797497155862,21.42095947063689,22.626510535405874
smog,19.287186520377343,18.392814953007562,18.31309829404457,20.229211438233378
gunning_fog,23.710533018009826,24.053773227152067,22.52274607113317,24.738956822107085
automated_readability_index,22.71958886665454,22.789417899127805,22.48912489660877,25.072331606217617
coleman_liau_index,24.91983263598326,27.42477815699659,25.681094017094015,26.51924006908462
lix,64.92486810987812,65.08323852863103,64.34105321202095,70.48297063903281
rix,9.173913043478262,7.944444444444445,8.580645161290322,10.96
token_length_mean,7.167364016736402,7.660409556313994,7.321367521367521,7.414507772020725
token_length_median,6.0,6.0,6.0,6.0
token_length_std,4.992171880142043,4.892255756311668,4.566990987170202,4.720242326906925
sentence_length_mean,20.782608695652176,16.27777777777778,18.870967741935484,23.16
sentence_length_median,17.0,18.0,19.0,23.0
sentence_length_std,11.556878327341163,8.170445082093519,8.910819575947459,8.441232137549589
syllables_per_token_mean,2.418410041841004,2.60580204778157,2.5128205128205128,2.4732297063903284
syllables_per_token_median,2.0,2.0,2.0,2.0
syllables_per_token_std,1.6607189497901347,1.7241213189882154,1.7296577627760241,1.6573149000129463
n_tokens,478,586,585,579
n_unique_tokens,281,357,363,310
proportion_unique_tokens,0.5878661087866108,0.6092150170648464,0.6205128205128205,0.5354058721934369
n_characters,3495,4547,4344,4350
n_sentences,23,36,31,25
entropy,9.700794268880827,9.516371684505547,8.152037036664625,8.653624403899036
perplexity,16330.572914073135,13580.248290744827,3470.4412861785113,5730.880162302313
per_word_perplexity,29.854795089713225,21.087342066373953,5.372200133403268,9.01081786525521
passed_quality_check,True,True,True,True
n_stop_words,217.0,266.0,271.0,275.0
alpha_ratio,0.8628884826325411,0.8990683229813664,0.8978328173374613,0.910377358490566
mean_word_length,6.3893967093235835,7.0605590062111805,6.724458204334366,6.839622641509434
doc_length,547.0,644.0,646.0,636.0
symbol_to_word_ratio_#,0.0,0.0,0.0,0.0
proportion_ellipsis,0.0,0.0,0.0,0.0
proportion_bullet_points,0.0,0.0,0.0,0.0
contains_lorem ipsum,0.0,0.0,0.0,0.0
duplicate_line_chr_fraction,0.0,0.0,0.0,0.0
duplicate_paragraph_chr_fraction,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_5,0.027742749054224466,0.0,0.005679513184584178,0.13047001620745544
duplicate_ngram_chr_fraction_6,0.023203026481715006,0.0,0.005679513184584178,0.10777957860615883
duplicate_ngram_chr_fraction_7,0.023203026481715006,0.0,0.0,0.0619935170178282
duplicate_ngram_chr_fraction_8,0.0,0.0,0.0,0.0619935170178282
duplicate_ngram_chr_fraction_9,0.0,0.0,0.0,0.0619935170178282
duplicate_ngram_chr_fraction_10,0.0,0.0,0.0,0.038492706645056725
top_ngram_chr_fraction_2,0.00605296343001261,0.011689070718877849,0.012170385395537525,0.007293354943273906
top_ngram_chr_fraction_3,0.007566204287515763,0.0,0.0,0.009724473257698542
top_ngram_chr_fraction_4,0.004539722572509458,0.0,0.0,0.0
oov_ratio,0.03290676416819013,0.031055900621118012,0.02631578947368421,0.0220125786163522
pos_prop_DET,0.12614259597806216,0.11335403726708075,0.10371517027863777,0.1179245283018868
pos_prop_X,0.010968921389396709,0.003105590062111801,0.0046439628482972135,0.0110062893081761
pos_prop_CCONJ,0.051188299817184646,0.04813664596273292,0.047987616099071206,0.050314465408805034
pos_prop_NOUN,0.2449725776965265,0.2795031055900621,0.23684210526315788,0.2562893081761006
pos_prop_AUX,0.029250457038391225,0.05745341614906832,0.05108359133126935,0.031446540880503145
pos_prop_ADJ,0.09140767824497258,0.09161490683229814,0.09287925696594428,0.1069182389937107
pos_prop_ADP,0.12797074954296161,0.12111801242236025,0.11919504643962849,0.12735849056603774
pos_prop_PUNCT,0.11517367458866545,0.09006211180124224,0.09442724458204334,0.08962264150943396
pos_prop_VERB,0.062157221206581355,0.06677018633540373,0.0913312693498452,0.07075471698113207
pos_prop_SCONJ,0.003656307129798903,0.015527950310559006,0.009287925696594427,0.015723270440251572
pos_prop_PRON,0.02376599634369287,0.020186335403726708,0.02786377708978328,0.025157232704402517
pos_prop_ADV,0.05301645338208409,0.07142857142857142,0.08823529411764706,0.08490566037735849
pos_prop_PART,0.010968921389396709,0.013975155279503106,0.021671826625386997,0.0110062893081761
pos_prop_SPACE,0.005484460694698354,,,
pos_prop_PROPN,0.038391224862888484,0.006211180124223602,0.0030959752321981426,0.0015723270440251573
pos_prop_NUM,0.005484460694698354,0.0015527950310559005,0.007739938080495356,
first_order_coherence,0.6987965987487272,0.5106957022632871,0.6421925783157348,0.7064822465181351
second_order_coherence,0.6739021397772289,0.48600727440241503,0.6270974442876619,0.7522538226583729
dependency_distance_mean,3.3177591446927424,2.5254839591112144,2.983620583385772,3.18507959383238
dependency_distance_std,0.8183097865709235,1.0561159378379634,1.003933702719625,0.9603362255603543
prop_adjacent_dependency_relation_mean,0.4663455874123843,0.4999693248383752,0.4503131651158353,0.4900628358403251
prop_adjacent_dependency_relation_std,0.09166393332003149,0.09638137499554567,0.1123400140092298,0.07688227234772899
connectives,15,14,33,27
connectives_cap,2,2,8,3
