,human,continue,create,explain
flesch_reading_ease,61.93345446286622,45.5005247691016,35.78310829241683,39.41994342291372
flesch_kincaid_grade,10.128299876640124,13.763116490166414,17.05515151515152,14.573758574129087
smog,11.633643364451604,15.056261310348614,16.761446490363767,14.836745963215662
gunning_fog,12.015790063922845,17.066930447263278,19.757575757575758,17.161026194977048
automated_readability_index,9.933160816418077,14.755690290546568,17.28121212121212,14.752190116122058
coleman_liau_index,12.950290456431535,17.048593040847198,19.469090909090905,17.977315689981094
lix,38.54569922619715,48.5674774040886,55.90909090909091,50.08593032676208
rix,3.324324324324324,5.358974358974359,6.888888888888889,5.285714285714286
token_length_mean,5.275933609958506,5.883509833585476,6.2727272727272725,6.077504725897921
token_length_median,4.0,5.0,5.0,5.0
token_length_std,2.9764988308746525,3.680925658343052,3.8338423425380985,3.8638996888821096
sentence_length_mean,13.027027027027026,16.94871794871795,18.333333333333332,15.114285714285714
sentence_length_median,12.0,16.0,17.5,16.0
sentence_length_std,7.3318501278031345,6.894623389981344,9.510228411791404,6.112149159415105
syllables_per_token_mean,1.7489626556016598,1.9273827534039334,2.1606060606060606,2.056710775047259
syllables_per_token_median,1.0,1.0,2.0,2.0
syllables_per_token_std,1.091863990481017,1.2449683128882831,1.4590240395010827,1.3778552940149253
n_tokens,482,661,660,529
n_unique_tokens,274,386,395,278
proportion_unique_tokens,0.5684647302904564,0.583963691376702,0.5984848484848485,0.5255198487712666
n_characters,2635,3964,4215,3295
n_sentences,37,39,36,35
entropy,9.460568794723834,10.283571422516445,10.006515550770699,8.562806917326759
perplexity,12843.187508022918,29248.14472714168,22170.44890625952,5233.350156739695
per_word_perplexity,22.531907908812137,39.84760862008403,30.163876062938122,8.635891347755273
passed_quality_check,True,True,True,True
n_stop_words,300.0,378.0,326.0,261.0
alpha_ratio,0.843859649122807,0.8978201634877384,0.8965986394557823,0.8514851485148515
mean_word_length,4.62280701754386,5.400544959128065,5.73469387755102,5.438943894389439
doc_length,570.0,734.0,735.0,606.0
symbol_to_word_ratio_#,0.0,0.0,0.0,0.0
proportion_ellipsis,0.0,0.0,0.0,0.0
proportion_bullet_points,0.0,0.0,0.0,0.0
contains_lorem ipsum,0.0,0.0,0.0,0.0
duplicate_line_chr_fraction,0.0,0.0,0.0,0.0
duplicate_paragraph_chr_fraction,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_5,0.0,0.0,0.0,0.08747044917257683
duplicate_ngram_chr_fraction_6,0.0,0.0,0.0,0.04596795376937221
duplicate_ngram_chr_fraction_7,0.0,0.0,0.0,0.036249014972419225
duplicate_ngram_chr_fraction_8,0.0,0.0,0.0,0.036249014972419225
duplicate_ngram_chr_fraction_9,0.0,0.0,0.0,0.036249014972419225
duplicate_ngram_chr_fraction_10,0.0,0.0,0.0,0.036249014972419225
top_ngram_chr_fraction_2,0.017166042446941324,0.006902502157031924,0.006138735420503376,0.007880220646178092
top_ngram_chr_fraction_3,0.0,0.01100086281276963,0.01596071209330878,0.017861833464670344
top_ngram_chr_fraction_4,0.0,0.0,0.0,0.022852639873916468
oov_ratio,0.012280701754385965,0.013623978201634877,0.017687074829931974,0.041254125412541254
pos_prop_PUNCT,0.15263157894736842,0.0994550408719346,0.10204081632653061,0.1254125412541254
pos_prop_VERB,0.11578947368421053,0.09400544959128065,0.07755102040816327,0.0924092409240924
pos_prop_DET,0.09824561403508772,0.11716621253405994,0.13877551020408163,0.1353135313531353
pos_prop_NOUN,0.15964912280701754,0.18392370572207084,0.24353741496598638,0.22277227722772278
pos_prop_ADP,0.06140350877192982,0.09809264305177112,0.11020408163265306,0.10231023102310231
pos_prop_CCONJ,0.042105263157894736,0.03814713896457766,0.02857142857142857,0.026402640264026403
pos_prop_PRON,0.14736842105263157,0.09400544959128065,0.03537414965986395,0.057755775577557754
pos_prop_PROPN,0.014035087719298246,0.014986376021798364,0.02040816326530612,0.0231023102310231
pos_prop_ADV,0.08421052631578947,0.11716621253405994,0.07755102040816327,0.0594059405940594
pos_prop_ADJ,0.02982456140350877,0.043596730245231606,0.08843537414965986,0.066006600660066
pos_prop_AUX,0.06140350877192982,0.055858310626702996,0.04081632653061224,0.039603960396039604
pos_prop_NUM,0.007017543859649123,0.0027247956403269754,0.004081632653061225,0.0049504950495049506
pos_prop_SCONJ,0.021052631578947368,0.010899182561307902,0.009523809523809525,0.019801980198019802
pos_prop_PART,0.005263157894736842,0.025885558583106268,0.02040816326530612,0.0033003300330033004
first_order_coherence,0.7111984127097659,0.5706370453301229,0.5493901132472924,0.5345438576358206
second_order_coherence,0.6654153874942235,0.5743503626939412,0.5334627880331348,0.5156120303453822
dependency_distance_mean,2.58366787720402,2.9981624262467506,2.837662843799307,2.771440918989022
dependency_distance_std,0.7953960996699915,0.8001500008538475,0.9488537018495636,0.8269297159441737
prop_adjacent_dependency_relation_mean,0.44455280127577884,0.43689577887370756,0.4511621715858703,0.4698438953714515
prop_adjacent_dependency_relation_std,0.0702598708277153,0.08293491015020077,0.09465772471296881,0.0834176628959286
connectives,26,32,27,24
connectives_cap,11,6,7,6
pos_prop_X,,0.004087193460490463,0.0027210884353741495,
pos_prop_SPACE,,,,0.02145214521452145
