,continue,human,create,explain
first_order_coherence,0.5724139626209552,0.2972022932680214,0.46870204284787176,0.622950499256452
second_order_coherence,0.6142834002772967,0.3053494601190323,0.449258414734351,0.5532004028558731
dependency_distance_mean,2.8344405482878265,2.5776775316139346,2.5079005077678236,3.421824216561059
dependency_distance_std,0.7463946776126724,1.2307273658363151,0.968534466015582,0.7868989366250555
prop_adjacent_dependency_relation_mean,0.44790932183149945,0.4328325086219823,0.42889819159169,0.39817942449521393
prop_adjacent_dependency_relation_std,0.06291473895505122,0.1316764370738148,0.09486239496512493,0.0779260081114561
token_length_mean,5.625615763546798,5.445378151260504,5.682926829268292,5.890510948905109
token_length_median,5.0,5.0,5.0,6.0
token_length_std,3.0217167974657198,2.868834211130229,2.9475553413941196,3.051094890510949
sentence_length_mean,14.5,13.222222222222221,11.714285714285714,19.571428571428573
sentence_length_median,14.5,13.5,11.0,17.0
sentence_length_std,3.438230441873926,9.936216335292242,5.4523289662732735,7.724860476911871
syllables_per_token_mean,1.8472906403940887,1.8697478991596639,1.886178861788618,1.9854014598540146
syllables_per_token_median,2.0,2.0,2.0,2.0
syllables_per_token_std,1.0557513371867027,1.2315225680452755,1.0414440571178183,1.1397617977535073
n_tokens,203,238,246,137
n_unique_tokens,137,154,152,97
proportion_unique_tokens,0.6748768472906403,0.6470588235294118,0.6178861788617886,0.708029197080292
n_characters,1167,1340,1434,823
n_sentences,14,18,21,7
entropy,2.950615330495956,3.276666813626621,3.753308217012026,1.730699184600414
perplexity,19.11771382201606,26.4873381627224,42.661983905439314,5.644599145841259
per_word_perplexity,0.08384962202638623,0.09392673107348368,0.15128363087035218,0.03689280487477947
passed_quality_check,True,True,True,True
n_stop_words,102.0,124.0,130.0,62.0
alpha_ratio,0.881578947368421,0.8333333333333334,0.8652482269503546,0.8888888888888888
mean_word_length,5.118421052631579,4.75177304964539,5.085106382978723,5.379084967320262
doc_length,228.0,282.0,282.0,153.0
top_ngram_chr_fraction_2,0.03214024835646457,0.03483217226092464,0.030952380952380953,0.03441084462982273
oov_ratio,0.0043859649122807015,0.014184397163120567,0.010638297872340425,0.006535947712418301
pos_prop_PRON,0.05263157894736842,0.06382978723404255,0.05673758865248227,0.0457516339869281
pos_prop_DET,0.14035087719298245,0.11702127659574468,0.1099290780141844,0.0718954248366013
pos_prop_ADJ,0.039473684210526314,0.03900709219858156,0.07446808510638298,0.058823529411764705
pos_prop_NOUN,0.17543859649122806,0.18085106382978725,0.1773049645390071,0.13071895424836602
pos_prop_VERB,0.10964912280701754,0.0851063829787234,0.11347517730496454,0.10457516339869281
pos_prop_ADP,0.10087719298245613,0.09929078014184398,0.09219858156028368,0.11764705882352941
pos_prop_PROPN,0.07017543859649122,0.0851063829787234,0.03546099290780142,0.17647058823529413
pos_prop_PUNCT,0.10964912280701754,0.15602836879432624,0.1276595744680851,0.10457516339869281
pos_prop_ADV,0.08771929824561403,0.08156028368794327,0.06382978723404255,0.05228758169934641
pos_prop_AUX,0.06140350877192982,0.0425531914893617,0.07092198581560284,0.05228758169934641
pos_prop_NUM,0.008771929824561403,0.010638297872340425,0.0070921985815602835,0.006535947712418301
pos_prop_PART,0.013157894736842105,0.0070921985815602835,0.02127659574468085,0.013071895424836602
pos_prop_CCONJ,0.017543859649122806,0.02127659574468085,0.028368794326241134,0.032679738562091505
pos_prop_SCONJ,0.013157894736842105,0.010638297872340425,0.02127659574468085,0.032679738562091505
flesch_reading_ease,35.83671182266011,35.2337721755369,35.374268292682956,19.005036496350385
flesch_kincaid_grade,11.86302955665025,11.629691876750702,11.23548199767712,15.470594369134517
smog,12.785403640627713,12.745084868956482,12.704596331783538,16.785175570968402
gunning_fog,13.68177339901478,13.860317460317459,14.279210220673637,19.50740354535975
automated_readability_index,12.316650246305421,10.828842203548085,11.193728222996512,16.100020855057352
coleman_liau_index,15.237241379310348,13.980168067226888,15.088780487804875,17.323795620437952
lix,45.04187192118226,41.3734827264239,47.0801393728223,55.33785192909281
rix,4.428571428571429,3.7222222222222223,4.142857142857143,7.0
connectives,7,8,10,4
