gpt,human
25,22
26,24
21,31
28,15
28,21
22,20
25,20
23,25
25,26
26,19
29,19
31,27
27,25
26,27
24,19
24,28
26,23
21,23
22,25
23,13
24,21
18,17
27,12
23,20
22,19
25,25
21,20
17,16
29,25
23,19
32,25
33,30
20,18
32,23
19,14
20,17
24,17
28,26
19,18
23,20
24,17
40,33
17,15
25,17
21,22
24,18
29,24
24,17
25,21
28,22
23,16
25,16
18,18
26,15
26,20
20,16
21,15
25,23
20,16
23,17
26,24
23,20
21,20
28,27
23,20
24,19
22,19
25,14
27,23
22,23
23,15
29,20
22,15
30,20
28,20
27,19
26,24
21,22
23,19
32,26
23,16
20,19
24,23
20,16
24,23
21,19
25,19
28,34
21,14
25,26
21,27
29,13
33,25
23,17
26,15
27,24
22,21
25,19
28,17
24,21
