feature,persona,test,t-statistic,pvalue,bon,bh,reject
mtld,human-create,t-test,-39.45338980714846,9.267450680863473e-207,6.672564490221701e-205,6.672564490221701e-205,True
mtld,human-continue,t-test,-31.147081981186876,8.034214940340187e-150,5.7846347570449346e-148,5.75261717899255e-95,True
mtld,human-explain,t-test,-28.507260159525334,1.258939839485247e-131,9.064366844293779e-130,7.403446794008717e-70,True
yules_k,human-create,mannwhitneyu,26215.0,2.7456627261103905e-106,1.976877162799481e-104,1.9011601151392765e-64,True
alpha_ratio,human-continue,mannwhitneyu,12748.5,1.5979492163868195e-96,1.15052343579851e-94,4.85296411203296e-43,True
n_unique_tokens,explain-create,mannwhitneyu,15323.0,1.1456168074043633e-89,8.248441013311416e-88,1.3619792974574308e-51,True
pos_prop_PUNCT,human-continue,mannwhitneyu,149409.5,2.1709202722876828e-89,1.5630625960471316e-87,3.924947589967379e-37,True
yules_k,explain-create,mannwhitneyu,37511.0,2.061928001438466e-84,1.4845881610356955e-82,1.200124505971086e-44,True
proportion_unique_tokens,explain-create,t-test,-21.875760607260435,1.0169888400952066e-83,7.322319648685488e-82,1.357298756295238e-33,True
pos_prop_PUNCT,human-explain,mannwhitneyu,147088.5,1.9668782776790184e-83,1.4161523599288933e-81,1.1093727411221241e-33,True
yules_k,human-continue,mannwhitneyu,42822.0,5.194509878879282e-75,3.740047112793083e-73,7.374255877803078e-25,True
n_unique_tokens,continue-explain,mannwhitneyu,143111.0,1.022621100664139e-73,7.3628719247818e-72,1.0445576648965547e-24,True
alpha_ratio,human-explain,mannwhitneyu,22778.5,3.084769497503632e-71,2.2210340382026152e-69,2.256271450525255e-20,True
type_token_ratio,explain-create,t-test,-19.104074159117143,1.0750347628921349e-69,7.74025029282337e-68,8.296741746047715e-20,True
alpha_ratio,human-create,t-test,-19.374016974706883,5.300331193800277e-69,3.816238459536199e-67,7.755669651640309e-21,True
pos_prop_PUNCT,human-create,mannwhitneyu,139629.5,1.0562000639662647e-65,7.604640460557106e-64,5.379264145829052e-19,True
duplicate_ngram_chr_fraction_5,explain-create,mannwhitneyu,136005.5,5.5955838040067084e-62,4.02882033888483e-60,2.4916253518285596e-16,True
duplicate_ngram_chr_fraction_5,continue-explain,mannwhitneyu,29210.5,6.739544852440386e-61,4.852472293757078e-59,3.737691457558209e-21,True
prop_adjacent_dependency_relation_mean,human-explain,t-test,-17.77465414350811,6.239892511844716e-60,4.492722608528196e-58,4.1543312905182105e-16,True
dependency_distance_std,human-explain,mannwhitneyu,136297.0,1.7703122538230705e-58,1.2746248227526108e-56,6.953905963982259e-16,True
duplicate_ngram_chr_fraction_6,continue-explain,mannwhitneyu,35372.0,2.4998134723455516e-55,1.799865700088797e-53,9.39173067793228e-20,True
duplicate_ngram_chr_fraction_6,explain-create,mannwhitneyu,128556.0,1.1349827478811923e-52,8.171875784744585e-51,7.247853972525172e-12,True
dependency_distance_std,human-create,t-test,16.28498803570426,8.571360604991028e-52,6.1713796355935405e-50,1.6907476968214066e-16,True
