,human,continue,create,explain
passed_quality_check,True,True,True,True
n_stop_words,268.0,282.0,251.0,315.0
alpha_ratio,0.823728813559322,0.9008152173913043,0.8950953678474114,0.8989071038251366
mean_word_length,3.888135593220339,5.275815217391305,5.299727520435967,4.859289617486339
doc_length,590.0,736.0,734.0,732.0
duplicate_ngram_chr_fraction_5,0.009365994236311239,,,0.029467680608365018
top_ngram_chr_fraction_2,0.010806916426512969,0.010807234230260256,0.0013212948689715921,0.007129277566539924
top_ngram_chr_fraction_3,0.005403458213256484,,,0.014258555133079848
oov_ratio,0.03559322033898305,,,0.01366120218579235
entropy,18.402111012504133,17.54475934538724,14.623627058663622,19.064023201888652
perplexity,98160162.37024207,41647810.05101688,2243678.038358489,190283039.24498928
per_word_perplexity,166373.15655973234,56586.698438881635,3056.7820686082955,259949.5071652859
first_order_coherence,0.7153863751888275,0.8442614515622456,0.804278322805961,0.8308571577072144
second_order_coherence,0.7090041587750117,0.8351224537553459,0.7760523188373317,0.8428957057850701
dependency_distance_mean,2.836745372448112,2.6435061475846062,2.8267917185335447,2.790562802143144
dependency_distance_std,0.5034158234326483,0.424831161346341,0.6418254573209902,0.5202734994657411
prop_adjacent_dependency_relation_mean,0.43740267698165397,0.49464887112970335,0.4766003881153128,0.4793089828065598
prop_adjacent_dependency_relation_std,0.05319873522296627,0.05915167348077097,0.05543023165644995,0.06304427501886795
token_length_mean,4.3804780876494025,5.7379518072289155,5.81651376146789,5.324116743471582
token_length_median,4.0,5.0,5.0,5.0
token_length_std,2.1848485343487187,2.8597759871137876,2.9867141210092925,2.652017568668738
sentence_length_mean,19.307692307692307,21.419354838709676,26.16,21.7
sentence_length_median,19.5,20.0,27.0,21.5
sentence_length_std,7.694999529010985,5.813078655474623,11.234518236221792,8.017273019341843
syllables_per_token_mean,1.3247011952191234,1.661144578313253,1.7079510703363914,1.5622119815668203
syllables_per_token_median,1.0,1.0,1.0,1.0
syllables_per_token_std,0.6468952900534924,0.9238779666002435,0.9491817290658477,0.8371468026552571
n_tokens,502,664,654,651
n_unique_tokens,271,382,422,331
proportion_unique_tokens,0.5398406374501992,0.5753012048192772,0.6452599388379205,0.5084485407066052
n_characters,2294,3883,3890,3557
n_sentences,26,31,25,30
flesch_reading_ease,75.1679711921545,44.561523513408474,35.78993944954129,52.64636635944703
flesch_kincaid_grade,7.571474103585658,12.36505441119316,14.76622262996942,11.30710138248848
smog,10.21488967967688,14.782668787451804,16.055569216301873,13.454273218885966
gunning_fog,10.91032791909286,16.33882627283327,18.29274617737003,14.701505376344086
automated_readability_index,8.85589794667484,16.305430431403032,19.045779816513765,14.496589861751154
coleman_liau_index,8.424143426294822,16.55722891566265,17.269602446483187,14.141751152073727
lix,36.63836959852896,58.46754760979401,66.52697247706422,53.650844854070655
rix,3.3461538461538463,7.935483870967742,10.56,6.933333333333334
pos_prop_PROPN,0.05423728813559322,0.024456521739130436,0.04632152588555858,0.06147540983606557
pos_prop_AUX,0.06779661016949153,0.021739130434782608,0.017711171662125342,0.03415300546448088
pos_prop_VERB,0.08983050847457627,0.13858695652173914,0.14850136239782016,0.12431693989071038
pos_prop_ADP,0.09152542372881356,0.12228260869565218,0.11444141689373297,0.1284153005464481
pos_prop_NOUN,0.16440677966101694,0.25815217391304346,0.23705722070844687,0.20901639344262296
pos_prop_CCONJ,0.025423728813559324,0.03260869565217391,0.021798365122615803,0.0273224043715847
pos_prop_ADV,0.04576271186440678,0.029891304347826088,0.03814713896457766,0.03278688524590164
pos_prop_ADJ,0.07457627118644068,0.10326086956521739,0.10217983651226158,0.08879781420765027
pos_prop_PUNCT,0.14067796610169492,0.09510869565217392,0.09809264305177112,0.09836065573770492
pos_prop_SPACE,0.025423728813559324,,,
pos_prop_DET,0.09322033898305085,0.06929347826086957,0.07220708446866485,0.06830601092896176
pos_prop_PRON,0.0711864406779661,0.06385869565217392,0.05313351498637602,0.060109289617486336
pos_prop_NUM,0.010169491525423728,0.004076086956521739,0.005449591280653951,0.00273224043715847
pos_prop_PART,0.0288135593220339,0.021739130434782608,0.021798365122615803,0.031420765027322405
pos_prop_SCONJ,0.01694915254237288,0.014945652173913044,0.02316076294277929,0.03278688524590164
connectives,12,13,17,19
connectives_cap,0,6,4,6
duplicate_ngram_chr_fraction_6,,,,0.014258555133079848
