human,continue,explain,create
40,47,40,47
33,46,40,47
48,40,30,55
88,47,42,57
42,42,42,46
57,55,38,54
28,56,50,50
51,44,42,46
71,29,41,52
48,28,48,52
41,49,48,44
24,32,30,28
30,29,41,44
98,52,33,67
35,38,30,46
33,34,45,45
31,43,38,49
42,34,26,40
29,49,45,43
48,48,41,43
43,29,37,46
52,54,48,45
42,41,39,52
33,46,42,46
35,38,36,44
43,44,36,44
33,44,48,50
39,45,35,50
61,28,41,42
60,49,38,56
49,48,38,45
37,35,33,48
35,51,36,45
49,41,27,44
59,48,37,50
40,39,38,47
33,40,27,37
31,32,35,37
39,45,29,43
56,51,42,58
61,49,36,56
56,43,33,54
47,45,49,51
37,47,37,42
67,45,37,46
40,34,29,43
57,41,48,29
105,48,31,46
35,41,40,47
38,49,43,50
86,55,42,51
42,35,37,31
50,36,35,43
39,39,46,42
38,41,44,40
33,42,41,49
30,50,41,47
45,34,41,45
35,44,35,40
47,56,46,54
37,42,31,44
43,41,42,39
77,47,40,44
39,41,41,48
40,28,40,39
38,40,35,29
52,37,37,46
37,55,38,53
33,47,45,43
49,46,44,47
37,27,40,40
59,47,46,43
66,33,34,52
30,42,33,48
33,29,33,45
65,44,40,51
39,28,41,42
38,46,34,43
23,47,45,48
30,48,47,51
57,31,40,50
35,41,40,41
36,37,34,46
39,45,35,42
40,40,40,31
32,51,45,48
90,51,53,53
66,55,47,52
27,47,45,48
54,47,38,45
29,36,35,46
42,50,44,50
31,49,46,46
31,48,33,47
94,48,35,43
32,35,38,41
29,31,41,42
72,54,38,51
43,41,37,44
45,42,40,46
