,human,continue,create,explain
pos_prop_NOUN,0.20485175202156333,0.27805486284289277,0.29454022988505746,0.2273449920508744
pos_prop_ADP,0.09838274932614555,0.11097256857855362,0.11494252873563218,0.11446740858505565
pos_prop_ADV,0.04043126684636118,0.043640897755610975,0.03017241379310345,0.03179650238473768
pos_prop_PUNCT,0.11994609164420485,0.09975062344139651,0.08333333333333333,0.10015898251192369
pos_prop_CCONJ,0.03099730458221024,0.02493765586034913,0.02586206896551724,0.03656597774244833
pos_prop_PROPN,0.08221024258760108,0.02493765586034913,0.04597701149425287,0.06359300476947535
pos_prop_VERB,0.09433962264150944,0.12094763092269327,0.11063218390804598,0.11128775834658187
pos_prop_ADJ,0.09029649595687332,0.13341645885286782,0.11781609195402298,0.11287758346581876
pos_prop_PART,0.01752021563342318,0.0199501246882793,0.022988505747126436,0.017488076311605722
pos_prop_DET,0.08086253369272237,0.043640897755610975,0.05747126436781609,0.07154213036565978
pos_prop_NUM,0.04582210242587601,0.0012468827930174563,,0.017488076311605722
pos_prop_AUX,0.057951482479784364,0.046134663341645885,0.03735632183908046,0.04133545310015898
pos_prop_PRON,0.018867924528301886,0.03117206982543641,0.022988505747126436,0.01589825119236884
pos_prop_SCONJ,0.01752021563342318,0.02119700748129676,0.01867816091954023,0.019077901430842606
token_length_mean,4.931357254290171,6.044630404463041,5.899681528662421,5.586021505376344
token_length_median,4.0,6.0,6.0,5.0
token_length_std,2.514537984995573,2.883263837826447,3.020808918614322,2.8452850288846046
sentence_length_mean,25.64,20.485714285714284,25.12,24.26086956521739
sentence_length_median,26.0,19.0,25.0,23.0
sentence_length_std,11.96621911883616,9.900566877194251,8.918834004509783,11.002835173379268
syllables_per_token_mean,1.4477379095163807,1.7461645746164574,1.769108280254777,1.6594982078853047
syllables_per_token_median,1.0,1.0,1.0,1.0
syllables_per_token_std,0.7765068587381523,0.9636358628252717,1.0169899859819114,0.9478372471734822
n_tokens,641,717,628,558
n_unique_tokens,329,360,349,284
proportion_unique_tokens,0.5132605304212169,0.502092050209205,0.5557324840764332,0.5089605734767025
n_characters,3312,4431,3798,3210
n_sentences,25,35,25,23
flesch_reading_ease,58.33177285491422,38.316476987447714,31.67163949044587,41.8166690042076
flesch_kincaid_grade,11.492907332293296,13.00417055190277,15.082277707006373,13.453817983481379
smog,12.756391145488433,14.994964570270469,16.404322709996244,15.100410759659855
gunning_fog,14.686577223088925,16.6182745566846,18.64672611464968,16.944491195262582
automated_readability_index,14.616692667706708,17.283066347878062,18.917500000000004,17.01059607293127
coleman_liau_index,12.041934477379094,18.297517433751747,17.711783439490443,15.825734767025086
lix,52.47307332293292,66.37134887427774,65.56585987261147,60.461586411095524
rix,6.88,9.4,10.16,8.782608695652174
dependency_distance_mean,3.228187949338207,2.799419481649276,2.5624165164851007,3.2423377725229257
dependency_distance_std,1.032698068601603,0.6385264304444715,0.3911970127030177,0.8193949245222945
prop_adjacent_dependency_relation_mean,0.42601100479259046,0.45511260340816195,0.4924612800319629,0.4466319088692286
prop_adjacent_dependency_relation_std,0.10030265922575593,0.06065665615561044,0.06574727252728028,0.06750903895981782
passed_quality_check,True,True,True,True
n_stop_words,296.0,272.0,217.0,231.0
alpha_ratio,0.8517520215633423,0.899002493765586,0.896551724137931,0.8712241653418124
mean_word_length,4.463611859838275,5.524937655860349,5.456896551724138,5.103338632750398
doc_length,742.0,802.0,696.0,629.0
duplicate_ngram_chr_fraction_5,0.02281180262831639,,,0.08173076923076923
duplicate_ngram_chr_fraction_6,0.02281180262831639,,,0.08173076923076923
duplicate_ngram_chr_fraction_7,0.01537317133647409,,,0.08173076923076923
duplicate_ngram_chr_fraction_8,0.01537317133647409,,,0.06623931623931624
top_ngram_chr_fraction_2,0.004463178775105381,0.017663043478260868,0.006822833750284285,0.005608974358974359
top_ngram_chr_fraction_3,0.009670220679394992,0.01281055900621118,0.01591994541733,0.003205128205128205
oov_ratio,0.0013477088948787063,0.0012468827930174563,0.017241379310344827,0.022257551669316374
first_order_coherence,0.733318105340004,0.8686429192038143,0.8449042489131292,0.8257955664938147
second_order_coherence,0.7421561101370532,0.8769814245628588,0.8437754252682561,0.8169969079040346
entropy,19.493554870035496,18.376950895605418,14.999916522210668,15.130785830891483
perplexity,292377072.1177588,95721251.50898646,3268744.493518394,3725776.449492847
per_word_perplexity,394039.1807516965,119353.18143265144,4696.471973445969,5923.33298806494
connectives,26,34,14,20
connectives_cap,2,13,6,5
pos_prop_SPACE,,,0.017241379310344827,0.019077901430842606
proportion_bullet_points,,,,0.23809523809523808
duplicate_ngram_chr_fraction_9,,,,0.06623931623931624
duplicate_ngram_chr_fraction_10,,,,0.06623931623931624
top_ngram_chr_fraction_4,,,,0.02403846153846154
