,human,continue,create,explain
first_order_coherence,0.6020696059102193,0.8017429535587629,0.6084292576863215,0.7495949332416058
second_order_coherence,0.5435875432613568,0.7965321048446323,0.6844287723302841,0.7518197496732076
passed_quality_check,True,True,True,True
n_stop_words,275.0,259.0,227.0,251.0
alpha_ratio,0.8183229813664596,0.8858954041204438,0.8449848024316109,0.8814432989690721
mean_word_length,3.9953416149068324,4.916006339144215,4.942249240121581,4.673539518900344
doc_length,644.0,631.0,658.0,582.0
symbol_to_word_ratio_#,0.0,0.0,0.0017605633802816902,0.0
proportion_ellipsis,0.017543859649122806,0.0,0.0,0.0
proportion_bullet_points,0.0,0.0,0.0,0.0
contains_lorem ipsum,0.0,0.0,0.0,0.0
duplicate_line_chr_fraction,0.0,0.0,0.0,0.0
duplicate_paragraph_chr_fraction,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_5,0.0,0.02543068088597211,0.0,0.0
duplicate_ngram_chr_fraction_6,0.0,0.02543068088597211,0.0,0.0
duplicate_ngram_chr_fraction_7,0.0,0.02543068088597211,0.0,0.0
duplicate_ngram_chr_fraction_8,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_9,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_10,0.0,0.0,0.0,0.0
top_ngram_chr_fraction_2,0.029802397149335923,0.009844134536505332,0.03414762280010507,0.009316770186335404
top_ngram_chr_fraction_3,0.010689990281827016,0.009023789991796555,0.015760441292356184,0.0055900621118012426
top_ngram_chr_fraction_4,0.012633624878522837,0.012305168170631665,0.0,0.013043478260869565
oov_ratio,0.04503105590062112,0.001584786053882726,0.0,0.01718213058419244
flesch_reading_ease,80.56516560165603,51.59247531083483,48.43837102589316,61.739151497357625
flesch_kincaid_grade,5.30620016200162,11.657808880994676,11.70173058013766,9.65473282442748
smog,8.700769036622557,14.147445992026206,14.764252102333877,11.285456440507943
gunning_fog,8.166033660336604,15.615460035523979,16.29957391019338,12.107339988256019
automated_readability_index,6.3834461344613445,15.161936056838364,15.333936414290399,12.49354521432766
coleman_liau_index,8.431734317343174,14.510195381882767,15.619823008849558,12.501603053435112
lix,35.72873728737287,56.26777975133214,55.43920026220911,53.35995302407516
rix,2.975609756097561,7.6,7.222222222222222,6.6923076923076925
token_length_mean,4.501845018450185,5.378330373001776,5.584070796460177,5.062977099236641
token_length_median,4.0,5.0,5.0,4.0
token_length_std,2.4889045868416457,2.8597828826624463,3.136780559454821,2.6847469053973114
sentence_length_mean,13.21951219512195,22.52,20.925925925925927,20.153846153846153
sentence_length_median,13.0,19.0,22.0,19.5
sentence_length_std,8.238849656625943,9.724690226428809,11.838186566349519,8.520077228307931
syllables_per_token_mean,1.3339483394833949,1.5648312611012434,1.6212389380530974,1.4732824427480915
syllables_per_token_median,1.0,1.0,1.0,1.0
syllables_per_token_std,0.6717210238354583,0.8804000170375129,0.9964051604611261,0.7159922840090144
n_tokens,542,563,565,524
n_unique_tokens,275,336,345,263
proportion_unique_tokens,0.507380073800738,0.5968028419182948,0.6106194690265486,0.5019083969465649
n_characters,2573,3102,3252,2720
n_sentences,41,25,27,26
entropy,20.43510367989731,15.096060393374252,15.02890881666041,15.024467197834227
perplexity,749640022.9686377,3598617.8292132113,3364900.046176673,3349987.5850334796
per_word_perplexity,1164037.3027463318,5703.0393489908265,5113.829857411357,5755.992414146872
pos_prop_PRON,0.059006211180124224,0.05705229793977813,0.041033434650455926,0.05670103092783505
pos_prop_VERB,0.11801242236024845,0.10618066561014262,0.09878419452887538,0.12027491408934708
pos_prop_DET,0.08385093167701864,0.058637083993660855,0.07142857142857142,0.07731958762886598
pos_prop_NOUN,0.14751552795031056,0.22979397781299524,0.2507598784194529,0.18556701030927836
pos_prop_ADP,0.10403726708074534,0.15213946117274169,0.11550151975683891,0.13573883161512026
pos_prop_NUM,0.012422360248447204,0.017432646592709985,0.010638297872340425,0.01718213058419244
pos_prop_PROPN,0.10869565217391304,0.06656101426307448,0.057750759878419454,0.1134020618556701
pos_prop_PUNCT,0.12732919254658384,0.09667194928684628,0.12006079027355623,0.0859106529209622
pos_prop_CCONJ,0.031055900621118012,0.03803486529318542,0.019756838905775075,0.027491408934707903
pos_prop_SPACE,0.043478260869565216,,,0.01718213058419244
pos_prop_AUX,0.037267080745341616,0.03328050713153724,0.031914893617021274,0.024054982817869417
pos_prop_PART,0.04192546583850932,0.014263074484944533,0.010638297872340425,0.029209621993127148
pos_prop_ADV,0.03571428571428571,0.03486529318541997,0.041033434650455926,0.03951890034364261
pos_prop_ADJ,0.03571428571428571,0.06814580031695722,0.07750759878419453,0.041237113402061855
pos_prop_SCONJ,0.012422360248447204,0.022187004754358162,0.0243161094224924,0.02577319587628866
pos_prop_SYM,0.0015527950310559005,0.004754358161648178,0.00303951367781155,0.003436426116838488
dependency_distance_mean,2.207375409254967,2.7640954722783992,2.548201667522082,2.714559990328043
dependency_distance_std,0.8043065790762461,0.5679036001185106,1.060551253057089,0.6983986151985967
prop_adjacent_dependency_relation_mean,0.44680958198067433,0.456237358847115,0.4561751186281036,0.4770281933652959
prop_adjacent_dependency_relation_std,0.11049310419230396,0.05879890853454164,0.04605535299707395,0.0715977734877981
connectives,17,19,16,25
connectives_cap,5,7,7,3
pos_prop_X,,,0.025835866261398176,
