,human,continue,create,explain
entropy,6.9000647202623835,9.585685067030955,10.503957176775678,10.970746849147753
perplexity,992.3389379631978,14554.930294106585,36459.49425018641,58148.00497755842
per_word_perplexity,1.681930403327454,20.02053685571745,49.40310874008999,79.32879260239893
pos_prop_PUNCT,0.16440677966101694,0.11004126547455295,0.11653116531165311,0.11186903137789904
pos_prop_DET,0.09830508474576272,0.11416781292984869,0.14092140921409213,0.13233287858117326
pos_prop_NOUN,0.16101694915254236,0.2310866574965612,0.22357723577235772,0.17735334242837653
pos_prop_AUX,0.0576271186440678,0.048143053645116916,0.04742547425474255,0.047748976807639835
pos_prop_ADV,0.11186440677966102,0.07427785419532325,0.07723577235772358,0.1009549795361528
pos_prop_VERB,0.09322033898305085,0.08390646492434663,0.07317073170731707,0.10368349249658936
pos_prop_ADJ,0.0576271186440678,0.08940852819807428,0.1002710027100271,0.05593451568894952
pos_prop_ADP,0.0847457627118644,0.10591471801925723,0.08943089430894309,0.08731241473396999
pos_prop_CCONJ,0.023728813559322035,0.03851444291609354,0.03929539295392954,0.03819918144611187
pos_prop_SCONJ,0.01694915254237288,0.016506189821182942,0.009485094850948509,0.03137789904502047
pos_prop_PRON,0.0711864406779661,0.03576341127922971,0.03523035230352303,0.07366984993178717
pos_prop_SPACE,0.022033898305084745,,,
pos_prop_PROPN,0.0288135593220339,0.027510316368638238,0.03523035230352303,0.0286493860845839
pos_prop_PART,0.005084745762711864,0.02200825309491059,0.005420054200542005,0.009549795361527967
pos_prop_NUM,0.001694915254237288,0.002751031636863824,0.006775067750677507,0.001364256480218281
pos_prop_X,0.001694915254237288,,,
passed_quality_check,True,True,True,
n_stop_words,257.0,304.0,314.0,343.0
alpha_ratio,0.8135593220338984,0.889958734525447,0.8780487804878049,0.888130968622101
mean_word_length,4.923728813559322,5.986244841815681,5.546070460704607,5.446111869031378
doc_length,590.0,727.0,738.0,733.0
duplicate_ngram_chr_fraction_5,0.01156926727973895,,0.022756005056890013,0.19720129171151776
top_ngram_chr_fraction_2,0.014239098190447939,0.00959040959040959,0.011588706278971767,0.021959095801937566
top_ngram_chr_fraction_3,0.0026698309107089885,,0.008217446270543615,0.013993541442411194
top_ngram_chr_fraction_4,0.010679323642835954,,,0.00968783638320775
oov_ratio,0.03220338983050847,0.009628610729023384,0.0013550135501355014,0.008185538881309686
token_length_mean,5.695740365111562,6.602782071097373,6.145705521472393,6.006144393241168
token_length_median,5.0,6.0,5.0,5.0
token_length_std,3.39142249821413,4.047422709680538,3.5621471896033383,3.6014964082359087
sentence_length_mean,11.738095238095237,18.485714285714284,15.902439024390244,16.275
sentence_length_median,11.0,17.0,15.0,16.5
sentence_length_std,5.503503316328107,8.6068790712394,7.152706729857946,6.480692478431607
syllables_per_token_mean,1.9290060851926978,2.2503863987635238,2.0644171779141103,2.0046082949308754
syllables_per_token_median,2.0,2.0,2.0,2.0
syllables_per_token_std,1.1398331013568486,1.4029321267959296,1.2625410632498397,1.2350402364852917
n_tokens,493,647,652,651.0
n_unique_tokens,293,374,360,276.0
proportion_unique_tokens,0.5943204868154158,0.5780525502318392,0.5521472392638037,0.423963133640553
n_characters,2905,4352,4093,3992.0
n_sentences,42,35,41,40.0
dependency_distance_mean,2.6970050412883038,2.8827322799051784,2.7765684892475173,2.9711134748278774
dependency_distance_std,0.9592060483041297,1.0871533313447264,0.9211983606219355,0.8143193185618722
prop_adjacent_dependency_relation_mean,0.41619620118721135,0.4515447588121493,0.4355193404935065,0.4551477550798696
prop_adjacent_dependency_relation_std,0.13491064970365466,0.12818058295012522,0.10871072711775918,0.0985664323339845
first_order_coherence,0.5194721302789885,0.6189695251968634,0.535698631964624,0.6420250733693441
second_order_coherence,0.5514944307506084,0.6215731947908573,0.5104193572814648,0.6291718232004266
flesch_reading_ease,31.726918526031113,-2.310689335394102,16.04433113871019,20.72601324884795
flesch_kincaid_grade,11.750128948130975,18.173988076838153,14.972073918898698,14.41162788018433
smog,12.623101263956098,17.837143513669655,15.555744446314616,15.078166124597352
gunning_fog,14.107002801120448,21.73740781629499,18.262816100553646,17.26268817204301
automated_readability_index,11.265984738723077,18.911960697725767,15.46749251833009,14.996440092165898
coleman_liau_index,15.169249492900612,21.423122102009277,18.47539877300613,17.697388632872507
lix,43.3810972664928,60.83501876793994,54.39937153972767,50.83721198156682
rix,3.7142857142857144,7.828571428571428,6.121951219512195,5.625
connectives,8,9,21,17.0
connectives_cap,0,2,5,2.0
duplicate_ngram_chr_fraction_6,,,0.008428150021070375,0.116254036598493
duplicate_ngram_chr_fraction_7,,,,0.058557588805166844
duplicate_ngram_chr_fraction_8,,,,0.02884822389666308
duplicate_ngram_chr_fraction_9,,,,0.02884822389666308
duplicate_ngram_chr_fraction_10,,,,0.02884822389666308
