,human,continue,create,explain
entropy,7.756476079222522,10.450067813487816,7.754295211380091,10.321470490865476
perplexity,2336.655889662383,34546.71736324211,2331.5655047197724,30377.895185980495
per_word_perplexity,3.628347654755253,44.80767491989898,3.892429891017984,39.14677214688208
flesch_reading_ease,19.788699360341155,18.266304347826093,24.28062122736418,16.37890300614515
flesch_kincaid_grade,17.89025535375441,20.80241032998566,18.39267361111111,20.11854679802956
smog,16.887214914478655,18.26991494085344,17.267425705330172,17.82657359242397
gunning_fog,21.430826782325834,23.327977044476327,21.40209510357816,22.6055829228243
automated_readability_index,16.601854161019247,19.911606886657104,18.657157485875707,19.690369458128075
coleman_liau_index,20.314686907020867,23.458536585365852,22.1034274952919,23.404827586206896
lix,57.18238004879371,62.48063127690101,59.343279190207156,59.96223316912972
rix,6.3428571428571425,7.7317073170731705,7.09375,7.190476190476191
pos_prop_SPACE,0.015527950310559006,,0.03005008347245409,
pos_prop_ADP,0.09472049689440994,0.09727626459143969,0.09682804674457429,0.11984536082474227
pos_prop_DET,0.10714285714285714,0.1569390402075227,0.12687813021702837,0.13530927835051546
pos_prop_ADV,0.040372670807453416,0.06744487678339818,0.05008347245409015,0.07087628865979381
pos_prop_ADJ,0.09627329192546584,0.12062256809338522,0.09181969949916527,0.10438144329896908
pos_prop_NOUN,0.2127329192546584,0.23216601815823606,0.2303839732888147,0.23195876288659795
pos_prop_PROPN,0.08229813664596274,0.010376134889753566,0.041736227045075125,0.02577319587628866
pos_prop_VERB,0.05434782608695652,0.07911802853437094,0.08347245409015025,0.07087628865979381
pos_prop_NUM,0.04813664596273292,,0.00333889816360601,0.015463917525773196
pos_prop_PUNCT,0.14285714285714285,0.0959792477302205,0.11352253756260434,0.10051546391752578
pos_prop_SCONJ,0.010869565217391304,0.02204928664072633,0.021702838063439065,0.01804123711340206
pos_prop_CCONJ,0.034161490683229816,0.027237354085603113,0.035058430717863104,0.030927835051546393
pos_prop_AUX,0.031055900621118012,0.05188067444876784,0.03672787979966611,0.05025773195876289
pos_prop_PRON,0.013975155279503106,0.028534370946822308,0.0333889816360601,0.019329896907216496
pos_prop_X,0.009316770186335404,,0.001669449081803005,
pos_prop_PART,0.006211180124223602,0.010376134889753566,0.00333889816360601,0.006443298969072165
dependency_distance_mean,2.7483285696572644,2.8725722031385463,2.9912224078171086,3.1269432859644892
dependency_distance_std,1.2871041566394275,1.0789865429909615,0.8698208941211067,1.0949920844724044
prop_adjacent_dependency_relation_mean,0.473017709230496,0.39814477198823983,0.47008433048392584,0.4330524172742584
prop_adjacent_dependency_relation_std,0.0966732495505479,0.1284404417894768,0.07066627647353659,0.10636615802206643
first_order_coherence,0.4853493299554376,0.6453678146004677,0.5377117546215173,0.6347505319409255
second_order_coherence,0.37414297072047537,0.6371806606841393,0.5887307112415632,0.6092417776584625
token_length_mean,6.476280834914611,6.97274031563845,6.749529190207157,6.971264367816092
token_length_median,5.0,6.0,5.0,6.0
token_length_std,4.198457634580471,4.0999846145207925,4.294192500598777,4.273922746465281
sentence_length_mean,15.057142857142857,17.0,16.59375,16.571428571428573
sentence_length_median,14.0,17.0,16.0,17.0
sentence_length_std,11.889834450710664,7.241479433806596,4.840321367171812,5.720234998264858
syllables_per_token_mean,2.3396584440227706,2.5222381635581064,2.3314500941619585,2.478448275862069
syllables_per_token_median,2.0,2.0,2.0,2.0
syllables_per_token_std,1.5141340036049389,1.5872091441388394,1.5788531818759948,1.590053821532652
n_tokens,527,697,531,696
n_unique_tokens,304,300,270,321
proportion_unique_tokens,0.5768500948766604,0.430416068866571,0.5084745762711864,0.46120689655172414
n_characters,3521,4934,3652,4932
n_sentences,35,41,32,42
passed_quality_check,True,True,True,True
n_stop_words,202.0,329.0,223.0,327.0
alpha_ratio,0.7546583850931677,0.9040207522697795,0.8530884808013356,0.884020618556701
mean_word_length,5.4813664596273295,6.399481193255513,6.096828046744574,6.355670103092783
doc_length,644.0,771.0,599.0,776.0
symbol_to_word_ratio_#,0.0,0.0,0.0,0.0
proportion_ellipsis,0.0,0.0,0.0,0.0
proportion_bullet_points,0.0,0.0,0.125,0.0
contains_lorem ipsum,0.0,0.0,0.0,0.0
duplicate_line_chr_fraction,0.0,0.0,0.0,0.0
duplicate_paragraph_chr_fraction,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_5,0.0400890868596882,0.13988624244578743,0.05112129250060284,0.06472261735419631
duplicate_ngram_chr_fraction_6,0.02425142291512002,0.0917170280838962,0.018326501085121776,0.05440967283072546
duplicate_ngram_chr_fraction_7,0.014847809948032665,0.06292214717383576,0.0,0.0
duplicate_ngram_chr_fraction_8,0.014847809948032665,0.02630643441166015,0.0,0.0
duplicate_ngram_chr_fraction_9,0.014847809948032665,0.02630643441166015,0.0,0.0
duplicate_ngram_chr_fraction_10,0.014847809948032665,0.02630643441166015,0.0,0.0
top_ngram_chr_fraction_2,0.017817371937639197,0.009598293636686812,0.007957559681697613,0.010668563300142247
top_ngram_chr_fraction_3,0.022271714922048998,0.03483825097760398,0.02049674463467567,0.00906827880512091
top_ngram_chr_fraction_4,0.013363028953229399,0.029328119445431924,0.007957559681697613,0.0
oov_ratio,0.07763975155279502,0.038910505836575876,0.07846410684474124,0.059278350515463915
connectives,10,22,11,26
connectives_cap,4,7,3,6
