,human,continue,create,explain
token_length_mean,4.6109375,7.351945854483925,6.813918305597579,6.550955414012739
token_length_median,4.0,7.0,7.0,7.0
token_length_std,2.3405806696402816,4.220006187248843,3.1014397982828754,3.0283610129513425
sentence_length_mean,22.06896551724138,42.214285714285715,31.476190476190474,39.25
sentence_length_median,22.0,27.5,27.0,21.0
sentence_length_std,11.325683459570868,55.1623300184213,24.67815507424493,53.41874670937161
syllables_per_token_mean,1.3578125,2.1522842639593907,1.9878971255673223,1.9044585987261147
syllables_per_token_median,1.0,2.0,2.0,2.0
syllables_per_token_std,0.6483885523694491,1.12973531800026,1.0931662136461207,0.9938244952036683
n_tokens,640,591,661,628
n_unique_tokens,332,488,546,495
proportion_unique_tokens,0.51875,0.8257191201353637,0.8260211800302572,0.7882165605095541
n_characters,3079,4322,4595,4173
n_sentences,29,14,21,16
first_order_coherence,0.6588056928345135,0.7488604554763207,0.7499419018626213,0.8047477682431539
second_order_coherence,0.6993663818747909,0.7570559233427048,0.7192970922118739,0.7967990849699292
passed_quality_check,True,True,False,True
n_stop_words,316.0,131.0,170.0,178.0
alpha_ratio,0.8785425101214575,0.9272151898734177,0.9065040650406504,0.9161764705882353
mean_word_length,4.155195681511471,6.949367088607595,6.226287262872629,6.136764705882353
doc_length,741.0,632.0,738.0,680.0
symbol_to_word_ratio_#,0.0,0.0,0.0,0.0
proportion_ellipsis,0.0,0.0,0.0,0.0
proportion_bullet_points,0.0,0.0,1.0,0.0
contains_lorem ipsum,0.0,0.0,0.0,0.0
duplicate_line_chr_fraction,0.0,0.0,0.0,0.0
duplicate_paragraph_chr_fraction,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_5,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_6,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_7,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_8,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_9,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_10,0.0,0.0,0.0,0.0
top_ngram_chr_fraction_2,0.004843918191603875,0.0018134193028410237,0.0022935779816513763,0.0037688442211055275
top_ngram_chr_fraction_3,0.004036598493003229,0.0,0.0,0.0
top_ngram_chr_fraction_4,0.0,0.0,0.0,0.0
oov_ratio,0.0,0.023734177215189875,0.009485094850948509,0.013235294117647059
pos_prop_PROPN,0.14304993252361672,0.06329113924050633,0.08536585365853659,0.08676470588235294
pos_prop_VERB,0.1039136302294197,0.1661392405063291,0.13685636856368563,0.13970588235294118
pos_prop_ADJ,0.04588394062078273,0.16930379746835442,0.14769647696476965,0.13529411764705881
pos_prop_NOUN,0.1794871794871795,0.28164556962025317,0.2506775067750677,0.23823529411764705
pos_prop_ADP,0.11875843454790823,0.06329113924050633,0.05420054200542006,0.09705882352941177
pos_prop_DET,0.08232118758434548,0.03481012658227848,0.03387533875338753,0.03676470588235294
pos_prop_PUNCT,0.10526315789473684,0.05379746835443038,0.08536585365853659,0.058823529411764705
pos_prop_CCONJ,0.017543859649122806,0.015822784810126583,0.016260162601626018,0.013235294117647059
pos_prop_PRON,0.05263157894736842,0.014240506329113924,0.02710027100271003,0.025
pos_prop_ADV,0.024291497975708502,0.060126582278481014,0.08807588075880758,0.09558823529411764
pos_prop_NUM,0.017543859649122806,0.0031645569620253164,0.008130081300813009,0.010294117647058823
pos_prop_AUX,0.05263157894736842,0.028481012658227847,0.03116531165311653,0.022058823529411766
pos_prop_PART,0.04183535762483131,0.023734177215189875,0.02168021680216802,0.01911764705882353
pos_prop_SCONJ,0.01349527665317139,0.011075949367088608,0.012195121951219513,0.011764705882352941
pos_prop_X,0.001349527665317139,,,0.0014705882352941176
dependency_distance_mean,2.7264924763901,3.071828245902062,3.337392241513323,3.1344199132808295
dependency_distance_std,0.8867519406489095,0.9107715083282963,1.1053706311935347,1.1527135588174133
prop_adjacent_dependency_relation_mean,0.4570854032583751,0.48186697839937265,0.4647615755474095,0.4716079752438944
prop_adjacent_dependency_relation_std,0.0988370788451005,0.08113761112428168,0.06590253258183205,0.05737433233876741
flesch_reading_ease,69.5640625,-18.09574873096443,6.710569843671237,5.879052547770726
flesch_kincaid_grade,9.039084051724142,26.270525743292243,20.14290036740869,22.190111464968158
smog,10.165852483727232,25.67196782998117,20.492555301293,21.2507560191115
gunning_fog,11.577586206896553,31.640367416001936,24.33026439017362,25.954777070063695
automated_readability_index,11.321998383620688,34.30480783176214,26.40165045745983,29.050000000000004
coleman_liau_index,9.971062500000002,26.728257191201347,23.325446293494704,21.96547770700636
lix,43.47521551724138,100.58992023205221,85.78783949283192,90.36464968152868
rix,4.724137931034483,24.642857142857142,17.095238095238095,20.0625
entropy,19.308530577750652,7.005087706812204,8.217554332071987,8.150211347014555
perplexity,242989934.28481683,1102.2267235631346,3705.4290428762592,3464.1111176610098
per_word_perplexity,327921.6387109539,1.7440296258910357,5.020906562162953,5.094281055383838
connectives,15,13,15,16
connectives_cap,2,2,4,1
pos_prop_SPACE,,0.011075949367088608,,0.008823529411764706
pos_prop_SYM,,,0.0013550135501355014,
