,human,continue,create,explain
token_length_mean,5.236421725239617,7.590111642743222,5.94661921708185,5.909448818897638
token_length_median,4.0,5.0,5.0,5.0
token_length_std,3.053047915271974,10.059762307872148,3.4129746620238,3.662384513690589
sentence_length_mean,12.775510204081632,10.112903225806452,10.407407407407407,11.545454545454545
sentence_length_median,13.0,8.0,8.0,8.0
sentence_length_std,6.981799388329306,9.67221634325012,9.270659648347614,10.637529073680055
syllables_per_token_mean,1.8130990415335464,2.5789473684210527,2.001779359430605,1.9783464566929134
syllables_per_token_median,1.0,2.0,2.0,2.0
syllables_per_token_std,1.2821785249112114,3.4959174424426918,1.2856989324534904,1.5232850244765528
n_tokens,626,627,562,508
n_unique_tokens,373,418,394,376
proportion_unique_tokens,0.5958466453674122,0.6666666666666666,0.701067615658363,0.7401574803149606
n_characters,3427,4898,3437,3117
n_sentences,49,62,54,44
first_order_coherence,0.3392044101492502,0.304726101702354,0.3258474104958674,0.22106496890097163
second_order_coherence,0.3001094541532245,0.152719461126253,0.16925962779742593,0.155452344078748
passed_quality_check,True,True,True,True
n_stop_words,313.0,283.0,254.0,215.0
alpha_ratio,0.7780645161290323,0.814621409921671,0.8018018018018018,0.8134206219312602
mean_word_length,4.421935483870968,6.394255874673629,5.1741741741741745,5.101472995090016
doc_length,775.0,766.0,666.0,611.0
symbol_to_word_ratio_#,0.0,0.0,0.0446927374301676,0.0
proportion_ellipsis,0.0,0.0,0.0,0.0
proportion_bullet_points,0.0,0.0,0.0,0.16666666666666666
contains_lorem ipsum,0.0,0.0,0.0,0.0
duplicate_line_chr_fraction,0.0,0.0,0.00025144581342720644,0.0
duplicate_paragraph_chr_fraction,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_5,0.07481481481481482,0.0,0.008800603469952225,0.0
duplicate_ngram_chr_fraction_6,0.07481481481481482,0.0,0.008800603469952225,0.0
duplicate_ngram_chr_fraction_7,0.07481481481481482,0.0,0.0,0.0
duplicate_ngram_chr_fraction_8,0.016790123456790124,0.0,0.0,0.0
duplicate_ngram_chr_fraction_9,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_10,0.0,0.0,0.0,0.0
top_ngram_chr_fraction_2,0.0044444444444444444,0.0057960514399565295,0.009052049283379432,0.004150525733259546
top_ngram_chr_fraction_3,0.014814814814814815,0.005071545009961964,0.009052049283379432,0.0
top_ngram_chr_fraction_4,0.020987654320987655,0.0,0.0060346995222529546,0.0
oov_ratio,0.02838709677419355,0.06657963446475196,0.05855855855855856,0.09492635024549918
pos_prop_PRON,0.06322580645161291,0.04699738903394256,0.042042042042042045,0.03927986906710311
pos_prop_VERB,0.07483870967741936,0.06919060052219321,0.08708708708708708,0.05564648117839607
pos_prop_ADP,0.11483870967741935,0.09007832898172324,0.09009009009009009,0.10310965630114566
pos_prop_PUNCT,0.19225806451612903,0.15404699738903394,0.11711711711711711,0.15711947626841244
pos_prop_PROPN,0.10838709677419354,0.10966057441253264,0.05555555555555555,0.14238952536824878
pos_prop_NUM,0.03225806451612903,0.0039164490861618795,0.0045045045045045045,0.009819967266775777
pos_prop_AUX,0.03741935483870968,0.03263707571801567,0.02702702702702703,0.031096563011456628
pos_prop_SCONJ,0.01032258064516129,0.009138381201044387,0.0045045045045045045,0.006546644844517185
pos_prop_ADV,0.07096774193548387,0.07963446475195822,0.1021021021021021,0.07855973813420622
pos_prop_DET,0.07225806451612904,0.09660574412532637,0.1111111111111111,0.08183306055646482
pos_prop_NOUN,0.1393548387096774,0.18407310704960836,0.18618618618618618,0.16202945990180032
pos_prop_CCONJ,0.02193548387096774,0.028720626631853787,0.025525525525525526,0.016366612111292964
pos_prop_X,0.023225806451612905,0.020887728459530026,0.03753753753753754,0.03927986906710311
pos_prop_PART,0.011612903225806452,0.009138381201044387,0.006006006006006006,0.006546644844517185
pos_prop_ADJ,0.027096774193548386,0.06527415143603134,0.06606606606606606,0.060556464811783964
dependency_distance_mean,2.684733209947992,1.9437357860051836,1.9187242790014933,2.004996071690074
dependency_distance_std,1.0236075785624446,1.4401088196777758,1.0761342798474653,1.391069136351482
prop_adjacent_dependency_relation_mean,0.43546059865596376,0.381395130984225,0.4130392738019887,0.40178749778632067
prop_adjacent_dependency_relation_std,0.08477882135261461,0.19965667399338224,0.17517474432749042,0.19514000852462066
flesch_reading_ease,59.101682692307676,14.156976744186068,49.05392988408255,52.22727272727272
flesch_kincaid_grade,10.787017669687685,18.78561120543294,12.089885330170027,12.257215461703655
smog,11.804432270293745,13.050429978807635,12.228407452279605,12.444714933589143
gunning_fog,12.330651365977701,15.974985851726089,13.913852642678265,13.830780243378669
automated_readability_index,9.621301427919413,19.375877450223797,11.782280216159222,12.17623120973515
coleman_liau_index,12.673226837060703,25.902902711323765,16.321992882562274,16.383779527559053
lix,38.17487122644585,48.390415187528944,43.68142875972057,44.81317108088762
rix,3.2448979591836733,3.870967741935484,3.462962962962963,3.840909090909091
entropy,9.087751053771683,8.31204929623112,5.876510141080548,6.275418778526891
perplexity,8846.268881294161,4072.650505092907,356.562714302739,531.3488526615339
per_word_perplexity,11.414540491992467,5.316776116309279,0.5353794509050135,0.869638056729188
connectives,29,20,22,20
connectives_cap,6,3,5,2
pos_prop_SPACE,,,0.03753753753753754,0.009819967266775777
