,human,create,explain,continue
token_length_mean,5.349593495934959,5.861111111111111,5.525,5.591633466135458
token_length_median,5.0,5.0,5.0,5.0
token_length_std,2.9466357827835563,3.247183693608243,2.940273513354384,2.8147607728335293
sentence_length_mean,23.428571428571427,26.526315789473685,26.666666666666668,21.82608695652174
sentence_length_median,22.0,25.0,23.0,20.0
sentence_length_std,7.650530193711935,7.562848398604656,9.146948489341495,6.505196410583206
syllables_per_token_mean,1.6341463414634145,1.7757936507936507,1.66875,1.6772908366533865
syllables_per_token_median,1.0,1.0,1.0,1.0
syllables_per_token_std,0.9458363415983978,1.0462183246420558,0.9534272061882857,0.995729042346665
n_tokens,492,504.0,480,502.0
n_unique_tokens,226,238.0,206,210.0
proportion_unique_tokens,0.45934959349593496,0.4722222222222222,0.42916666666666664,0.41832669322709165
n_characters,2738,3036.0,2706,2898.0
n_sentences,21,19.0,18,23.0
passed_quality_check,True,,True,
n_stop_words,196.0,194.0,198.0,187.0
alpha_ratio,0.8193979933110368,0.8481228668941979,0.898876404494382,0.8412162162162162
mean_word_length,4.578595317725752,5.180887372013652,5.067415730337078,4.89527027027027
doc_length,598.0,586.0,534.0,592.0
duplicate_ngram_chr_fraction_5,0.05272952853598015,0.1745042492917847,0.04152249134948097,0.17428487171925686
duplicate_ngram_chr_fraction_6,0.043424317617866005,0.1745042492917847,0.022648631645171436,0.09436744323208493
top_ngram_chr_fraction_2,0.02357320099255583,0.009915014164305949,0.009436929852154765,0.016219404305514596
top_ngram_chr_fraction_3,0.02946650124069479,0.020396600566572238,0.028939918213274615,0.02506635210852256
top_ngram_chr_fraction_4,0.020471464019851116,0.0339943342776204,,0.025951046888823357
oov_ratio,0.005016722408026756,0.005119453924914676,0.00749063670411985,0.015202702702702704
flesch_reading_ease,44.806219512195156,29.678646616541386,38.59208333333336,42.78271695825396
flesch_kincaid_grade,12.830069686411147,15.709628237259817,14.501250000000002,12.714205785553442
smog,14.417755367225983,16.99912189502313,15.097117867076683,14.8609603550888
gunning_fog,16.038095238095234,19.499415204678364,17.25,16.459518447947342
automated_readability_index,15.480871080139373,19.438991228070172,17.926083333333338,15.819637103758879
coleman_liau_index,14.392195121951222,17.547460317460317,15.577000000000002,15.72262948207171
lix,55.745644599303134,66.60568086883876,61.04166666666667,55.292222414689064
rix,7.571428571428571,10.631578947368421,9.166666666666666,7.304347826086956
dependency_distance_mean,4.2535857331988,3.1741989383316387,3.177095964061951,3.34346374420033
dependency_distance_std,1.2806434659840995,0.5962538487100175,0.5192995182070907,0.7614438755852019
prop_adjacent_dependency_relation_mean,0.39761859146675893,0.46352175382862504,0.4663509168076876,0.43662455361247154
prop_adjacent_dependency_relation_std,0.036900487022271895,0.06128144600134559,0.05193018521462793,0.05473223212834407
first_order_coherence,0.7909505605697632,0.8381940027077993,0.8754429396461038,0.8365550176663832
second_order_coherence,0.7677565750322843,0.8755822567378774,0.8768257983028889,0.7909785906473795
pos_prop_NOUN,0.24749163879598662,0.27303754266211605,0.301498127340824,0.28547297297297297
pos_prop_VERB,0.07692307692307693,0.09385665529010238,0.09550561797752809,0.08277027027027027
pos_prop_DET,0.06688963210702341,0.05802047781569966,0.08052434456928839,0.0472972972972973
pos_prop_ADJ,0.09698996655518395,0.11604095563139932,0.10299625468164794,0.09966216216216216
pos_prop_ADP,0.09531772575250837,0.11262798634812286,0.11797752808988764,0.0929054054054054
pos_prop_CCONJ,0.04013377926421405,0.04778156996587031,0.052434456928838954,0.04391891891891892
pos_prop_PUNCT,0.12709030100334448,0.13822525597269625,0.09925093632958802,0.15033783783783783
pos_prop_PROPN,0.06856187290969899,0.034129692832764506,0.035580524344569285,0.0625
pos_prop_X,0.0451505016722408,,,
pos_prop_AUX,0.04180602006688963,0.04607508532423208,0.031835205992509365,0.05912162162162162
pos_prop_PRON,0.015050167224080268,0.02218430034129693,0.024344569288389514,0.016891891891891893
pos_prop_ADV,0.04013377926421405,0.023890784982935155,0.026217228464419477,0.018581081081081082
pos_prop_PART,0.02508361204013378,0.015358361774744027,0.009363295880149813,0.013513513513513514
pos_prop_NUM,0.005016722408026756,0.013651877133105802,0.0018726591760299626,0.010135135135135136
pos_prop_SCONJ,0.008361204013377926,0.005119453924914676,0.020599250936329586,0.016891891891891893
entropy,14.773693048548882,16.08844740032309,14.740428670487491,15.73884811528759
perplexity,2606954.001541673,9707869.471909743,2521661.759384565,6843761.84179564
per_word_perplexity,4359.4548520763765,16566.330156842563,4722.213032555365,11560.40851654669
connectives,20,8.0,12,8.0
connectives_cap,5,4.0,3,3.0
duplicate_ngram_chr_fraction_7,,0.16487252124645893,,0.09436744323208493
duplicate_ngram_chr_fraction_8,,0.10311614730878187,,0.09436744323208493
duplicate_ngram_chr_fraction_9,,0.08753541076487252,,0.09436744323208493
duplicate_ngram_chr_fraction_10,,0.08753541076487252,,0.05721026245945149
