,human,continue,create,explain
token_length_mean,5.241869918699187,7.9143389199255125,7.341584158415841,7.958928571428571
token_length_median,4.0,8.0,8.0,8.0
token_length_std,3.1397715854971224,3.220066156576763,3.0236395569429404,3.3273904825657876
sentence_length_mean,30.75,41.30769230769231,40.4,46.666666666666664
sentence_length_median,28.0,23.0,19.0,26.5
sentence_length_std,18.355857375780626,70.4320563111217,76.72965528399043,62.65026381074189
syllables_per_token_mean,1.6239837398373984,2.3333333333333335,2.133663366336634,2.4107142857142856
syllables_per_token_median,1.0,2.0,2.0,2.0
syllables_per_token_std,1.0014592928236081,1.11309568266099,1.0326144102912487,1.1903898778234339
n_tokens,492,537,606,560
n_unique_tokens,252,456,504,487
proportion_unique_tokens,0.5121951219512195,0.8491620111731844,0.8316831683168316,0.8696428571428572
n_characters,2638,4284,4502,4503
n_sentences,16,13,15,12
first_order_coherence,0.8500957727432251,0.8643645246823629,0.5117760196860347,0.8255696296691895
second_order_coherence,0.8328271465642112,0.8496341055089777,0.5634537935256958,0.8212216794490814
passed_quality_check,True,True,False,True
n_stop_words,226.0,81.0,126.0,90.0
alpha_ratio,0.8763636363636363,0.9316987740805605,0.9209726443768997,0.9107438016528926
mean_word_length,4.798181818181818,7.502626970227671,6.8419452887537995,7.44297520661157
doc_length,550.0,571.0,658.0,605.0
symbol_to_word_ratio_#,0.0,0.0,0.019769357495881382,0.0
proportion_ellipsis,0.0,0.0,0.0,0.0
proportion_bullet_points,0.0,0.0,1.0,0.0
contains_lorem ipsum,0.0,0.0,0.0,0.0
duplicate_line_chr_fraction,0.0,0.0,0.0,0.0
duplicate_paragraph_chr_fraction,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_5,0.03720333547145606,0.0,0.0,0.0
duplicate_ngram_chr_fraction_6,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_7,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_8,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_9,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_10,0.0,0.0,0.0,0.0
top_ngram_chr_fraction_2,0.028223220012828735,0.0031223980016652788,0.0031360250882007056,0.0
top_ngram_chr_fraction_3,0.01667735728030789,0.0,0.002352018816150529,0.0
top_ngram_chr_fraction_4,0.0,0.0,0.0029400235201881616,0.0
oov_ratio,0.01818181818181818,0.021015761821366025,0.013677811550151976,0.047933884297520664
pos_prop_ADP,0.12545454545454546,0.05253940455341506,0.05319148936170213,0.05785123966942149
pos_prop_DET,0.12,0.03152364273204904,0.037993920972644375,0.03140495867768595
pos_prop_ADJ,0.1290909090909091,0.2224168126094571,0.1717325227963526,0.23305785123966943
pos_prop_NOUN,0.2545454545454545,0.3222416812609457,0.331306990881459,0.30247933884297523
pos_prop_VERB,0.07454545454545454,0.1733800350262697,0.1595744680851064,0.16033057851239668
pos_prop_PUNCT,0.09272727272727273,0.0542907180385289,0.05623100303951368,0.05950413223140496
pos_prop_AUX,0.045454545454545456,0.010507880910683012,0.010638297872340425,0.013223140495867768
pos_prop_CCONJ,0.03636363636363636,0.010507880910683012,0.025835866261398176,0.01487603305785124
pos_prop_ADV,0.014545454545454545,0.0595446584938704,0.06382978723404255,0.05619834710743802
pos_prop_PRON,0.025454545454545455,0.0070052539404553416,0.0243161094224924,0.003305785123966942
pos_prop_PART,0.00909090909090909,0.005253940455341506,0.004559270516717325,0.008264462809917356
pos_prop_NUM,0.03090909090909091,,0.0121580547112462,0.008264462809917356
pos_prop_PROPN,0.02727272727272727,0.0297723292469352,0.028875379939209727,0.03305785123966942
pos_prop_SYM,0.0036363636363636364,0.0035026269702276708,0.013677811550151976,0.006611570247933884
pos_prop_SCONJ,0.00909090909090909,0.008756567425569177,0.0060790273556231,0.003305785123966942
pos_prop_SPACE,0.0018181818181818182,0.008756567425569177,,0.008264462809917356
dependency_distance_mean,3.0025177321832417,3.0007919310347413,2.861599994392434,3.406171679575607
dependency_distance_std,0.8942055919586869,1.7870191615839628,1.5221582447793338,1.3457616849844287
prop_adjacent_dependency_relation_mean,0.45544322620191346,0.48385396618915344,0.48405509524898704,0.4768501609412208
prop_adjacent_dependency_relation_std,0.034276670560648086,0.05433750640593423,0.05759553990680971,0.04637665841793979
flesch_reading_ease,38.23472560975611,-32.49230769230769,-14.678920792079197,-44.47809523809519
flesch_kincaid_grade,15.565508130081302,28.05333333333333,25.34322772277228,31.056428571428572
smog,15.742502247213078,26.469222255958233,24.605784474098883,29.2041
gunning_fog,18.641463414634146,32.686950293654206,30.153399339933994,36.523809523809526
automated_readability_index,18.63420731707317,36.50038246669532,33.348861386138616,39.3898869047619
coleman_liau_index,14.059593495934962,30.019739292364985,26.635841584158417,30.36421428571428
lix,63.27032520325203,111.32631428162155,102.94125412541254,115.41666666666666
rix,10.0,28.923076923076923,25.266666666666666,32.083333333333336
entropy,16.045080353455116,5.837597400542466,6.823229174467735,6.017766049769347
perplexity,9295866.095628865,342.95436804380444,918.9476663811307,410.66017586189497
per_word_perplexity,16901.57471932521,0.6006206095338081,1.396577000579226,0.6787771501849503
connectives,14,6,15,4
connectives_cap,1,0,0,0
