,human,continue,create,explain
token_length_mean,7.050561797752809,7.990358126721763,8.995923913043478,7.938579654510557
token_length_median,6.0,7.0,8.0,7.0
token_length_std,4.667329039026559,4.524639082281955,5.288547379528251,4.785621969726532
sentence_length_mean,21.575757575757574,11.169230769230769,10.823529411764707,13.710526315789474
sentence_length_median,22.0,9.0,7.5,14.0
sentence_length_std,11.243935208437192,10.286016244276246,9.429211769924152,6.995893136378176
syllables_per_token_mean,2.377808988764045,2.734159779614325,3.042119565217391,2.72936660268714
syllables_per_token_median,2.0,2.0,3.0,2.0
syllables_per_token_std,1.6605846159968767,1.6612969299983642,2.005323856216959,1.8237296427761112
n_tokens,712,726,736,521
n_unique_tokens,393,497,520,389
proportion_unique_tokens,0.5519662921348315,0.6845730027548209,0.7065217391304348,0.746641074856046
n_characters,5137,5962,6690,4231
n_sentences,33,65,68,38
first_order_coherence,0.5591384605504572,0.22666272946389654,0.3893726183407342,0.40411384822800756
second_order_coherence,0.5382747611691875,0.19866765620526933,0.36055518652905116,0.44326973530567354
passed_quality_check,True,True,False,True
n_stop_words,354.0,251.0,210.0,179.0
alpha_ratio,0.8588661037394452,0.8099547511312217,0.9165628891656289,0.8338762214983714
mean_word_length,6.196622436670688,6.744343891402715,8.331257783312578,6.890879478827362
doc_length,829.0,884.0,803.0,614.0
symbol_to_word_ratio_#,0.0,0.008264462809917356,0.0,0.0
proportion_ellipsis,0.0,0.0,0.0,0.0
proportion_bullet_points,0.0,0.0,1.0,0.05263157894736842
contains_lorem ipsum,0.0,0.0,0.0,0.0
duplicate_line_chr_fraction,0.0,0.0,0.0,0.0
duplicate_paragraph_chr_fraction,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_5,0.020184741703729046,0.0,0.10672947510094212,0.0
duplicate_ngram_chr_fraction_6,0.0,0.0,0.10672947510094212,0.0
duplicate_ngram_chr_fraction_7,0.0,0.0,0.10672947510094212,0.0
duplicate_ngram_chr_fraction_8,0.0,0.0,0.10672947510094212,0.0
duplicate_ngram_chr_fraction_9,0.0,0.0,0.10672947510094212,0.0
duplicate_ngram_chr_fraction_10,0.0,0.0,0.10672947510094212,0.0
top_ngram_chr_fraction_2,0.008210742387957578,0.006863622799164429,0.004037685060565276,0.0059271803556308214
top_ngram_chr_fraction_3,0.010263427984946972,0.005968367651447329,0.0,0.007408975444538527
top_ngram_chr_fraction_4,0.010263427984946972,0.007162041181736795,0.0,0.006350550381033023
oov_ratio,0.047044632086851626,0.05995475113122172,0.19427148194271482,0.11726384364820847
pos_prop_NOUN,0.23281061519903498,0.25904977375565613,0.2577833125778331,0.20846905537459284
pos_prop_AUX,0.03739445114595899,0.03619909502262444,0.024906600249066,0.030944625407166124
pos_prop_ADP,0.11942098914354644,0.09728506787330317,0.06973848069738481,0.0732899022801303
pos_prop_DET,0.13148371531966224,0.05995475113122172,0.07721046077210461,0.08794788273615635
pos_prop_VERB,0.06513872135102533,0.06447963800904978,0.09090909090909091,0.07166123778501629
pos_prop_PUNCT,0.13027744270205066,0.12782805429864252,0.0784557907845579,0.13680781758957655
pos_prop_PRON,0.027744270205066344,0.01809954751131222,0.019925280199252802,0.029315960912052116
pos_prop_ADJ,0.08082026537997587,0.16176470588235295,0.15442092154420922,0.08794788273615635
pos_prop_SCONJ,0.009650180940892641,0.012443438914027148,0.008717310087173101,0.008143322475570033
pos_prop_PART,0.019300361881785282,0.010180995475113122,0.0112079701120797,0.006514657980456026
pos_prop_ADV,0.06634499396863691,0.0667420814479638,0.10585305105853052,0.07166123778501629
pos_prop_CCONJ,0.03739445114595899,0.038461538461538464,0.031133250311332503,0.029315960912052116
pos_prop_PROPN,0.03739445114595899,0.01809954751131222,0.058530510585305104,0.09446254071661238
pos_prop_X,0.0048250904704463205,0.02828054298642534,0.008717310087173101,0.048859934853420196
dependency_distance_mean,3.6143870067303228,2.0714600083052837,1.8340105436709322,2.643172181234865
dependency_distance_std,1.4923601251416414,1.3515032900860457,1.1826496588630255,1.0616137294245886
prop_adjacent_dependency_relation_mean,0.46422380577982864,0.453139006121542,0.43210415291475535,0.452238181311006
prop_adjacent_dependency_relation_std,0.058248782103841865,0.134405529211588,0.16469071797382245,0.08698266066292487
flesch_reading_ease,16.831951936148755,3.4112701612903322,-1.3056912906007483,3.5447950863073174
flesch_kincaid_grade,20.88269152196118,21.02908539944904,24.528187340153448,21.963631174866148
smog,19.071530321172947,16.42321983374026,16.722272999924716,17.335599115027005
gunning_fog,23.06850527749404,23.8616317016317,25.253324808184146,23.526437013839782
automated_readability_index,22.566024855294515,21.78920216147489,26.35256633631714,22.81597333063946
coleman_liau_index,24.28539325842696,28.533168044077133,34.36125,28.71992322456813
lix,64.13193735103847,66.4033905488451,72.23657289002557,67.45332861905244
rix,9.181818181818182,6.1692307692307695,6.647058823529412,7.368421052631579
entropy,13.667021142473573,7.949953637949887,5.963417559744741,5.299830454367526
perplexity,862009.1310658758,2835.44349045396,388.9370711637013,200.30284662288702
per_word_perplexity,1039.8180109359178,3.2075152606945245,0.4843550076758422,0.3262261345649626
connectives,15,17,21,14
connectives_cap,3,2,4,3
pos_prop_NUM,,0.0011312217194570137,0.0024906600249066002,
pos_prop_SPACE,,,,0.014657980456026058
