,human,continue,create,explain
token_length_mean,5.666666666666667,7.899705014749262,8.17732558139535,6.848348348348348
token_length_median,5.0,8.0,8.0,7.0
token_length_std,3.000359561336462,3.143842589200049,4.4399033418188765,3.595894218411434
sentence_length_mean,26.869565217391305,42.375,38.22222222222222,39.1764705882353
sentence_length_median,28.0,24.5,27.0,29.0
sentence_length_std,11.906535829666746,57.091894126924885,37.89833704290049,35.04826133829423
syllables_per_token_mean,1.7103559870550162,2.3613569321533925,2.443313953488372,2.066066066066066
syllables_per_token_median,1.0,2.0,2.0,2.0
syllables_per_token_std,0.9862761529978538,1.1815116758420376,1.4304563246677768,1.2149550425406836
n_tokens,618,678,688,666
n_unique_tokens,264,540,578,463
proportion_unique_tokens,0.42718446601941745,0.7964601769911505,0.8401162790697675,0.6951951951951952
n_characters,3637,5416,5711,4653
n_sentences,23,16,18,17
first_order_coherence,0.7248742566867308,0.7863852043946584,0.7453880310058594,0.7552320118993521
second_order_coherence,0.7125834943283171,0.7670318894088268,0.7151359873823822,0.7166103263696034
passed_quality_check,True,True,False,True
n_stop_words,261.0,119.0,114.0,170.0
alpha_ratio,0.8156498673740054,0.9131614654002713,0.8767833981841764,0.8350785340314136
mean_word_length,4.824933687002653,7.348710990502036,7.407263294422828,6.102094240837697
doc_length,754.0,737.0,771.0,764.0
symbol_to_word_ratio_#,0.0,0.0,0.0,0.013910355486862442
proportion_ellipsis,0.0,0.0,0.0,0.0
proportion_bullet_points,0.0,0.0,1.0,0.08823529411764706
contains_lorem ipsum,0.0,0.0,0.0,0.0
duplicate_line_chr_fraction,0.0,0.0,0.0,0.0
duplicate_paragraph_chr_fraction,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_5,0.03673181068989875,0.0,0.0,0.0
duplicate_ngram_chr_fraction_6,0.02354603249352484,0.0,0.0,0.0
duplicate_ngram_chr_fraction_7,0.02354603249352484,0.0,0.0,0.0
duplicate_ngram_chr_fraction_8,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_9,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_10,0.0,0.0,0.0,0.0
top_ngram_chr_fraction_2,0.018836825994819874,0.000986679822397632,0.0015683814303638645,0.0022757443580504457
top_ngram_chr_fraction_3,0.02354603249352484,0.0,0.0,0.0017068082685378343
top_ngram_chr_fraction_4,0.018365905344949376,0.0,0.0,0.0
oov_ratio,0.002652519893899204,0.014925373134328358,0.09987029831387809,0.056282722513089
pos_prop_AUX,0.034482758620689655,0.013568521031207599,0.010376134889753566,0.010471204188481676
pos_prop_ADJ,0.11405835543766578,0.23744911804613297,0.20233463035019456,0.17670157068062828
pos_prop_ADP,0.10742705570291777,0.06377204884667571,0.057068741893644616,0.09162303664921466
pos_prop_NUM,0.007957559681697613,0.0067842605156037995,0.01297016861219196,0.01832460732984293
pos_prop_NOUN,0.23342175066312998,0.23066485753052918,0.245136186770428,0.23821989528795812
pos_prop_VERB,0.08885941644562334,0.1655359565807327,0.14785992217898833,0.11387434554973822
pos_prop_DET,0.05968169761273209,0.024423337856173677,0.02204928664072633,0.04319371727748691
pos_prop_PROPN,0.04509283819628647,0.031207598371777476,0.09857328145265888,0.07068062827225131
pos_prop_X,0.038461538461538464,0.009497964721845319,0.011673151750972763,0.007853403141361256
pos_prop_PUNCT,0.1273209549071618,0.06512890094979647,0.08690012970168612,0.09162303664921466
pos_prop_ADV,0.03580901856763926,0.09769335142469471,0.04798962386511025,0.041884816753926704
pos_prop_PART,0.03713527851458886,0.013568521031207599,0.010376134889753566,0.011780104712041885
pos_prop_SCONJ,0.01856763925729443,0.009497964721845319,0.011673151750972763,0.010471204188481676
pos_prop_PRON,0.023872679045092837,0.012211668928086838,0.011673151750972763,0.014397905759162303
pos_prop_CCONJ,0.026525198938992044,0.017639077340569877,0.020752269779507133,0.017015706806282723
pos_prop_SPACE,0.001326259946949602,,,0.0274869109947644
dependency_distance_mean,4.092487949278169,3.141915748438306,3.2588803765598238,3.2712598689138015
dependency_distance_std,1.9408204175421044,1.4693777735117908,0.9897621636899097,1.0332077340725188
prop_adjacent_dependency_relation_mean,0.4368336369489412,0.4221157388145399,0.43176292285559437,0.47770511515297687
prop_adjacent_dependency_relation_std,0.06744699597706837,0.12589014738469967,0.08657993449127455,0.048793916308567754
flesch_reading_ease,34.86627479949348,-35.94642146017699,-38.6649160206718,-7.7183068362480185
flesch_kincaid_grade,15.0713310820318,28.800261799410034,28.147771317829456,24.06840310899135
smog,15.622405511700883,27.324114840355026,26.177590803810418,22.625439113370216
gunning_fog,17.867567187280144,33.88215339233039,32.323772609819116,27.562480127186014
automated_readability_index,18.694782608695654,36.96511061946902,36.19631459948321,30.41395601483837
coleman_liau_index,16.41838187702265,29.95174041297935,31.508255813953493,23.712732732732736
lix,67.80807654425215,112.13901179941003,104.35594315245478,92.7800741918389
rix,11.0,29.5625,25.27777777777778,21.0
entropy,17.716219268147757,7.293921288360728,7.409512666637713,10.67309094267092
perplexity,49437473.53391882,1471.3289049388168,1651.6212605655746,43178.196780492326
per_word_perplexity,65566.94102641754,1.996375719048598,2.142180623301653,56.51596437237215
connectives,19,7,12,15
connectives_cap,7,2,4,4
pos_prop_SYM,,0.0013568521031207597,0.0025940337224383916,0.014397905759162303
