,human,continue,create,explain
flesch_reading_ease,52.959455004944516,38.85832813474734,47.20759050639835,28.560372323113967
flesch_kincaid_grade,12.362819699852043,15.89828282828283,13.718699186991874,18.721512922090174
smog,13.153215645466396,15.94183989575858,13.952822521885398,17.673040127917346
gunning_fog,14.639695624603679,18.267855020796198,15.413383364602877,20.61047601081557
automated_readability_index,12.30443880786303,16.633756684491978,13.657737335834895,19.760548324215556
coleman_liau_index,15.875341365461843,18.546862745098036,16.283512195121947,20.648828522920194
lix,43.22574508560558,53.67617349970291,44.38711694809256,58.31736150411872
rix,3.9473684210526314,6.515151515151516,4.512820512820513,7.962962962962963
token_length_mean,5.771084337349397,6.112745098039215,5.775609756097561,6.429541595925297
token_length_median,5.0,5.0,5.0,5.0
token_length_std,3.4739141536750844,3.771933803939234,3.364335701070616,4.13448086800873
sentence_length_mean,13.105263157894736,18.545454545454547,15.76923076923077,21.814814814814813
sentence_length_median,13.0,19.0,14.0,20.0
sentence_length_std,6.560606012140753,7.499862257688306,9.420276925706695,11.062238193719901
syllables_per_token_mean,1.9357429718875503,2.0555555555555554,1.9626016260162602,2.1867572156196946
syllables_per_token_median,2.0,2.0,2.0,2.0
syllables_per_token_std,1.2594572164711624,1.3124038160281861,1.2598488987978813,1.4646118211173205
n_tokens,498,612,615,589
n_unique_tokens,321,345,355,335
proportion_unique_tokens,0.6445783132530121,0.5637254901960784,0.5772357723577236,0.568760611205433
n_characters,2960,3816,3643,3853
n_sentences,38,33,39,27
entropy,8.264893316925129,9.51985320083366,9.191177808593253,8.320089612498663
perplexity,3885.0584857095587,13627.610545300535,9810.198713704576,4105.527898403473
per_word_perplexity,6.641125616597536,19.83640545167472,13.994577337667014,6.267981524280112
passed_quality_check,True,True,True,True
n_stop_words,257.0,299.0,328.0,285.0
alpha_ratio,0.8376068376068376,0.8893740902474527,0.8758915834522111,0.8763358778625954
mean_word_length,5.061538461538461,5.554585152838428,5.196861626248217,5.883969465648855
doc_length,585.0,687.0,701.0,655.0
symbol_to_word_ratio_#,0.0,0.0,0.0,0.0
proportion_ellipsis,0.0,0.0,0.0,0.0
proportion_bullet_points,0.0,0.0,0.0,0.0
contains_lorem ipsum,0.0,0.0,0.0,0.0
duplicate_line_chr_fraction,0.0,0.0,0.0,0.0
duplicate_paragraph_chr_fraction,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_5,0.0,0.0,0.0,0.07231638418079096
duplicate_ngram_chr_fraction_6,0.0,0.0,0.0,0.04700564971751412
duplicate_ngram_chr_fraction_7,0.0,0.0,0.0,0.030282485875706214
duplicate_ngram_chr_fraction_8,0.0,0.0,0.0,0.030282485875706214
duplicate_ngram_chr_fraction_9,0.0,0.0,0.0,0.030282485875706214
duplicate_ngram_chr_fraction_10,0.0,0.0,0.0,0.030282485875706214
top_ngram_chr_fraction_2,0.012694748990190421,0.009465855307640297,0.010553470919324577,0.006101694915254237
top_ngram_chr_fraction_3,0.0,0.014424160468785216,0.009146341463414634,0.017175141242937852
top_ngram_chr_fraction_4,0.0,0.0,0.0,0.02350282485875706
oov_ratio,0.02735042735042735,0.026200873362445413,0.02282453637660485,0.04732824427480916
pos_prop_ADJ,0.04957264957264957,0.09170305676855896,0.05420827389443652,0.08854961832061069
pos_prop_NOUN,0.1811965811965812,0.20378457059679767,0.1825962910128388,0.18473282442748093
pos_prop_ADP,0.08888888888888889,0.09606986899563319,0.09415121255349501,0.11450381679389313
pos_prop_DET,0.11794871794871795,0.11935953420669577,0.11982881597717546,0.12213740458015267
pos_prop_VERB,0.08888888888888889,0.06259097525473072,0.07845934379457917,0.07480916030534351
pos_prop_PUNCT,0.14871794871794872,0.10771470160116449,0.12125534950071326,0.10076335877862595
pos_prop_PRON,0.06324786324786325,0.034934497816593885,0.05420827389443652,0.04732824427480916
pos_prop_PROPN,0.0735042735042735,0.06404657933042213,0.07132667617689016,0.07938931297709924
pos_prop_ADV,0.07521367521367521,0.09315866084425037,0.09843081312410841,0.07786259541984733
pos_prop_AUX,0.03076923076923077,0.048034934497816595,0.05706134094151213,0.0366412213740458
pos_prop_NUM,0.015384615384615385,0.001455604075691412,0.0028530670470756064,0.004580152671755725
pos_prop_PART,0.018803418803418803,0.017467248908296942,0.015691868758915834,0.00916030534351145
pos_prop_CCONJ,0.03247863247863248,0.048034934497816595,0.034236804564907276,0.03206106870229008
pos_prop_SCONJ,0.011965811965811967,0.011644832605531296,0.014265335235378032,0.007633587786259542
pos_prop_SPACE,0.0017094017094017094,,,0.01984732824427481
pos_prop_X,0.0017094017094017094,,0.0014265335235378032,
first_order_coherence,0.5178354156983865,0.5843221568502486,0.5159855792360184,0.6025091499949877
second_order_coherence,0.493377149105072,0.5923985040956928,0.49303491896874196,0.5851892659068108
dependency_distance_mean,2.6607951794132028,3.1425711735377724,2.9167265027859504,3.14595805361003
dependency_distance_std,0.9303766878033959,0.8666707388898491,1.0162389410493038,0.8067360594731436
prop_adjacent_dependency_relation_mean,0.45928585934075616,0.45345335089149114,0.4044696753660711,0.4654392137241195
prop_adjacent_dependency_relation_std,0.08400915330871692,0.06962515349705665,0.1008946578373507,0.0705298920798335
connectives,17,26,21,23
connectives_cap,5,7,8,3
