,human,continue,create,explain
token_length_mean,6.156108597285068,7.633699633699634,6.98489932885906,7.00936329588015
token_length_median,5.0,7.0,6.0,6.0
token_length_std,3.3815538032024914,4.238913557058261,4.026519491825818,3.980042248359647
sentence_length_mean,16.37037037037037,10.705882352941176,9.46031746031746,12.714285714285714
sentence_length_median,15.0,8.0,8.0,12.5
sentence_length_std,9.607667262826922,9.214851860430995,7.802778090588312,8.378787599208675
syllables_per_token_mean,2.065610859728507,2.567765567765568,2.3439597315436242,2.365168539325843
syllables_per_token_median,2.0,2.0,2.0,2.0
syllables_per_token_std,1.2666066872370285,1.4947972494075574,1.4145031706768851,1.4699181706895574
n_tokens,442,546,596,534
n_unique_tokens,284,460,435,385
proportion_unique_tokens,0.6425339366515838,0.8424908424908425,0.7298657718120806,0.7209737827715356
n_characters,2798,4220,4267,3796
n_sentences,27,51,63,42
first_order_coherence,0.41988634318113327,0.2947851863503456,0.41141794069159415,0.41376831382513046
second_order_coherence,0.38578777961432936,0.32618264774126665,0.26912184847427195,0.4091251957099303
passed_quality_check,True,True,True,True
n_stop_words,216.0,163.0,215.0,195.0
alpha_ratio,0.8518518518518519,0.8963210702341137,0.8577586206896551,0.8807495741056218
mean_word_length,5.454191033138401,7.05685618729097,6.130747126436781,6.466780238500852
doc_length,513.0,598.0,696.0,587.0
symbol_to_word_ratio_#,0.0,0.0,0.02847571189279732,0.0
proportion_ellipsis,0.0,0.05,0.0,0.0
proportion_bullet_points,0.0,0.0,0.0,0.13043478260869565
contains_lorem ipsum,0.0,0.0,0.0,0.0
duplicate_line_chr_fraction,0.0,0.0,0.0,0.0
duplicate_paragraph_chr_fraction,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_5,0.019939577039274924,0.0,0.002461033634126333,0.0
duplicate_ngram_chr_fraction_6,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_7,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_8,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_9,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_10,0.0,0.0,0.0,0.0
top_ngram_chr_fraction_2,0.004531722054380665,0.0025263157894736842,0.004922067268252666,0.005560704355885079
top_ngram_chr_fraction_3,0.012688821752265862,0.0,0.004306808859721083,0.014596848934198332
top_ngram_chr_fraction_4,0.0,0.0,0.0030762920426579163,0.0
oov_ratio,0.025341130604288498,0.13712374581939799,0.05172413793103448,0.08517887563884156
pos_prop_PROPN,0.09746588693957114,0.08361204013377926,0.08189655172413793,0.09880749574105621
pos_prop_PUNCT,0.1364522417153996,0.08528428093645485,0.11350574712643678,0.0868824531516184
pos_prop_ADV,0.07992202729044834,0.11371237458193979,0.07183908045977011,0.07155025553662692
pos_prop_VERB,0.08771929824561403,0.07859531772575251,0.09770114942528736,0.0817717206132879
pos_prop_PRON,0.05458089668615984,0.03678929765886288,0.035919540229885055,0.03236797274275979
pos_prop_ADP,0.08382066276803118,0.07859531772575251,0.08908045977011494,0.08347529812606473
pos_prop_NOUN,0.1695906432748538,0.23578595317725753,0.21839080459770116,0.24190800681431004
pos_prop_DET,0.10721247563352826,0.07859531772575251,0.09195402298850575,0.0919931856899489
pos_prop_SCONJ,0.017543859649122806,0.0016722408026755853,0.005747126436781609,0.0068143100511073255
pos_prop_PART,0.011695906432748537,0.008361204013377926,0.008620689655172414,0.0068143100511073255
pos_prop_ADJ,0.06042884990253411,0.11705685618729098,0.07758620689655173,0.08858603066439523
pos_prop_CCONJ,0.029239766081871343,0.021739130434782608,0.02442528735632184,0.034071550255536626
pos_prop_AUX,0.04093567251461988,0.015050167224080268,0.020114942528735632,0.03236797274275979
pos_prop_NUM,0.021442495126705652,0.0016722408026755853,,0.013628620102214651
pos_prop_X,0.001949317738791423,0.026755852842809364,0.06321839080459771,0.0068143100511073255
dependency_distance_mean,2.963861081831389,1.9271021184784218,1.8986905614356593,2.2847277719883827
dependency_distance_std,1.295083244179301,1.2410423859930475,1.287194107162951,1.3088467333572034
prop_adjacent_dependency_relation_mean,0.3961941097600088,0.46320011241117315,0.42165796187586063,0.44124654484385334
prop_adjacent_dependency_relation_std,0.13355014527989123,0.15874778661260164,0.19413715860364247,0.18889679165135773
flesch_reading_ease,38.01302681992338,15.741805401405827,28.686781609195407,20.9375
flesch_kincaid_grade,15.168652589240828,18.884927817280758,15.758248641738579,17.277560192616374
smog,15.567600802838829,15.573315712767211,13.731508374201276,15.279682290573568
gunning_fog,18.13185855538797,22.0112906701142,18.34788537338873,19.317924023542002
automated_readability_index,15.750456678397853,19.877666451195864,16.1990345690849,17.941243980738363
coleman_liau_index,18.589773755656108,26.321318681318683,22.14234899328859,23.08696629213483
lix,53.24819842466901,63.26998491704374,55.09790135293491,58.7817014446228
rix,6.037037037037037,5.627450980392157,4.317460317460317,5.857142857142857
entropy,6.9494906239427525,4.373481457030375,6.422543106177029,5.001576329446832
perplexity,1042.6185079915524,79.31929828910873,615.5665764204829,148.64729162207846
per_word_perplexity,2.03239475242018,0.13264096703864336,0.884434736236326,0.2532321833425527
connectives,17,14,19,14
connectives_cap,2,1,6,1
pos_prop_SPACE,,0.016722408026755852,,0.022146507666098807
