,human,continue,create,explain
token_length_mean,5.2335907335907335,6.9143389199255125,8.088274044795783,7.687134502923977
token_length_median,4.0,7.0,8.0,8.0
token_length_std,2.8679885196951753,3.3929655541997725,3.211287249029926,3.2356400669307575
sentence_length_mean,23.545454545454547,24.40909090909091,58.38461538461539,45.6
sentence_length_median,21.5,22.0,29.0,32.0
sentence_length_std,15.97648064763631,20.310452058236354,99.30027380978477,44.11621017267916
syllables_per_token_mean,1.583011583011583,2.0819366852886407,2.3965744400527007,2.283625730994152
syllables_per_token_median,1.0,2.0,2.0,2.0
syllables_per_token_std,0.8786732077646614,1.1789548016343323,1.1453239374367103,1.1741468273616436
n_tokens,518,537,759,684
n_unique_tokens,240,401,609,570
proportion_unique_tokens,0.46332046332046334,0.7467411545623837,0.8023715415019763,0.8333333333333334
n_characters,2803,3822,6197,5326
n_sentences,22,22,13,15
first_order_coherence,0.6635432275278228,0.5780191146546886,0.8900100241104761,0.6975881116730827
second_order_coherence,0.7352959729731083,0.5712313946336508,0.8811128410426053,0.6711000547959254
passed_quality_check,True,True,True,True
n_stop_words,209.0,131.0,128.0,112.0
alpha_ratio,0.8131147540983606,0.8087091757387247,0.9313725490196079,0.8902275769745649
mean_word_length,4.5950819672131145,5.94556765163297,7.5943627450980395,7.1298527443105755
doc_length,610.0,643.0,816.0,747.0
symbol_to_word_ratio_#,0.0,0.017241379310344827,0.003947368421052632,0.004451038575667656
proportion_ellipsis,0.0,0.0,0.0,0.0
proportion_bullet_points,0.0,0.21428571428571427,0.0,0.045454545454545456
contains_lorem ipsum,0.0,0.0,0.0,0.0
duplicate_line_chr_fraction,0.0,0.0,0.0,0.0
duplicate_paragraph_chr_fraction,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_5,0.08298129149064574,0.0,0.0,0.0
duplicate_ngram_chr_fraction_6,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_7,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_8,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_9,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_10,0.0,0.0,0.0,0.0
top_ngram_chr_fraction_2,0.013277006638503319,0.003706277507528376,0.0,0.0025113008538422904
top_ngram_chr_fraction_3,0.01659625829812915,0.002779708130646282,0.0,0.0
top_ngram_chr_fraction_4,0.019915509957754977,0.0034746351633078527,0.0,0.0
oov_ratio,0.01639344262295082,0.03265940902021773,0.01838235294117647,0.02677376171352075
pos_prop_NOUN,0.23770491803278687,0.27527216174183516,0.27205882352941174,0.2878179384203481
pos_prop_PUNCT,0.11147540983606558,0.1290824261275272,0.06004901960784314,0.06157965194109773
pos_prop_PROPN,0.047540983606557376,0.04821150855365474,0.01838235294117647,0.04819277108433735
pos_prop_AUX,0.04262295081967213,0.02332814930015552,0.014705882352941176,0.008032128514056224
pos_prop_DET,0.08032786885245902,0.027993779160186624,0.020833333333333332,0.028112449799196786
pos_prop_ADJ,0.13114754098360656,0.15707620528771385,0.2181372549019608,0.214190093708166
pos_prop_VERB,0.06885245901639345,0.1150855365474339,0.17279411764705882,0.15528781793842034
pos_prop_ADP,0.12950819672131147,0.08398133748055987,0.07352941176470588,0.06291834002677377
pos_prop_CCONJ,0.036065573770491806,0.013996889580093312,0.013480392156862746,0.006693440428380187
pos_prop_NUM,0.036065573770491806,0.00933125972006221,0.0012254901960784314,0.01606425702811245
pos_prop_ADV,0.029508196721311476,0.04510108864696734,0.10661764705882353,0.06693440428380187
pos_prop_PRON,0.013114754098360656,0.01088646967340591,0.006127450980392157,0.00535475234270415
pos_prop_X,0.02622950819672131,0.003110419906687403,0.0012254901960784314,0.009370816599732263
pos_prop_SCONJ,0.003278688524590164,0.017107309486780714,0.012254901960784314,0.008032128514056224
pos_prop_PART,0.006557377049180328,0.004665629860031105,0.006127450980392157,0.004016064257028112
dependency_distance_mean,3.1074198289756554,2.708627265766097,3.374802164680122,3.6185884338285135
dependency_distance_std,1.3176315561481249,0.7727346655585785,1.2532305775224197,2.119730882525048
prop_adjacent_dependency_relation_mean,0.4484824624867324,0.470638971822879,0.4817851664704185,0.4986537750162841
prop_adjacent_dependency_relation_std,0.06242428573198871,0.055895242206783866,0.05812865802864405,0.06841732303158612
flesch_reading_ease,49.01358371358373,5.927929151853732,-55.17558224384305,-32.64373684210523
flesch_kincaid_grade,12.272263952263955,18.49639834095142,35.45957839262188,29.140783625731
smog,15.00032121695229,18.678992735672136,32.12894409772417,28.161099999999998
gunning_fog,16.754089154089154,21.905163365498563,41.008655113002945,35.08210526315789
automated_readability_index,14.992939627939627,23.34108176739462,45.85807844329583,37.576403508771925
coleman_liau_index,13.716370656370657,23.64364990689013,31.252068511198946,28.75122807017544
lix,53.85433485433485,78.97147452175386,129.00385122124254,110.51228070175438
rix,7.136363636363637,13.318181818181818,41.23076923076923,29.6
entropy,15.8478373035155,9.65786988858682,7.253016407837037,6.966938402699171
perplexity,7631823.026696678,15644.424782784356,1412.3586791232835,1060.9695116324417
per_word_perplexity,12511.185289666686,24.330365136523103,1.730831714611867,1.4203072444878737
connectives,9,10,12,10
connectives_cap,1,1,3,2
pos_prop_SPACE,,0.02332814930015552,,0.014725568942436412
pos_prop_SYM,,0.012441679626749611,0.0024509803921568627,0.002677376171352075
