,human,continue,create,explain
entropy,43.3180687567721,11.830485780278174,12.20567845023811,12.497887088083258
perplexity,6.498277117228008e+18,137377.21018539235,199921.1764785386,267770.912030893
per_word_perplexity,1905094434836707.2,167.12555983624372,228.22052109422216,316.5140804147672
flesch_reading_ease,34.01573812445889,29.489752923641362,27.313739290085692,26.821602572430834
flesch_kincaid_grade,15.415638367242792,17.568571428571435,18.560976803136153,18.82174184485719
smog,15.630306463427324,16.711821008693363,17.99041373109233,17.6023228454786
gunning_fog,18.772087336492152,21.07482993197279,22.09238659474755,21.74902450444826
automated_readability_index,14.6852466749122,17.405918367346935,19.11457069590592,19.3366564694865
coleman_liau_index,17.95269852182881,21.34666666666666,21.749556400506965,22.57025503355705
lix,52.22413377608772,56.76870748299319,58.146048869631855,58.667863274543464
rix,5.582474226804123,6.26530612244898,7.3023255813953485,7.162790697674419
pos_prop_PROPN,0.05570214013485781,0.030413625304136254,0.0365296803652968,0.015366430260047281
pos_prop_AUX,0.03869832893579595,0.06690997566909976,0.05365296803652968,0.05673758865248227
pos_prop_ADV,0.06097918498973908,0.07664233576642336,0.0639269406392694,0.06501182033096926
pos_prop_ADP,0.11785400175901495,0.10097323600973236,0.10159817351598173,0.08983451536643026
pos_prop_DET,0.10964526531808853,0.09367396593673966,0.12899543378995434,0.1182033096926714
pos_prop_NOUN,0.20345939607153327,0.21046228710462286,0.2374429223744292,0.21394799054373523
pos_prop_VERB,0.06068601583113457,0.09975669099756691,0.07420091324200913,0.08628841607565012
pos_prop_PUNCT,0.1345646437994723,0.10583941605839416,0.09931506849315068,0.11938534278959811
pos_prop_CCONJ,0.024626209322779244,0.040145985401459854,0.033105022831050226,0.041371158392434985
pos_prop_ADJ,0.05599530929346233,0.07785888077858881,0.0821917808219178,0.07446808510638298
pos_prop_SCONJ,0.004983875696276752,0.019464720194647202,0.0182648401826484,0.02955082742316785
pos_prop_PRON,0.030196423336265026,0.037712895377128956,0.026255707762557076,0.04728132387706856
pos_prop_PART,0.004983875696276752,0.01824817518248175,0.010273972602739725,0.009456264775413711
pos_prop_NUM,0.08208736440926415,,0.00228310502283105,0.01182033096926714
pos_prop_X,0.015537965406039285,,,0.002364066193853428
dependency_distance_mean,2.7856386989767365,2.985869551870195,2.976234847498536,3.211500741278005
dependency_distance_std,1.1897552032994758,0.7275330325051359,0.7881885134612566,1.1420162222173194
prop_adjacent_dependency_relation_mean,0.4225249529036694,0.4750200357971132,0.4844259761535678,0.467504161334155
prop_adjacent_dependency_relation_std,0.1196394530805048,0.09479907518430948,0.07887263030012469,0.10272559203743055
first_order_coherence,0.44943263471835904,0.7336222771555185,0.6807230241774094,0.5841922761118483
second_order_coherence,0.39684620851123026,0.7272399220060795,0.6864492537044897,0.5908418897448516
token_length_mean,6.075971124097628,6.653061224489796,6.660329531051964,6.816107382550336
token_length_median,5.0,6.0,6.0,6.0
token_length_std,4.111718088368584,4.117414586096788,4.169867208956656,4.528182697153965
sentence_length_mean,14.994845360824742,15.0,18.348837209302324,17.325581395348838
sentence_length_median,13.0,14.0,17.0,16.0
sentence_length_std,9.0288754552489,4.43087497693452,6.194084653476204,7.587385278187332
syllables_per_token_mean,2.13200412512891,2.3142857142857145,2.287705956907478,2.3436241610738255
syllables_per_token_median,2.0,2.0,2.0,2.0
syllables_per_token_std,1.4776099568500822,1.500294755620207,1.4077869390038802,1.6482784245343292
n_tokens,2909,735,789,745
n_unique_tokens,887,336,328,368
proportion_unique_tokens,0.30491577861808183,0.45714285714285713,0.4157160963244613,0.49395973154362416
n_characters,18177,4977,5342,5179
n_sentences,194,49,43,43
passed_quality_check,False,True,False,True
n_stop_words,1297.0,348.0,357.0,382.0
alpha_ratio,0.7663441805922017,0.8722627737226277,0.867579908675799,0.8569739952718676
mean_word_length,5.328935795954266,6.054744525547445,6.098173515981735,6.121749408983452
doc_length,3411.0,822.0,876.0,846.0
symbol_to_word_ratio_#,0.0,0.0,0.0,0.0
proportion_ellipsis,0.0,0.0,0.0,0.0
proportion_bullet_points,0.0,0.0,0.0,0.0
contains_lorem ipsum,0.0,0.0,0.0,0.0
duplicate_line_chr_fraction,0.0,0.0,0.002798814619690484,0.0
duplicate_paragraph_chr_fraction,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_5,0.18503227031131358,0.10535588442565187,0.1837339479749753,0.06788866259334692
duplicate_ngram_chr_fraction_6,0.1568432042520881,0.06871035940803383,0.12742838327296674,0.04650373387644263
duplicate_ngram_chr_fraction_7,0.12115603644646925,0.06871035940803383,0.11689166941060257,0.04650373387644263
duplicate_ngram_chr_fraction_8,0.109624145785877,0.06871035940803383,0.07178136318735594,0.03937542430414121
duplicate_ngram_chr_fraction_9,0.0683371298405467,0.06871035940803383,0.07178136318735594,0.02172437202987101
duplicate_ngram_chr_fraction_10,0.047171602126044036,0.047216349541930935,0.0270003292723082,0.02172437202987101
top_ngram_chr_fraction_2,0.003321943811693242,0.008985200845665961,0.007902535396773132,0.016293279022403257
top_ngram_chr_fraction_3,0.00593204252088079,0.011451726568005638,0.029634507737899243,0.0050916496945010185
top_ngram_chr_fraction_4,0.006786256643887623,0.009513742071881607,0.015805070793546264,0.008486082824168364
oov_ratio,0.06801524479624743,0.040145985401459854,0.04794520547945205,0.06619385342789598
connectives,84,35,22,19
connectives_cap,10,8,5,5
pos_prop_SPACE,,0.021897810218978103,0.0319634703196347,0.018912529550827423
