feature,persona,test,t-statistic,pvalue,bon,bh,reject
proportion_unique_tokens,human-explain,t-test,21.851953732572856,3.975983022274774e-70,2.862707776037837e-68,2.862707776037837e-68,True
alpha_ratio,human-continue,mannwhitneyu,2475.5,6.780186953947339e-52,4.881734606842084e-50,1.7924356281321675e-43,True
pos_prop_PUNCT,human-explain,mannwhitneyu,37200.0,4.6749719349216685e-50,3.365979793143601e-48,1.4567227100769648e-48,True
duplicate_ngram_chr_fraction_5,human-explain,mannwhitneyu,3104.0,6.069677958654021e-50,4.3701681302308946e-48,1.447590481109091e-47,True
prop_adjacent_dependency_relation_mean,human-explain,t-test,-16.93129933136626,8.04216933949495e-49,5.790361924436364e-47,6.884103081438535e-46,True
MTLD,explain-create,t-test,-15.982324730907541,3.867313302141666e-48,2.7844655775419996e-46,8.941680095199136e-26,True
duplicate_ngram_chr_fraction_6,human-explain,mannwhitneyu,4135.0,4.780627139887872e-47,3.4420515407192675e-45,1.4236827717217738e-39,True
pos_prop_PUNCT,human-continue,mannwhitneyu,36280.0,4.9789878559226877e-45,3.584871256264335e-43,2.0238701352879994e-29,True
dependency_distance_std,human-continue,mannwhitneyu,35997.0,1.5437619024701016e-43,1.1115085697784732e-41,1.0573770847983778e-26,True
alpha_ratio,human-explain,mannwhitneyu,4004.0,1.5623593442041896e-43,1.1248987278270166e-41,8.994591536748827e-34,True
Yules,explain-create,mannwhitneyu,16467.0,3.563049558646486e-41,2.56539568222547e-39,5.52778420704479e-16,True
duplicate_ngram_chr_fraction_7,human-explain,mannwhitneyu,5844.5,1.3841360280628356e-40,9.965779402052416e-39,6.451940715985146e-31,True
second_order_coherence,human-continue,mannwhitneyu,4674.0,4.181238600806387e-40,3.010491792580599e-38,7.616297179384708e-19,True
alpha_ratio,human-create,mannwhitneyu,4844.0,2.9368028796213333e-39,2.1144980733273598e-37,3.310709995555201e-17,True
first_order_coherence,human-continue,mannwhitneyu,4978.0,1.3447086975067883e-38,9.681902622048875e-37,1.5417743142602324e-17,True
proportion_unique_tokens,human-continue,t-test,14.458943047243983,2.2113349012438262e-38,1.592161128895555e-36,3.923778998671424e-17,True
sentence_length_std,human-continue,mannwhitneyu,34929.0,3.835183770099227e-38,2.7613323144714433e-36,1.0366084211321651e-16,True
TTR,human-explain,t-test,13.798425152650209,8.446807897607671e-38,6.081701686277523e-36,6.199690821978004e-24,True
proportion_unique_tokens,explain-create,t-test,-13.7465648650041,1.85368187355447e-35,1.3346509489592185e-33,3.729596698394853e-10,True
first_order_coherence,human-explain,mannwhitneyu,5700.0,3.8804403223810064e-35,2.7939170321143248e-33,3.5707302633113335e-23,True
mean_word_length,human-create,t-test,-13.569648850935728,9.689712990481594e-35,6.976593353146748e-33,2.779111099818991e-14,True
second_order_coherence,human-explain,mannwhitneyu,5809.0,1.2492488245484481e-34,8.994591536748826e-33,1.0601922371406152e-21,True
dependency_distance_std,human-explain,mannwhitneyu,33873.0,3.598406410330644e-33,2.590852615438064e-31,4.727215491619911e-20,True
pos_prop_PUNCT,human-create,mannwhitneyu,33703.5,2.0924655894230136e-32,1.5065752243845698e-30,5.913631389017023e-13,True
duplicate_ngram_chr_fraction_8,human-explain,mannwhitneyu,8202.0,1.075323452664191e-31,7.742328859182175e-30,4.0718914164401345e-19,True
prop_adjacent_dependency_relation_mean,human-continue,t-test,-12.474829072670548,2.2487445947644437e-30,1.6190961082303995e-28,7.802295723172395e-14,True
pos_prop_CCONJ,human-explain,t-test,-12.38932593620778,4.859287178974584e-30,3.4986867688617006e-28,6.658515052357014e-17,True
duplicate_ngram_chr_fraction_5,explain-create,mannwhitneyu,33057.0,1.0329699427867484e-29,7.437383588064588e-28,0.0008844452048770173,True
duplicate_ngram_chr_fraction_5,continue-explain,mannwhitneyu,7015.0,2.576576729916243e-29,1.855135245539695e-27,0.0004301715781464441,True
dependency_distance_std,human-create,mannwhitneyu,32883.0,7.776792130699743e-29,5.599290334103815e-27,2.1579750423242166e-08,True
duplicate_ngram_chr_fraction_6,continue-explain,mannwhitneyu,7495.0,9.480536359097494e-28,6.825986178550196e-26,0.0012080258216333368,True
mean_word_length,human-continue,t-test,-11.759155728544417,1.3217213559979722e-27,9.5163937631854e-26,2.669301667617381e-12,True
coleman_liau_index,human-create,t-test,-11.731913546818756,1.6790637665280025e-27,1.208925911900162e-25,3.3772940879610897e-07,True
lix,human-create,t-test,-11.702420522271003,2.174968207010569e-27,1.5659771090476096e-25,5.025118204985136e-07,True
dependency_distance_mean,explain-create,t-test,11.624338167688224,4.3086659105750865e-27,3.1022394556140622e-25,0.04206913888999837,True
token_length_mean,human-create,t-test,-11.616210526031457,4.625851800614087e-27,3.3306132964421426e-25,1.234586467731402e-06,True
duplicate_ngram_chr_fraction_6,explain-create,mannwhitneyu,32236.0,7.451400079332612e-27,5.365008057119481e-25,0.07881635081291356,True
gunning_fog,human-create,t-test,-11.526233501558384,1.0139341595515695e-26,7.3003259487713e-25,2.3831592641912926e-06,True
mean_word_length,human-explain,t-test,-11.40304445546828,2.9548574121779365e-26,2.1274973367681144e-24,3.7277978107408345e-11,True
TTR,explain-create,t-test,-11.093778172603324,3.907756830211052e-26,2.8135849177519577e-24,0.2078383242902535,True
duplicate_ngram_chr_fraction_7,continue-explain,mannwhitneyu,8336.0,1.105545584582907e-25,7.95992820899693e-24,0.12961288615870162,True
sentence_length_median,human-explain,mannwhitneyu,7950.0,1.4313117424518732e-25,1.0305444545653487e-23,9.749353946075036e-09,True
rix,human-explain,t-test,-11.208843862008216,1.5769137177908476e-25,1.1353778768094102e-23,1.5833469546868777e-08,True
syllables_per_token_mean,human-create,t-test,-11.134696808722866,2.9773173785371937e-25,2.1436685125467795e-23,0.0004580619388153408,True
duplicate_ngram_chr_fraction_9,human-explain,mannwhitneyu,10335.0,8.288690102683705e-25,5.967856873932268e-23,2.449825427011839e-08,True
lix,human-explain,t-test,-10.941033505036444,1.549922705494501e-24,1.1159443479560407e-22,1.3143672890101778e-07,True
pos_prop_ADJ,human-continue,t-test,-10.833161397976617,3.859723034783693e-24,2.779000585044259e-22,0.00016821617316928583,True
gunning_fog,human-explain,t-test,-10.760951764926252,7.089964282093588e-24,5.104774283107384e-22,5.495108028876122e-07,True
flesch_reading_ease,human-create,t-test,10.759534845292075,7.17491349331285e-24,5.165937715185252e-22,0.0024277007399618974,True
sentence_length_std,human-explain,mannwhitneyu,31611.0,9.918695175864816e-24,7.141460526622667e-22,1.9792962058830583e-05,True
sentence_length_mean,continue-explain,t-test,-10.668028666242352,1.545602518879688e-23,1.1128338135933754e-21,0.3532990782768321,True
duplicate_ngram_chr_fraction_10,human-explain,mannwhitneyu,11143.0,1.1235519969255168e-22,8.089574377863721e-21,3.032424433532886e-05,True
dependency_distance_mean,continue-explain,t-test,-10.355696583593575,2.06519683025565e-22,1.486941717784068e-20,0.4455581960431881,True
automated_readability_index,human-create,t-test,-10.330675293429772,2.5372011664393656e-22,1.8267848398363433e-20,0.21819503468697193,True
automated_readability_index,human-explain,t-test,-10.300928177928721,3.23947628015188e-22,2.3324229217093537e-20,0.0007478850723540246,True
duplicate_ngram_chr_fraction_7,explain-create,mannwhitneyu,30727.0,4.331129320829078e-22,3.118413110996936e-20,0.9904441628355153,True
flesch_kincaid_grade,human-create,t-test,-10.198040211054332,7.519479588906974e-22,5.414025304013021e-20,0.4015807483692794,True
n_characters,human-continue,mannwhitneyu,8990.0,1.6886291273793823e-21,1.2158129717131552e-19,0.3949196934000126,True
duplicate_ngram_chr_fraction_8,continue-explain,mannwhitneyu,9997.0,2.995647514238756e-21,2.1568662102519044e-19,0.7989813838805079,True
n_unique_tokens,continue-explain,t-test,10.016791723826598,3.2759243704518934e-21,2.358665546725363e-19,,True
n_unique_tokens,explain-create,t-test,-9.87592386914943,1.0174117431118907e-20,7.325364550405613e-19,,True
