,human,continue,create,explain
flesch_reading_ease,60.11170873721058,36.21769534813015,25.313571428571464,14.678216162693303
flesch_kincaid_grade,11.282320274636515,14.960407418668293,17.181428571428572,20.24694036103283
smog,12.236705956012809,16.018793980428352,17.613555460941566,20.367271093001104
gunning_fog,14.258508346795907,18.364366068713895,20.571428571428573,24.56184020108158
automated_readability_index,13.554896338179859,18.92442079659471,21.882333333333328,26.02300936857339
coleman_liau_index,10.62849757673667,16.522809364548497,18.558666666666664,19.925499276410992
lix,51.3167070543888,63.63666768014595,70.15873015873015,81.66509254322492
rix,6.583333333333333,9.909090909090908,12.047619047619047,16.473684210526315
token_length_mean,4.689822294022617,5.682274247491639,6.011111111111111,6.214182344428365
token_length_median,4.0,5.0,5.0,6.0
token_length_std,2.5498094199910684,3.0644231336712653,3.221683041916904,2.896252634733972
sentence_length_mean,25.791666666666668,27.181818181818183,30.0,36.36842105263158
sentence_length_median,25.5,25.0,32.0,26.0
sentence_length_std,10.376171285958783,8.896558903900909,14.59615082984617,31.283441939981415
syllables_per_token_mean,1.4248788368336025,1.6906354515050168,1.7857142857142858,1.8350217076700435
syllables_per_token_median,1.0,1.0,1.0,2.0
syllables_per_token_std,0.7424981475069905,1.0147470799835612,1.060152301555928,0.9957888717481823
n_tokens,619,598,630,691
n_unique_tokens,303,361,397,429
proportion_unique_tokens,0.4894991922455573,0.6036789297658863,0.6301587301587301,0.6208393632416788
n_characters,2981,3449,3911,4357
n_sentences,24,22,21,19
entropy,20.048391639239973,12.009607227662906,13.468730151565525,10.348024673204328
perplexity,509220477.68222255,164325.94890256756,706960.555227966,31195.360886418766
per_word_perplexity,741223.4027397708,254.37453390490333,960.544232646693,41.76085794701307
passed_quality_check,True,True,True,True
n_stop_words,333.0,258.0,248.0,216.0
alpha_ratio,0.9082969432314411,0.9148606811145511,0.8505434782608695,0.92904953145917
mean_word_length,4.339155749636099,5.3390092879256965,5.313858695652174,5.832663989290495
doc_length,687.0,646.0,736.0,747.0
symbol_to_word_ratio_#,0.0,0.0,0.0,0.0
proportion_ellipsis,0.0,0.0,0.0,0.0
proportion_bullet_points,0.0,0.0,0.0,0.0
contains_lorem ipsum,0.0,0.0,0.0,0.0
duplicate_line_chr_fraction,0.0,0.0,0.0,0.0
duplicate_paragraph_chr_fraction,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_5,0.0,0.0,0.0,0.024995040666534418
duplicate_ngram_chr_fraction_6,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_7,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_8,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_9,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_10,0.0,0.0,0.0,0.0
top_ngram_chr_fraction_2,0.009822646657571623,0.005222581447401144,0.006012024048096192,0.003967466772465781
top_ngram_chr_fraction_3,0.006548431105047749,0.014175578214374533,0.0,0.0077365602063082725
top_ngram_chr_fraction_4,0.0,0.0,0.0,0.013687760365006943
oov_ratio,0.0,0.017027863777089782,0.024456521739130436,0.00535475234270415
pos_prop_NOUN,0.19359534206695778,0.22136222910216719,0.22010869565217392,0.26104417670682734
pos_prop_VERB,0.07569141193595343,0.11919504643962849,0.11277173913043478,0.1392235609103079
pos_prop_ADP,0.11353711790393013,0.12074303405572756,0.09918478260869565,0.11512717536813923
pos_prop_DET,0.0975254730713246,0.047987616099071206,0.058423913043478264,0.04685408299866131
pos_prop_ADJ,0.09898107714701601,0.13003095975232198,0.11548913043478261,0.13788487282463185
pos_prop_CCONJ,0.03784570596797671,0.02631578947368421,0.025815217391304348,0.028112449799196786
pos_prop_ADV,0.040756914119359534,0.04953560371517028,0.058423913043478264,0.040160642570281124
pos_prop_AUX,0.048034934497816595,0.04179566563467492,0.024456521739130436,0.013386880856760375
pos_prop_SCONJ,0.008733624454148471,0.020123839009287926,0.016304347826086956,0.006693440428380187
pos_prop_PRON,0.06695778748180495,0.0804953560371517,0.059782608695652176,0.030789825970548863
pos_prop_PART,0.034934497816593885,0.02476780185758514,0.02717391304347826,0.020080321285140562
pos_prop_PUNCT,0.08005822416302766,0.06656346749226007,0.12092391304347826,0.05220883534136546
pos_prop_PROPN,0.08442503639010189,0.034055727554179564,0.042119565217391304,0.09906291834002677
pos_prop_NUM,0.017467248908296942,0.0015479876160990713,0.001358695652173913,0.008032128514056224
pos_prop_SYM,0.001455604075691412,,,0.0013386880856760374
first_order_coherence,0.8315128748831542,0.849833227339245,0.7956063896417618,0.8108021881845262
second_order_coherence,0.7954632856629111,0.8744807869195939,0.7642792620156941,0.804365361438078
dependency_distance_mean,3.0664689280251203,2.8942274437081634,3.071041295332267,2.974188889925179
dependency_distance_std,0.6696871509773537,0.6347812425798551,0.7561677752225767,0.6315469778269278
prop_adjacent_dependency_relation_mean,0.459129761832489,0.5013587487082586,0.4415262583426167,0.4756847574702076
prop_adjacent_dependency_relation_std,0.0399996485187716,0.05423206951444537,0.04912772482801698,0.05507516390741894
connectives,11,19,15,15
connectives_cap,2,1,1,1
pos_prop_SPACE,,0.015479876160990712,0.017663043478260868,
