,create,human,explain,continue
dependency_distance_mean,3.3894224558130652,3.796223164694198,3.352178253410807,3.189821674436899
dependency_distance_std,0.9630136170513246,1.324667690259975,0.8752501718938572,0.5065740761143411
prop_adjacent_dependency_relation_mean,0.4523025681860269,0.47942772518107857,0.4843349598864028,0.4475544698417898
prop_adjacent_dependency_relation_std,0.07744263691242874,0.05812768192792764,0.08002081604196568,0.0803812531315459
first_order_coherence,0.7563660059124231,0.6198290064930916,0.7862672408421835,0.7889379014571508
second_order_coherence,0.8099195054536196,0.5916885315839734,0.8027071216527153,0.8075092227562614
token_length_mean,7.425675675675675,6.90702947845805,7.107226107226107,7.199095022624435
token_length_median,6.0,6.0,6.0,6.0
token_length_std,5.108407505883324,4.507285160789471,4.643231432205884,4.717465296006426
sentence_length_mean,21.142857142857142,27.5625,22.57894736842105,17.68
sentence_length_median,21.0,25.0,22.0,17.0
sentence_length_std,8.072798029630796,15.874384830600523,6.167109614497695,3.449289781969616
syllables_per_token_mean,2.52027027027027,2.4263038548752833,2.4871794871794872,2.484162895927602
syllables_per_token_median,2.0,2.0,2.0,2.0
syllables_per_token_std,1.701097663359548,1.703574257282565,1.7186617870930054,1.6993405297080264
n_tokens,444.0,441,429,442
n_unique_tokens,190.0,259,218,236
proportion_unique_tokens,0.42792792792792794,0.5873015873015873,0.5081585081585082,0.5339366515837104
n_characters,3331.0,3114,3098,3225
n_sentences,21.0,16,19,25
entropy,11.1189661877482,8.27318086732254,9.585086257453542,9.767640675289098
perplexity,67438.15183701138,3917.3898927367345,14546.217271428963,17459.525895772473
per_word_perplexity,141.0839996590196,7.696247333470991,30.43141688583465,35.99902246551025
flesch_reading_ease,-27.839864864864836,-26.406243622448926,-26.498016194331967,-21.270380995475108
flesch_kincaid_grade,22.394903474903476,23.789760487528344,22.564507422402162,20.618322171945703
smog,20.267338824336647,21.529996751245577,20.66365105003592,18.069870221109753
gunning_fog,25.484169884169884,26.081689342403628,25.721555637345116,22.54711312217195
automated_readability_index,24.116361003861,24.883358843537415,23.334508649245493,21.31773755656109
coleman_liau_index,26.462972972972967,23.739410430838998,24.679533799533797,24.856470588235293
lix,67.31402831402832,71.55342970521542,68.7327935222672,62.25013574660634
rix,9.761904761904763,12.125,10.421052631578947,7.88
pos_prop_NOUN,0.28870292887029286,0.2455795677799607,0.2510460251046025,0.24329896907216494
pos_prop_ADJ,0.08158995815899582,0.07858546168958742,0.08158995815899582,0.07216494845360824
pos_prop_ADP,0.10669456066945607,0.10805500982318271,0.0899581589958159,0.0865979381443299
pos_prop_DET,0.18619246861924685,0.10609037328094302,0.13807531380753138,0.12989690721649486
pos_prop_PUNCT,0.07112970711297072,0.12180746561886051,0.10251046025104603,0.088659793814433
pos_prop_AUX,0.03347280334728033,0.0412573673870334,0.0502092050209205,0.0577319587628866
pos_prop_VERB,0.07531380753138076,0.0550098231827112,0.08368200836820083,0.10721649484536082
pos_prop_ADV,0.056485355648535567,0.0825147347740668,0.04811715481171548,0.08041237113402062
pos_prop_CCONJ,0.0502092050209205,0.07662082514734773,0.07112970711297072,0.061855670103092786
pos_prop_PRON,0.010460251046025104,0.023575638506876228,0.03138075313807531,0.0288659793814433
pos_prop_PROPN,0.0020920502092050207,0.0275049115913556,,
pos_prop_SCONJ,0.016736401673640166,0.01768172888015717,0.027196652719665274,0.012371134020618556
pos_prop_PART,0.02092050209205021,0.009823182711198428,0.016736401673640166,0.030927835051546393
n_stop_words,215.0,211.0,219.0,224.0
alpha_ratio,0.9267782426778243,0.8664047151277013,0.897489539748954,0.911340206185567
mean_word_length,6.968619246861925,6.1178781925343815,6.481171548117155,6.649484536082475
doc_length,478.0,509.0,478.0,485.0
duplicate_ngram_chr_fraction_5,0.28192898781134074,0.016310461192350956,0.07714123652864435,
duplicate_ngram_chr_fraction_6,0.23158452570217275,0.016310461192350956,0.028927963698241632,
duplicate_ngram_chr_fraction_7,0.17064122946475888,0.016310461192350956,0.028927963698241632,
duplicate_ngram_chr_fraction_8,0.1293057763645999,,,
duplicate_ngram_chr_fraction_9,0.1293057763645999,,,
top_ngram_chr_fraction_2,0.012718600953895072,0.008998875140607425,0.01191151446398185,0.02618657937806874
top_ngram_chr_fraction_3,0.06491785903550609,0.01124859392575928,0.015314804310833806,0.038188761593016915
top_ngram_chr_fraction_4,0.06200317965023847,0.006749156355455568,0.013613159387407828,0.031914893617021274
oov_ratio,0.012552301255230125,0.029469548133595286,0.02092050209205021,0.008247422680412371
connectives,13.0,23,20,14
connectives_cap,4.0,3,2,4
pos_prop_X,,0.005893909626719057,0.006276150627615063,
passed_quality_check,,True,True,True
pos_prop_NUM,,,0.0020920502092050207,
