,human,continue,create,explain
first_order_coherence,0.596628478344749,0.8242330186896853,0.7637672999075481,0.7868351628040445
second_order_coherence,0.6151761305518448,0.8093627844538007,0.758774438763366,0.7850652081625802
token_length_mean,5.402489626556017,5.974930362116992,6.016643550624133,5.881780250347705
token_length_median,5.0,5.0,5.0,5.0
token_length_std,3.410356758587985,3.541545849021525,3.4652625827683954,3.442544770098149
sentence_length_mean,26.77777777777778,19.405405405405407,20.02777777777778,23.966666666666665
sentence_length_median,26.0,18.0,19.5,22.5
sentence_length_std,18.32289264995373,6.419815015687481,7.886296522418248,9.655683415596341
syllables_per_token_mean,1.5767634854771784,1.7465181058495822,1.7988904299583912,1.7065368567454797
syllables_per_token_median,1.0,1.0,1.0,1.0
syllables_per_token_std,0.8662167359774554,0.9844659024983685,1.0129803272197402,0.9203912187283373
n_tokens,482,718,721,719
n_unique_tokens,240,287,302,343
proportion_unique_tokens,0.4979253112033195,0.3997214484679666,0.4188626907073509,0.47705146036161333
n_characters,2725,4391,4432,4392
n_sentences,18,37,36,30
dependency_distance_mean,3.697698867987426,2.8999942614490815,2.675882700251231,3.2527354153048456
dependency_distance_std,1.5085125480709982,0.7316247566887316,0.7572353980657722,1.0015223259818824
prop_adjacent_dependency_relation_mean,0.436391834149114,0.4659081990927095,0.4648539247414896,0.4548792293295168
prop_adjacent_dependency_relation_std,0.05526706292516324,0.05100835515434704,0.0773366543707804,0.05786653725470098
pos_prop_PROPN,0.13266998341625208,0.056303549571603426,0.0785276073619632,0.09692132269099202
pos_prop_AUX,0.024875621890547265,0.02692778457772338,0.03067484662576687,0.020524515393386546
pos_prop_DET,0.0845771144278607,0.06609547123623011,0.0736196319018405,0.07411630558722919
pos_prop_ADJ,0.0978441127694859,0.11872705018359853,0.1067484662576687,0.10376282782212087
pos_prop_CCONJ,0.03814262023217247,0.042839657282741736,0.03190184049079755,0.028506271379703536
pos_prop_ADV,0.04311774461028192,0.03427172582619339,0.0343558282208589,0.037628278221208664
pos_prop_VERB,0.05140961857379768,0.0966952264381885,0.10920245398773006,0.09464082098061574
pos_prop_PUNCT,0.17744610281923714,0.11627906976744186,0.10797546012269939,0.16875712656784492
pos_prop_NOUN,0.15091210613598674,0.22888616891064872,0.2233128834355828,0.17673888255416192
pos_prop_ADP,0.12769485903814262,0.13096695226438188,0.12515337423312883,0.12086659064994298
pos_prop_NUM,0.01824212271973466,0.0024479804161566705,0.011042944785276074,0.014823261117445839
pos_prop_PART,0.004975124378109453,0.014687882496940025,0.018404907975460124,0.01596351197263398
pos_prop_X,0.01990049751243781,0.0024479804161566705,0.007361963190184049,0.005701254275940707
pos_prop_PRON,0.01658374792703151,0.04773561811505508,0.02822085889570552,0.02280501710376283
pos_prop_SCONJ,0.008291873963515755,0.01346389228886169,0.013496932515337423,0.01710376282782212
pos_prop_SYM,0.001658374792703151,,,0.0011402508551881414
pos_prop_SPACE,0.001658374792703151,,,
passed_quality_check,True,True,True,True
n_stop_words,207.0,310.0,292.0,291.0
alpha_ratio,0.7827529021558872,0.8812729498164015,0.8773006134969326,0.814139110604333
mean_word_length,4.519071310116086,5.374541003671971,5.438036809815951,5.007981755986317
doc_length,603.0,817.0,815.0,877.0
duplicate_ngram_chr_fraction_5,0.008442776735459663,0.1271800901430531,0.1057542768273717,0.058385579937304075
top_ngram_chr_fraction_2,0.008755472170106316,0.012933568489124045,0.008164852255054433,0.02821316614420063
top_ngram_chr_fraction_3,0.010944340212632896,0.004703115814226925,0.01010886469673406,0.01018808777429467
top_ngram_chr_fraction_4,0.009380863039399626,0.008622378992749364,0.003499222395023328,0.011755485893416929
oov_ratio,0.04311774461028192,0.02447980416156671,0.020858895705521473,0.03534777651083238
flesch_reading_ease,46.261364684186276,39.383081758638866,34.32067518107567,38.135815252665765
flesch_kincaid_grade,13.459142461964039,12.587021757133183,13.447740406842353,13.894134909596662
smog,14.867677710551934,14.08160671048611,14.867677710551934,15.112257680678326
gunning_fog,17.018165053019825,15.338763833471354,16.443843427338575,16.930199350950396
automated_readability_index,17.40461502996773,16.414624708273735,16.922280012328557,18.256518312471023
coleman_liau_index,14.861244813278006,17.80724233983287,18.099916782246876,17.54981919332406
lix,60.387736284001846,63.55582323270346,64.27188318693173,65.83036624942049
rix,9.0,8.567567567567568,8.86111111111111,10.033333333333333
entropy,16.968688194304,21.370981489451022,18.95220943716763,20.652980310264713
perplexity,23410336.049143955,1911170062.194585,170153144.10438246,932127634.5958271
per_word_perplexity,38823.11119261021,2339253.4420986352,208776.8639317576,1062859.332492391
connectives,15,17,18,24
connectives_cap,2,4,5,6
pos_prop_INTJ,,0.0012239902080783353,,
duplicate_ngram_chr_fraction_6,,0.0850480109739369,0.0952566096423017,0.044278996865203764
duplicate_ngram_chr_fraction_7,,0.0732902214383696,0.06959564541213063,0.017241379310344827
duplicate_ngram_chr_fraction_8,,0.04134822653341172,0.06959564541213063,0.017241379310344827
duplicate_ngram_chr_fraction_9,,0.021555947481873408,0.05132192846034215,0.017241379310344827
duplicate_ngram_chr_fraction_10,,,0.05132192846034215,
