,human,continue,create,explain
flesch_reading_ease,77.9605057398536,21.234042185653266,36.76603254319005,43.409901630627445
flesch_kincaid_grade,6.400534213142908,19.752477497954363,14.98258336681398,13.424769585253458
smog,9.429241890294046,18.557870451564142,16.03695275061576,14.609391389360088
gunning_fog,9.474898309680919,22.88968088008001,18.436159100040175,16.466997518610423
automated_readability_index,7.45226837205098,26.456351486498775,17.985828646042584,17.677940446650126
coleman_liau_index,8.336923076923075,19.44748068006182,15.118854961832056,16.211367127496164
lix,37.399620356142094,79.7898899899991,60.97589393330655,63.28730946472882
rix,3.4324324324324325,15.882352941176471,9.210526315789474,9.576923076923077
token_length_mean,4.416387959866221,6.126738794435858,5.440839694656488,5.645161290322581
token_length_median,4.0,6.0,5.0,5.0
token_length_std,2.3453217498579395,2.8321425739682042,2.9857057774619005,2.6992154114247127
sentence_length_mean,16.16216216216216,38.05882352941177,27.57894736842105,25.03846153846154
sentence_length_median,17.0,29.0,24.0,24.0
sentence_length_std,7.628231751158267,28.62222622211687,16.81263869666503,11.42022756485772
syllables_per_token_mean,1.3294314381270902,1.7372488408037094,1.6793893129770991,1.631336405529954
syllables_per_token_median,1.0,1.0,1.0,1.0
syllables_per_token_std,0.6415152509532599,0.9752202643732601,1.01715946022213,0.856457119614063
n_tokens,598,647,524,651
n_unique_tokens,278,454,331,390
proportion_unique_tokens,0.46488294314381273,0.7017001545595054,0.6316793893129771,0.5990783410138248
n_characters,2739,4015,2926,3743
n_sentences,37,17,19,26
entropy,20.350447217900154,9.160307635167118,12.23883152586096,13.1221660155506
perplexity,688790154.9295995,9511.982847943778,206660.27198387848,499901.3288104207
per_word_perplexity,957983.5256322664,13.725804975387847,347.32818820819915,702.1086078798044
passed_quality_check,True,True,True,True
n_stop_words,296.0,226.0,209.0,267.0
alpha_ratio,0.8094575799721836,0.9408369408369408,0.8638655462184874,0.9213483146067416
mean_word_length,3.8720445062586926,5.7936507936507935,4.91764705882353,5.257022471910112
doc_length,719.0,693.0,595.0,712.0
symbol_to_word_ratio_#,0.0,0.0,0.0,0.0
proportion_ellipsis,0.0,0.0,0.0,0.0
proportion_bullet_points,0.0,0.0,0.0,0.0
contains_lorem ipsum,0.0,0.0,0.0,0.0
duplicate_line_chr_fraction,0.0,0.0,0.0,0.0
duplicate_paragraph_chr_fraction,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_5,0.04050029779630732,0.0,0.0,0.0
duplicate_ngram_chr_fraction_6,0.033948779035139966,0.0,0.0,0.0
duplicate_ngram_chr_fraction_7,0.01786777843954735,0.0,0.0,0.0
duplicate_ngram_chr_fraction_8,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_9,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_10,0.0,0.0,0.0,0.0
top_ngram_chr_fraction_2,0.022632519356759976,0.0,0.0061367621274108705,0.0054694621695533276
top_ngram_chr_fraction_3,0.007444907683144729,0.0,0.0,0.0
top_ngram_chr_fraction_4,0.01072066706372841,0.0,0.0,0.0
oov_ratio,0.03894297635605007,0.001443001443001443,0.02689075630252101,0.0
pos_prop_VERB,0.13351877607788595,0.15584415584415584,0.12773109243697478,0.14325842696629212
pos_prop_NOUN,0.15159944367176634,0.23376623376623376,0.21512605042016808,0.23174157303370788
pos_prop_ADP,0.07927677329624479,0.12842712842712842,0.12100840336134454,0.11376404494382023
pos_prop_DET,0.061196105702364396,0.031746031746031744,0.04873949579831933,0.05056179775280899
pos_prop_PROPN,0.08484005563282336,0.05194805194805195,0.08907563025210084,0.07443820224719101
pos_prop_SPACE,0.03616133518776078,,0.020168067226890758,
pos_prop_SCONJ,0.027816411682892908,0.027417027417027416,0.01680672268907563,0.02949438202247191
pos_prop_PUNCT,0.14603616133518776,0.06060606060606061,0.11092436974789915,0.07443820224719101
pos_prop_PRON,0.11961057023643949,0.06349206349206349,0.047058823529411764,0.06179775280898876
pos_prop_AUX,0.05702364394993046,0.021645021645021644,0.03529411764705882,0.04353932584269663
pos_prop_ADJ,0.031988873435326845,0.1111111111111111,0.0957983193277311,0.09129213483146068
pos_prop_PART,0.02086230876216968,0.015873015873015872,0.023529411764705882,0.028089887640449437
pos_prop_CCONJ,0.02086230876216968,0.01443001443001443,0.025210084033613446,0.01544943820224719
pos_prop_NUM,0.013908205841446454,0.001443001443001443,0.0016806722689075631,0.007022471910112359
pos_prop_ADV,0.013908205841446454,0.08225108225108226,0.021848739495798318,0.0351123595505618
pos_prop_INTJ,0.0013908205841446453,,,
first_order_coherence,0.6550823636353016,0.8332143910229206,0.7735911988549762,0.8169140148162842
second_order_coherence,0.6631073122045823,0.8290977199872335,0.7453914460013894,0.8090175365408262
dependency_distance_mean,2.5601417514505287,3.0255416332856577,2.812654935141983,2.8163054769275004
dependency_distance_std,0.8848206035876073,0.8551738015286106,0.513656460282523,0.6055162454834127
prop_adjacent_dependency_relation_mean,0.4594181350077056,0.4888574390922159,0.5030629260333954,0.48801380338017225
prop_adjacent_dependency_relation_std,0.075653638734721,0.053141846437994196,0.04467154410342198,0.08666778484612053
connectives,21,16,19,15
connectives_cap,5,3,3,3
