,human,continue,create,explain
flesch_reading_ease,37.869208633093535,-0.3927242609582038,9.56963919639199,22.845793438077635
flesch_kincaid_grade,12.910400822199382,20.835948012232418,19.404993849938503,16.79277171903882
smog,15.004783243502246,21.09374685616354,20.054433182343363,18.1352568364455
gunning_fog,16.647893114080166,25.175331294597353,23.704961049610496,21.023327171903887
automated_readability_index,15.40317574511819,26.022081549439342,24.46649651496515,20.511709796672825
coleman_liau_index,16.297266187050358,23.562422018348624,21.719040590405907,18.581367837338252
lix,57.62692702980473,85.69062181447504,80.480114801148,69.74870609981517
rix,7.5,16.77777777777778,15.166666666666666,11.55
token_length_mean,5.712230215827338,6.860550458715596,6.547970479704797,6.033271719038817
token_length_median,5.0,7.0,7.0,6.0
token_length_std,3.2564150397376332,3.4400239584354466,3.261723891520557,3.2451872823202783
sentence_length_mean,19.857142857142858,30.27777777777778,30.11111111111111,27.05
sentence_length_median,17.0,27.0,32.5,26.0
sentence_length_std,9.956025762300529,17.996313065475864,12.709964983293352,7.965393901120018
syllables_per_token_mean,1.7589928057553956,2.086238532110092,1.970479704797048,1.8502772643253236
syllables_per_token_median,1.0,2.0,2.0,1.0
syllables_per_token_std,1.1658394912562806,1.2092508781149174,1.1213523688818607,1.1316914029197287
n_tokens,556,545,542,541
n_unique_tokens,290,345,376,351
proportion_unique_tokens,0.5215827338129496,0.6330275229357798,0.6937269372693727,0.6487985212569316
n_characters,3297,3803,3611,3330
n_sentences,28,18,18,20
entropy,19.097220364574383,10.636228995161861,9.437739698806105,11.913575601443782
perplexity,196705917.0640051,41615.54253752854,12553.310552356426,149279.49026380084
per_word_perplexity,290555.2689276294,68.33422419955426,20.852675336140244,247.15147394669012
passed_quality_check,True,True,True,True
n_stop_words,221.0,158.0,182.0,185.0
alpha_ratio,0.8138847858197932,0.8719211822660099,0.9019933554817275,0.8807947019867549
mean_word_length,4.870014771048744,6.244663382594417,5.998338870431894,5.513245033112582
doc_length,677.0,609.0,602.0,604.0
symbol_to_word_ratio_#,0.0,0.0,0.0,0.0
proportion_ellipsis,0.0,0.0,0.0,0.0
proportion_bullet_points,0.0,0.0,0.0,0.0
contains_lorem ipsum,0.0,0.0,0.0,0.0
duplicate_line_chr_fraction,0.0,0.0,0.0,0.0
duplicate_paragraph_chr_fraction,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_5,0.004682622268470343,0.0,0.0,0.0
duplicate_ngram_chr_fraction_6,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_7,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_8,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_9,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_10,0.0,0.0,0.0,0.0
top_ngram_chr_fraction_2,0.013527575442247659,0.0055723241235198515,0.002886002886002886,0.005446058091286307
top_ngram_chr_fraction_3,0.016909469302809572,0.0,0.0,0.0
top_ngram_chr_fraction_4,0.02029136316337149,0.0,0.0,0.0
oov_ratio,0.0,0.034482758620689655,0.0033222591362126247,0.019867549668874173
pos_prop_DET,0.06646971935007386,0.03284072249589491,0.03820598006644518,0.052980132450331126
pos_prop_PROPN,0.09010339734121123,0.022988505747126436,0.03322259136212625,0.06291390728476821
pos_prop_PUNCT,0.15066469719350073,0.10344827586206896,0.09302325581395349,0.09602649006622517
pos_prop_VERB,0.07828655834564253,0.15270935960591134,0.13122923588039867,0.1291390728476821
pos_prop_ADP,0.10044313146233383,0.09359605911330049,0.11295681063122924,0.12086092715231789
pos_prop_ADJ,0.10782865583456426,0.13136288998357964,0.14285714285714285,0.1076158940397351
pos_prop_NUM,0.013293943870014771,0.0016420361247947454,0.0033222591362126247,0.009933774834437087
pos_prop_CCONJ,0.03988183161004431,0.029556650246305417,0.02159468438538206,0.018211920529801324
pos_prop_NOUN,0.22008862629246675,0.3021346469622332,0.27740863787375414,0.25662251655629137
pos_prop_SCONJ,0.007385524372230428,0.009852216748768473,0.02159468438538206,0.016556291390728478
pos_prop_PART,0.011816838995568686,0.009852216748768473,0.014950166112956811,0.011589403973509934
pos_prop_X,0.028064992614475627,,0.0016611295681063123,
pos_prop_PRON,0.011816838995568686,0.019704433497536946,0.026578073089700997,0.028145695364238412
pos_prop_AUX,0.0413589364844904,0.026272577996715927,0.026578073089700997,0.033112582781456956
pos_prop_ADV,0.03249630723781388,0.041050903119868636,0.054817275747508304,0.039735099337748346
first_order_coherence,0.7416421475785749,0.7697215571123011,0.8656744641416213,0.840892609797026
second_order_coherence,0.7367407212463709,0.7704130597412586,0.8638906329870224,0.836447126335568
dependency_distance_mean,3.1532263734360204,3.0031576805261015,2.973169913226582,2.7367019756104454
dependency_distance_std,1.1393946889067434,1.013379259720646,0.7233826877162997,0.5091114115429975
prop_adjacent_dependency_relation_mean,0.4438675195677995,0.4920872253534792,0.47886671955086,0.4949187207638004
prop_adjacent_dependency_relation_std,0.08043426637574935,0.07558253629549566,0.0604024349426594,0.05602743800549543
connectives,14,11,24,13
connectives_cap,5,2,4,1
pos_prop_SPACE,,0.022988505747126436,,0.014900662251655629
pos_prop_SYM,,,,0.0016556291390728477
