,human,continue,explain,create
token_length_mean,5.224256292906179,5.995841995841996,5.699784017278618,5.718816067653277
token_length_median,4.0,5.0,5.0,5.0
token_length_std,2.9827969317646503,3.381492887100734,3.1565592096560153,3.161476137480754
sentence_length_mean,19.0,20.91304347826087,15.96551724137931,15.766666666666667
sentence_length_median,19.0,20.0,16.0,16.0
sentence_length_std,8.622518546628735,6.399137465507165,5.473968229788809,4.638127016611579
syllables_per_token_mean,1.562929061784897,1.8316008316008316,1.7041036717062634,1.7505285412262157
syllables_per_token_median,1.0,1.0,1.0,1.0
syllables_per_token_std,0.9561548791187057,1.095596617726021,1.003731916554661,1.0328252758593282
n_tokens,437,481,463,473
n_unique_tokens,222,249,223,247
proportion_unique_tokens,0.5080091533180778,0.5176715176715176,0.4816414686825054,0.5221987315010571
n_characters,2316,2979,2722,2775
n_sentences,23,23,29,30
passed_quality_check,True,True,True,True
n_stop_words,196.0,196.0,207.0,207.0
alpha_ratio,0.9230769230769231,0.8508771929824561,0.8579335793357934,0.8759259259259259
mean_word_length,4.948717948717949,5.226315789473684,5.022140221402214,5.138888888888889
doc_length,468.0,570.0,542.0,540.0
duplicate_ngram_chr_fraction_5,0.06254545454545454,0.09732713538640325,0.06222501571338781,
duplicate_ngram_chr_fraction_6,0.06254545454545454,0.0337013364323068,0.06222501571338781,
duplicate_ngram_chr_fraction_7,0.06254545454545454,,0.0458830923947203,
duplicate_ngram_chr_fraction_8,0.06254545454545454,,0.018856065367693273,
duplicate_ngram_chr_fraction_9,0.06254545454545454,,,
duplicate_ngram_chr_fraction_10,0.06254545454545454,,,
top_ngram_chr_fraction_2,0.012727272727272728,0.02556653108657757,0.010999371464487744,0.011121408711770158
top_ngram_chr_fraction_3,0.009818181818181818,0.017431725740848343,0.017913262099308613,0.024096385542168676
oov_ratio,0.017094017094017096,0.0035087719298245615,0.00922509225092251,0.001851851851851852
flesch_reading_ease,55.32620137299773,30.654830516134865,46.46282937365012,42.737118745595524
flesch_kincaid_grade,10.262562929061787,14.178976769411555,10.74497505027184,11.215236786469347
smog,12.200932325342574,15.735469404599304,12.377204596115341,13.078685870778742
gunning_fog,12.908924485125858,17.679146705233663,12.952081626573325,14.002226920366457
automated_readability_index,12.676247139588106,17.266937539546234,13.398741342071943,13.388957011980267
coleman_liau_index,13.360732265446224,18.040166320166318,15.860734341252694,15.949260042283296
lix,50.121281464530895,63.94838651360391,56.57026886124972,56.7814658210007
rix,5.913043478260869,9.0,6.482758620689655,6.466666666666667
first_order_coherence,0.7994919283823534,0.8353916542096571,0.7464078049441534,0.8157308574380546
second_order_coherence,0.7615506138120379,0.8298190633455912,0.7448130513506906,0.8198115123169762
pos_prop_ADP,0.1282051282051282,0.07719298245614035,0.07749077490774908,0.1111111111111111
pos_prop_DET,0.06623931623931624,0.08421052631578947,0.07749077490774908,0.08333333333333333
pos_prop_NOUN,0.23931623931623933,0.256140350877193,0.25830258302583026,0.25925925925925924
pos_prop_NUM,0.014957264957264958,0.0035087719298245615,0.0036900369003690036,0.009259259259259259
pos_prop_PRON,0.07692307692307693,0.02982456140350877,0.05719557195571956,0.046296296296296294
pos_prop_VERB,0.0876068376068376,0.11403508771929824,0.09778597785977859,0.12037037037037036
pos_prop_PROPN,0.03632478632478633,0.02631578947368421,0.025830258302583026,0.014814814814814815
pos_prop_PART,0.008547008547008548,0.03684210526315789,0.01845018450184502,0.016666666666666666
pos_prop_PUNCT,0.06196581196581197,0.14035087719298245,0.13837638376383765,0.11666666666666667
pos_prop_AUX,0.03632478632478633,0.05087719298245614,0.05904059040590406,0.03518518518518519
pos_prop_ADJ,0.15598290598290598,0.11929824561403508,0.0959409594095941,0.11296296296296296
pos_prop_SCONJ,0.010683760683760684,0.010526315789473684,0.02214022140221402,0.012962962962962963
pos_prop_CCONJ,0.038461538461538464,0.03333333333333333,0.033210332103321034,0.04259259259259259
pos_prop_ADV,0.038461538461538464,0.017543859649122806,0.03505535055350553,0.018518518518518517
dependency_distance_mean,2.5836353926576487,2.955876445106372,2.6679361692196064,2.5833858785505517
dependency_distance_std,0.5360999723482944,0.7646139220297371,0.6932826820430993,0.3960543412847353
prop_adjacent_dependency_relation_mean,0.4592047696167487,0.43429397178818296,0.44011417131751707,0.46343535054543555
prop_adjacent_dependency_relation_std,0.08634546867930762,0.047041066548548886,0.05949943364143802,0.07837830504060977
entropy,10.914833549318022,16.41809821483973,15.528547581446281,14.944883346772158
perplexity,54985.98146753006,13498622.684583437,5545778.587515414,3093715.4784997636
per_word_perplexity,117.49141339215825,23681.794183479713,10232.063814604084,5729.102737962526
connectives,13,9,18,13
connectives_cap,3,1,4,1
top_ngram_chr_fraction_4,,0.030505520046484602,,0.015755329008341055
