,human,continue,create,explain
token_length_mean,4.723880597014926,7.845052083333333,7.281889763779527,6.753826530612245
token_length_median,4.0,8.0,8.0,7.0
token_length_std,2.824709180763956,3.083170293672947,3.2342998688110667,3.209418640614636
sentence_length_mean,21.612903225806452,59.07692307692308,48.84615384615385,29.037037037037038
sentence_length_median,25.0,23.0,23.0,25.0
sentence_length_std,10.557606703851748,87.95756104155399,56.56425366695303,17.034782459517135
syllables_per_token_mean,1.4522388059701492,2.3372395833333335,2.2251968503937007,1.9910714285714286
syllables_per_token_median,1.0,2.0,2.0,2.0
syllables_per_token_std,0.8140296318188739,1.1790571289946725,1.1910406026477158,1.104800228963756
n_tokens,670,768,635,784
n_unique_tokens,289,654,502,509
proportion_unique_tokens,0.43134328358208956,0.8515625,0.7905511811023622,0.6492346938775511
n_characters,3231,6062,4683,5395
n_sentences,31,13,13,27
first_order_coherence,0.8005231499671936,0.8741439680258433,0.8232443829377493,0.849394108240421
second_order_coherence,0.7906544475719847,0.8782312761653553,0.8521322174505754,0.8300602364540101
passed_quality_check,True,True,True,True
n_stop_words,385.0,125.0,136.0,244.0
alpha_ratio,0.9179206566347469,0.9540372670807453,0.8932178932178932,0.9061784897025171
mean_word_length,4.419972640218878,7.530434782608696,6.757575757575758,6.172768878718536
doc_length,731.0,805.0,693.0,874.0
symbol_to_word_ratio_#,0.0,0.0,0.030595813204508857,0.0
proportion_ellipsis,0.0,0.0,0.0,0.0
proportion_bullet_points,0.0,0.0,0.0,0.0
contains_lorem ipsum,0.0,0.0,0.0,0.0
duplicate_line_chr_fraction,0.0,0.0,0.0,0.0
duplicate_paragraph_chr_fraction,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_5,0.014152135456153651,0.0,0.004918653045781309,0.02860858257477243
duplicate_ngram_chr_fraction_6,0.0,0.0,0.0026485054861899358,0.014304291287386216
duplicate_ngram_chr_fraction_7,0.0,0.0,0.0,0.0068270481144343306
duplicate_ngram_chr_fraction_8,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_9,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_10,0.0,0.0,0.0,0.0
top_ngram_chr_fraction_2,0.019711902956785442,0.005719313682358117,0.0052970109723798715,0.007802340702210663
top_ngram_chr_fraction_3,0.006823351023502654,0.0,0.00510783200908059,0.01219115734720416
top_ngram_chr_fraction_4,0.0,0.0,0.0037835792659856224,0.013654096228868661
oov_ratio,0.0,0.006211180124223602,0.021645021645021644,0.0011441647597254005
pos_prop_PUNCT,0.07523939808481532,0.040993788819875775,0.046176046176046176,0.08810068649885583
pos_prop_ADP,0.12175102599179206,0.04472049689440994,0.05483405483405483,0.08810068649885583
pos_prop_NOUN,0.15868673050615595,0.3167701863354037,0.31313131313131315,0.2585812356979405
pos_prop_DET,0.11080711354309165,0.02236024844720497,0.044733044733044736,0.04919908466819222
pos_prop_PROPN,0.06839945280437756,0.02608695652173913,0.05772005772005772,0.059496567505720827
pos_prop_ADV,0.04377564979480164,0.08322981366459627,0.049062049062049064,0.06064073226544622
pos_prop_VERB,0.08755129958960328,0.19875776397515527,0.12121212121212122,0.15102974828375287
pos_prop_PART,0.04240766073871409,0.007453416149068323,0.017316017316017316,0.02402745995423341
pos_prop_NUM,0.008207934336525308,0.002484472049689441,0.010101010101010102,0.003432494279176201
pos_prop_ADJ,0.08618331053351573,0.20124223602484473,0.18326118326118326,0.12242562929061784
pos_prop_AUX,0.07523939808481532,0.016149068322981366,0.01443001443001443,0.029748283752860413
pos_prop_PRON,0.07523939808481532,0.018633540372670808,0.017316017316017316,0.02745995423340961
pos_prop_CCONJ,0.02188782489740082,0.009937888198757764,0.015873015873015872,0.020594965675057208
pos_prop_SCONJ,0.023255813953488372,0.009937888198757764,0.012987012987012988,0.016018306636155607
pos_prop_SYM,0.0013679890560875513,0.0012422360248447205,0.020202020202020204,0.0011441647597254005
dependency_distance_mean,2.611003049068136,3.3985518632529432,3.2584669408059415,3.3393115884232483
dependency_distance_std,0.7963870332787214,2.3463931319121274,1.0179619183133004,0.9496203106679922
prop_adjacent_dependency_relation_mean,0.4286774794693091,0.49202474476295016,0.4481178160475341,0.4575609346731357
prop_adjacent_dependency_relation_std,0.09849861159460452,0.07647771691606986,0.06260990706069754,0.06523281645302012
flesch_reading_ease,62.03850024073185,-50.85854567307692,-30.995499697153207,8.917764550264593
flesch_kincaid_grade,9.975450168512278,35.02942708333333,29.717322834645675,19.229087301587303
smog,11.955425688602833,31.560693126174055,28.231203757990542,19.874944194240488
gunning_fog,13.063071738083776,40.40160256410257,35.349485160508785,23.451549508692366
automated_readability_index,11.625929224843524,45.05865685096155,37.2907777104785,24.89904147770219
coleman_liau_index,10.606865671641792,29.827864583333326,26.41152755905512,22.89311224489796
lix,46.090515166104964,126.00400641025642,107.27135069654756,80.82275132275133
rix,5.290322580645161,39.53846153846154,28.53846153846154,15.037037037037036
entropy,22.973057821012794,6.554179490024236,8.023679704724724,13.844887085883883
perplexity,9485762441.386532,702.1727736286077,3052.388581936899,1029812.2745576901
per_word_perplexity,12976419.208463108,0.8722643150665934,4.404601128336074,1178.2749136815676
connectives,28,16,14,14
connectives_cap,5,2,2,2
pos_prop_SPACE,,,0.021645021645021644,
