,human,continue,create,explain
token_length_mean,6.481832543443918,8.645326504481433,8.10440251572327,8.127317676143386
token_length_median,5.0,8.0,7.0,7.0
token_length_std,4.494694269757774,5.0326406345368015,4.837268134783559,5.155659374306832
sentence_length_mean,19.181818181818183,7.036036036036036,8.641304347826088,9.74698795180723
sentence_length_median,19.0,2.0,4.5,9.0
sentence_length_std,10.983333228825709,9.138501787362102,10.036435277591613,9.440802719462294
syllables_per_token_mean,2.2195892575039493,2.967989756722151,2.850314465408805,2.7824474660074165
syllables_per_token_median,2.0,3.0,2.0,2.0
syllables_per_token_std,1.6029579161336884,1.7977791620185257,1.7708994344038522,1.891268975116692
n_tokens,633,781,795,809
n_unique_tokens,333,534,541,466
proportion_unique_tokens,0.5260663507109005,0.6837387964148528,0.680503144654088,0.5760197775030902
n_characters,4203,6957,6620,6715
n_sentences,33,111,92,83
first_order_coherence,0.5928343194536865,0.24237175950441847,0.35001828924722067,0.42818585316446134
second_order_coherence,0.49389724403379426,0.05412693482336648,0.1505060241661138,0.28791037339280234
passed_quality_check,True,True,True,True
n_stop_words,281.0,234.0,273.0,323.0
alpha_ratio,0.8015978695073236,0.7738336713995944,0.8060165975103735,0.846723044397463
mean_word_length,5.620505992010653,7.055780933062881,6.867219917012448,7.09830866807611
doc_length,751.0,986.0,964.0,946.0
symbol_to_word_ratio_#,0.0,0.0499359795134443,0.05911949685534591,0.03955500618046971
proportion_ellipsis,0.0,0.0,0.0,0.0
proportion_bullet_points,0.0,0.0,0.0,0.0
contains_lorem ipsum,0.0,0.0,0.0,0.0
duplicate_line_chr_fraction,0.0,0.0,0.0,0.0
duplicate_paragraph_chr_fraction,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_5,0.04315506917200083,0.001544799176107106,0.008881711748082357,0.10257773053414829
duplicate_ngram_chr_fraction_6,0.04005781540367541,0.0,0.003229713362939039,0.08982195057135264
duplicate_ngram_chr_fraction_7,0.04005781540367541,0.0,0.0,0.05155461068296572
duplicate_ngram_chr_fraction_8,0.015692752426182118,0.0,0.0,0.05155461068296572
duplicate_ngram_chr_fraction_9,0.010324179227751393,0.0,0.0,0.05155461068296572
duplicate_ngram_chr_fraction_10,0.010324179227751393,0.0,0.0,0.02577730534148286
top_ngram_chr_fraction_2,0.01651868676440223,0.006951596292481977,0.009419997308572197,0.006112144565506245
top_ngram_chr_fraction_3,0.020648358455502787,0.005792996910401648,0.009285425918449738,0.005580653733723093
top_ngram_chr_fraction_4,0.008672310551311171,0.006436663233779609,0.005921141165388238,0.003986181238373638
oov_ratio,0.06125166444740346,0.057809330628803245,0.06016597510373444,0.06976744186046512
pos_prop_SPACE,0.017310252996005325,,,
pos_prop_ADP,0.12916111850865514,0.09533468559837728,0.11307053941908714,0.11627906976744186
pos_prop_NOUN,0.2569906790945406,0.3012170385395537,0.2603734439834025,0.27061310782241016
pos_prop_AUX,0.023968042609853527,0.029411764705882353,0.022821576763485476,0.03488372093023256
pos_prop_DET,0.11451398135818908,0.04462474645030426,0.08402489626556017,0.08773784355179703
pos_prop_ADJ,0.06258322237017311,0.13691683569979715,0.14107883817427386,0.12156448202959831
pos_prop_VERB,0.043941411451398134,0.07403651115618662,0.05912863070539419,0.06342494714587738
pos_prop_CCONJ,0.043941411451398134,0.035496957403651115,0.021784232365145227,0.03382663847780127
pos_prop_PUNCT,0.13315579227696406,0.12981744421906694,0.09854771784232365,0.10253699788583509
pos_prop_ADV,0.06391478029294274,0.07099391480730223,0.05912863070539419,0.07399577167019028
pos_prop_NUM,0.022636484687083888,0.005070993914807302,0.015560165975103735,0.014799154334038054
pos_prop_PROPN,0.06391478029294274,0.010141987829614604,0.03630705394190872,0.013742071881606765
pos_prop_PRON,0.010652463382157125,0.012170385395537525,0.011410788381742738,0.017970401691331923
pos_prop_X,0.002663115845539281,0.04462474645030426,0.061203319502074686,0.03488372093023256
pos_prop_SCONJ,0.005326231691078562,0.0030425963488843813,0.007261410788381743,0.010570824524312896
pos_prop_PART,0.005326231691078562,0.007099391480730223,0.008298755186721992,0.003171247357293869
dependency_distance_mean,2.9278775177179823,1.4689898262953183,1.625512281292265,1.7044529213963202
dependency_distance_std,1.2519157555632687,1.393963637414338,1.4061552924035048,1.3617366133730402
prop_adjacent_dependency_relation_mean,0.5221700254026725,0.3579554782342282,0.3470812233184643,0.4107980733263121
prop_adjacent_dependency_relation_std,0.0992141316992922,0.23057268417975066,0.2159827394662398,0.21804485715662644
flesch_reading_ease,26.574335505222876,-11.245843800797985,0.6475518082080498,5.383089500860592
flesch_kincaid_grade,18.0820623294557,22.176333183375437,21.41381938747607,21.044205400092334
smog,17.54021597470382,14.281122322964201,14.96631593020339,15.368732480308061
gunning_fog,20.942869452822062,24.47894706486256,23.330735575608422,22.736866874171596
automated_readability_index,18.690340370529945,22.807505854125573,21.06238802296965,21.723160230538966
coleman_liau_index,20.77004739336493,30.827605633802815,28.428477987421385,28.951792336217547
lix,58.834266839006176,67.34333437150339,63.358285479901554,63.88790266132516
rix,7.606060606060606,4.243243243243243,4.728260869565218,5.27710843373494
entropy,11.484513494037463,7.741116440747357,7.40062371344146,8.531707691823925
perplexity,97198.78535643361,2301.039924334648,1637.0051337551722,5073.101736267074
per_word_perplexity,129.42581272494488,2.333711890805931,1.6981381055551579,5.362686824806632
connectives,14,24,22,33
connectives_cap,6,2,7,7
