,human,continue,create,explain
flesch_reading_ease,45.84973656387666,27.59463387715931,18.995104166666664,18.731009615384636
flesch_kincaid_grade,11.375659911894275,15.881976007677544,18.181026785714284,16.761875000000007
smog,13.41204329460199,17.693802365651003,19.287186520377343,18.0345432365134
gunning_fog,14.400563876651985,20.40080614203455,22.69047619047619,20.908653846153847
automated_readability_index,14.239713656387664,19.737476007677543,22.509657738095235,21.69139543269231
coleman_liau_index,15.76484581497797,18.197005758157392,19.06,21.4655625
lix,50.31859030837005,68.08454894433781,75.78869047619048,73.83413461538461
rix,5.84,10.95,13.80952380952381,12.115384615384615
token_length_mean,5.645374449339207,5.975047984644914,6.09375,6.5421875
token_length_median,5.0,6.0,6.0,6.0
token_length_std,3.6990013196633753,3.2769407880826265,3.180107849979305,3.3649992889811653
sentence_length_mean,18.16,26.05,30.476190476190474,24.615384615384617
sentence_length_median,16.0,23.0,26.0,27.5
sentence_length_std,8.807633053210152,13.128118677099167,17.55160838544718,10.388888009928696
syllables_per_token_mean,1.6850220264317182,1.8061420345489443,1.8546875,1.928125
syllables_per_token_median,1.0,1.0,1.0,2.0
syllables_per_token_std,1.1302392926038598,1.0212900139950807,1.0379411242183971,1.0655791779004506
n_tokens,454,521,640,640
n_unique_tokens,239,336,413,362
proportion_unique_tokens,0.526431718061674,0.6449136276391555,0.6453125,0.565625
n_characters,2627,3180,3993,4262
n_sentences,25,20,21,26
entropy,13.355791558414225,11.163664484006963,13.220018707734278,13.42987143274555
perplexity,631461.0614211685,70520.90601117842,551291.3463980973,680015.881988883
per_word_perplexity,1219.0367981103639,120.13782966129203,756.2295561016424,951.0711636208154
passed_quality_check,True,True,True,True
n_stop_words,177.0,176.0,229.0,193.0
alpha_ratio,0.859073359073359,0.868824531516184,0.877914951989026,0.8909090909090909
mean_word_length,5.071428571428571,5.417376490630324,5.477366255144033,5.960839160839161
doc_length,518.0,587.0,729.0,715.0
symbol_to_word_ratio_#,0.0,0.0,0.0,0.0
proportion_ellipsis,0.0,0.0,0.0,0.0
proportion_bullet_points,0.0,0.0,0.0,0.0
contains_lorem ipsum,0.0,0.0,0.0,0.0
duplicate_line_chr_fraction,0.0,0.0,0.0,0.0
duplicate_paragraph_chr_fraction,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_5,0.0,0.0127960794990471,0.004754700669980549,0.024918300653594773
duplicate_ngram_chr_fraction_6,0.0,0.009801252382248844,0.0,0.024918300653594773
duplicate_ngram_chr_fraction_7,0.0,0.0,0.0,0.024918300653594773
duplicate_ngram_chr_fraction_8,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_9,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_10,0.0,0.0,0.0,0.0
top_ngram_chr_fraction_2,0.013042060645582002,0.006534168254832562,0.0017289820618111088,0.02287581699346405
top_ngram_chr_fraction_3,0.017606781871535703,0.005445140212360468,0.0,0.008169934640522876
top_ngram_chr_fraction_4,0.0,0.006534168254832562,0.0,0.0
oov_ratio,0.03667953667953668,0.027257240204429302,0.0054869684499314125,0.025174825174825177
pos_prop_DET,0.09845559845559845,0.04599659284497445,0.06858710562414266,0.06713286713286713
pos_prop_NOUN,0.2953667953667954,0.272572402044293,0.2496570644718793,0.2937062937062937
pos_prop_AUX,0.03088803088803089,0.027257240204429302,0.0205761316872428,0.015384615384615385
pos_prop_ADJ,0.10810810810810811,0.1260647359454855,0.16049382716049382,0.16923076923076924
pos_prop_PUNCT,0.10617760617760617,0.09710391822827939,0.1083676268861454,0.0951048951048951
pos_prop_VERB,0.06177606177606178,0.10562180579216354,0.10150891632373114,0.11888111888111888
pos_prop_CCONJ,0.04633204633204633,0.03236797274275979,0.02606310013717421,0.032167832167832165
pos_prop_ADV,0.021235521235521235,0.03577512776831346,0.038408779149519894,0.02937062937062937
pos_prop_PROPN,0.055984555984555984,0.04599659284497445,0.0411522633744856,0.02937062937062937
pos_prop_ADP,0.11003861003861004,0.11073253833049404,0.1056241426611797,0.0965034965034965
pos_prop_NUM,0.03474903474903475,0.0068143100511073255,0.0054869684499314125,0.008391608391608392
pos_prop_SYM,0.015444015444015444,,,
pos_prop_PRON,0.011583011583011582,0.04088586030664395,0.04252400548696845,0.016783216783216783
pos_prop_PART,0.0019305019305019305,0.01192504258943782,0.015089163237311385,0.005594405594405594
pos_prop_SCONJ,0.0019305019305019305,0.018739352640545145,0.01646090534979424,0.02097902097902098
first_order_coherence,0.7241259204844633,0.6746394200936744,0.8080666840076447,0.8375391674041748
second_order_coherence,0.7323628119800402,0.6579012270602915,0.8126869703594007,0.8314337730407715
dependency_distance_mean,2.4974218116353666,2.8973446909474827,3.0917837507161683,2.9248795528720275
dependency_distance_std,0.5459762350410104,0.51756685377796,0.8445622621532173,0.7847578535810661
prop_adjacent_dependency_relation_mean,0.47136382911328106,0.45625553322121276,0.4453349617774582,0.4573450007605686
prop_adjacent_dependency_relation_std,0.06472061530130384,0.08253532676489109,0.058172563992468285,0.06587728130616509
connectives,13,11,13,22
connectives_cap,4,2,2,5
pos_prop_X,,0.0068143100511073255,,0.0013986013986013986
pos_prop_SPACE,,0.015332197614991482,,
