,human,explain,create,continue
flesch_reading_ease,0.5668083003952802,-18.37661213360596,3.039999999999992,-12.775295918367334
flesch_kincaid_grade,17.669714850367026,20.321799591002044,17.16137931034483,18.69311337868481
smog,16.69955669828396,18.001758247042904,16.46353075081482,16.647925096878797
gunning_fog,19.71869000564653,22.213769597818683,19.48036872652783,21.118095238095236
automated_readability_index,19.719350649350652,21.98254942058623,18.55875793786275,20.427959183673472
coleman_liau_index,22.65296442687747,25.45717791411042,21.552712871287124,25.266394557823137
lix,60.36391869000565,61.976141785957736,55.6316148856265,59.144444444444446
rix,7.642857142857143,7.944444444444445,6.655172413793103,6.533333333333333
dependency_distance_mean,3.3472094894477906,3.146508137288678,2.897515323654974,2.7530489527207345
dependency_distance_std,1.0375391270360304,0.633971602929446,0.8056940914347099,0.7123831265600932
prop_adjacent_dependency_relation_mean,0.43489057898486033,0.47729227385396583,0.4453551980840774,0.4862165615319921
prop_adjacent_dependency_relation_std,0.08376521649367703,0.06229409990812521,0.07645064286918854,0.09555317214897704
entropy,8.234568876020347,6.146738373130674,10.567873706789662,8.814276959932293
perplexity,3769.0146341252657,467.1910960081501,38865.945407494946,6729.640205603265
per_word_perplexity,6.543428184245253,1.2764784043938529,69.40347394195526,13.513333746191295
passed_quality_check,True,True,True,True
n_stop_words,251.0,160.0,261.0,213.0
alpha_ratio,0.8680555555555556,0.8879781420765027,0.8964285714285715,0.8855421686746988
mean_word_length,6.111111111111111,6.60655737704918,6.0875,6.602409638554217
doc_length,576.0,366.0,560.0,498.0
duplicate_ngram_chr_fraction_5,0.013186813186813187,0.024790375501275976,0.03731152568361871,0.148068669527897
top_ngram_chr_fraction_2,0.004884004884004884,0.01093693036820999,0.008944543828264758,0.009388412017167383
oov_ratio,0.022569444444444444,0.03825136612021858,0.008928571428571428,0.006024096385542169
first_order_coherence,0.6586819721592797,0.7221151134547066,0.7582889177969524,0.7954802811145782
second_order_coherence,0.6745109237157382,0.7451589219272137,0.723003813514003,0.8112821238381522
token_length_mean,6.818181818181818,7.294478527607362,6.641584158415841,7.326530612244898
token_length_median,6.0,6.0,5.0,6.0
token_length_std,4.406084709236293,5.25127213957673,4.477474255455177,4.847090342540092
sentence_length_mean,18.071428571428573,18.11111111111111,17.413793103448278,14.7
sentence_length_median,18.0,17.5,17.0,15.0
sentence_length_std,7.4013925882159475,5.258737584977436,6.723695829851781,4.148493702538308
syllables_per_token_mean,2.2213438735177866,2.4447852760736195,2.2,2.419501133786848
syllables_per_token_median,2.0,2.0,2.0,2.0
syllables_per_token_std,1.4658224135802282,1.8306408202564866,1.43974695246377,1.5601269573385967
n_tokens,506,326,505,441
n_unique_tokens,318,201,244,217
proportion_unique_tokens,0.6284584980237155,0.6165644171779141,0.48316831683168315,0.49206349206349204
n_characters,3520,2418,3409,3288
n_sentences,28,18,29,30
pos_prop_PROPN,0.019097222222222224,0.01092896174863388,0.026785714285714284,0.006024096385542169
pos_prop_VERB,0.08680555555555555,0.07923497267759563,0.08928571428571429,0.10240963855421686
pos_prop_PUNCT,0.12152777777777778,0.1092896174863388,0.09821428571428571,0.1144578313253012
pos_prop_NUM,0.013888888888888888,0.00273224043715847,0.008928571428571428,
pos_prop_NOUN,0.21180555555555555,0.2540983606557377,0.24285714285714285,0.24899598393574296
pos_prop_ADP,0.09375,0.12568306010928962,0.11607142857142858,0.11044176706827309
pos_prop_DET,0.13020833333333334,0.12295081967213115,0.16071428571428573,0.11244979919678715
pos_prop_AUX,0.052083333333333336,0.05191256830601093,0.055357142857142855,0.05622489959839357
pos_prop_ADV,0.10243055555555555,0.07103825136612021,0.048214285714285716,0.07630522088353414
pos_prop_SCONJ,0.026041666666666668,0.02185792349726776,0.0125,0.008032128514056224
pos_prop_CCONJ,0.029513888888888888,0.04371584699453552,0.039285714285714285,0.050200803212851405
pos_prop_ADJ,0.0642361111111111,0.06830601092896176,0.05714285714285714,0.060240963855421686
pos_prop_PRON,0.034722222222222224,0.03278688524590164,0.030357142857142857,0.028112449799196786
pos_prop_PART,0.013888888888888888,0.00546448087431694,0.014285714285714285,0.02610441767068273
connectives,26,12,14,16
duplicate_ngram_chr_fraction_6,,0.024790375501275976,,0.05686695278969957
duplicate_ngram_chr_fraction_7,,0.024790375501275976,,0.03648068669527897
duplicate_ngram_chr_fraction_8,,,,0.03648068669527897
duplicate_ngram_chr_fraction_9,,,,0.03648068669527897
duplicate_ngram_chr_fraction_10,,,,0.03648068669527897
top_ngram_chr_fraction_3,,,,0.017703862660944206
