,human,continue,create,explain
flesch_reading_ease,27.00535068134579,20.264006696428567,16.993382352941182,6.866661209789612
flesch_kincaid_grade,18.74466852933706,19.876071428571432,20.274801835627873,23.167547638773822
smog,16.107587411246,17.32091003255046,17.922666924610887,18.17996563858
gunning_fog,19.153263906527815,21.828571428571433,22.805506883604508,23.302071251035628
automated_readability_index,15.774552324104647,18.32044642857143,19.76730913642053,21.866497514498754
coleman_liau_index,18.611259842519683,21.9875,23.492198581560285,26.051971830985917
lix,50.24536449072899,57.964285714285715,61.091781393408425,64.06503728251865
rix,5.548387096774194,6.714285714285714,7.382352941176471,7.911764705882353
token_length_mean,6.159448818897638,6.741071428571429,6.98581560283688,7.419014084507042
token_length_median,5.0,6.0,6.0,6.0
token_length_std,4.5692580777669765,4.407674993921491,4.423880738525025,4.679945724655054
sentence_length_mean,16.387096774193548,16.0,16.58823529411765,16.705882352941178
sentence_length_median,14.0,17.0,17.0,15.0
sentence_length_std,12.385416552711625,8.532291603080617,6.278430147824157,7.118862317255583
syllables_per_token_mean,2.3681102362204722,2.476785714285714,2.4911347517730498,2.732394366197183
syllables_per_token_median,2.0,2.0,2.0,2.0
syllables_per_token_std,1.9299562364111131,1.8495647240276145,1.795855983184179,2.0723379087049447
n_tokens,508,560,564,568
n_unique_tokens,254,303,358,318
proportion_unique_tokens,0.5,0.5410714285714285,0.6347517730496454,0.5598591549295775
n_characters,3217,3839,4020,4300
n_sentences,31,35,34,34
entropy,7.615074033173024,8.585111595945524,8.052795077387628,8.382497936809596
perplexity,2028.5449328406917,5351.3898754032325,3142.5664234832293,4369.911065811191
per_word_perplexity,3.3364225869090323,8.562223800645173,4.910260036692546,6.681821201546164
passed_quality_check,True,True,True,True
n_stop_words,210.0,256.0,248.0,251.0
alpha_ratio,0.756578947368421,0.8624,0.85625,0.8669724770642202
mean_word_length,5.310855263157895,6.144,6.284375,6.574923547400612
doc_length,608.0,625.0,640.0,654.0
symbol_to_word_ratio_#,0.0,0.0,0.0,0.0
proportion_ellipsis,0.0,0.0,0.0,0.0
proportion_bullet_points,0.0,0.0,0.0,0.0
contains_lorem ipsum,0.0,0.0,0.0,0.0
duplicate_line_chr_fraction,0.0,0.0,0.0,0.0
duplicate_paragraph_chr_fraction,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_5,0.05659871244635193,0.005497022446174988,0.0,0.05912543625538904
duplicate_ngram_chr_fraction_6,0.03567596566523605,0.0,0.0,0.03407924450831452
duplicate_ngram_chr_fraction_7,0.02682403433476395,0.0,0.0,0.03407924450831452
duplicate_ngram_chr_fraction_8,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_9,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_10,0.0,0.0,0.0,0.0
top_ngram_chr_fraction_2,0.011802575107296138,0.006184150251946862,0.006565988181221274,0.005132416341613631
top_ngram_chr_fraction_3,0.012070815450643776,0.006871278057718736,0.003939592908732764,0.0
top_ngram_chr_fraction_4,0.012875536480686695,0.006871278057718736,0.0,0.0
oov_ratio,0.11677631578947369,0.0752,0.0859375,0.09021406727828746
pos_prop_PROPN,0.06414473684210527,0.0352,0.0375,0.04434250764525994
pos_prop_PUNCT,0.11513157894736842,0.0928,0.1140625,0.13149847094801223
pos_prop_SPACE,0.014802631578947368,0.0304,0.021875,
pos_prop_NOUN,0.25164473684210525,0.2448,0.221875,0.22477064220183487
pos_prop_ADV,0.04276315789473684,0.0656,0.0640625,0.0856269113149847
pos_prop_AUX,0.03125,0.0544,0.0390625,0.045871559633027525
pos_prop_DET,0.09210526315789473,0.1136,0.14375,0.0963302752293578
pos_prop_ADJ,0.07730263157894737,0.0864,0.0890625,0.09327217125382263
pos_prop_CCONJ,0.03618421052631579,0.0384,0.03125,0.04128440366972477
pos_prop_PRON,0.008223684210526315,0.024,0.0265625,0.027522935779816515
pos_prop_VERB,0.039473684210526314,0.0592,0.071875,0.0672782874617737
pos_prop_ADP,0.14967105263157895,0.1264,0.1046875,0.1162079510703364
pos_prop_SCONJ,0.006578947368421052,0.0128,0.0140625,0.010703363914373088
pos_prop_X,0.008223684210526315,0.0032,0.003125,0.00764525993883792
pos_prop_NUM,0.06085526315789474,0.0048,0.00625,0.0045871559633027525
pos_prop_PART,0.001644736842105263,0.008,0.0109375,0.0030581039755351682
first_order_coherence,0.3691994193941355,0.540912942851291,0.5125967316103704,0.48233921990983863
second_order_coherence,0.35935169511378323,0.5407269831859705,0.5500836342107505,0.5099440348567441
dependency_distance_mean,2.528066383641451,2.521966868368816,2.859710258462293,2.977188432145269
dependency_distance_std,1.29472876416649,1.1622925202316672,0.7222729338333747,0.9494824572967524
prop_adjacent_dependency_relation_mean,0.5026609317088592,0.47281597359226574,0.4473610162846614,0.48025689844398195
prop_adjacent_dependency_relation_std,0.14394211384759006,0.11402443584788476,0.0670644876215706,0.09309624012960567
connectives,6,22,15,26
connectives_cap,2,4,7,7
