,human,continue,create,explain
passed_quality_check,True,True,True,True
n_stop_words,400.0,328.0,186.0,347.0
alpha_ratio,0.8535645472061657,0.8736532810969637,0.880718954248366,0.8992731048805815
mean_word_length,4.972061657032755,5.841332027424094,6.138888888888889,5.73208722741433
doc_length,1038.0,1021.0,612.0,963.0
duplicate_ngram_chr_fraction_5,0.015886149263610788,0.06602395559450774,0.08292340126493324,0.09025270758122744
top_ngram_chr_fraction_2,0.026476915439351316,0.0052585451358457495,0.030920590302178495,0.005179720609009575
top_ngram_chr_fraction_3,0.006619228859837829,0.009348524685947998,0.018739751698289998,0.019777115052582013
top_ngram_chr_fraction_4,0.004964421644878371,0.020157756354075372,0.014054813773717497,0.025113796892167636
oov_ratio,0.005780346820809248,0.0019588638589618022,0.029411764705882353,0.012461059190031152
pos_prop_ADP,0.11657032755298652,0.10284035259549461,0.10620915032679738,0.12668743509865005
pos_prop_DET,0.06165703275529865,0.04995102840352596,0.049019607843137254,0.07268951194184839
pos_prop_ADJ,0.08766859344894026,0.12732615083251714,0.13398692810457516,0.08515057113187954
pos_prop_NOUN,0.2418111753371869,0.28697355533790403,0.29901960784313725,0.2834890965732087
pos_prop_PUNCT,0.11753371868978806,0.11949069539666993,0.09803921568627451,0.08618899273104881
pos_prop_AUX,0.041425818882466284,0.031341821743388835,0.0392156862745098,0.024922118380062305
pos_prop_VERB,0.11368015414258188,0.13320274240940255,0.12418300653594772,0.15472481827622014
pos_prop_CCONJ,0.05684007707129094,0.04211557296767875,0.03594771241830065,0.03842159916926272
pos_prop_SCONJ,0.011560693641618497,0.009794319294809012,0.011437908496732025,0.016614745586708203
pos_prop_X,0.014450867052023121,0.0039177277179236044,,
pos_prop_PROPN,0.02601156069364162,0.012732615083251714,0.00980392156862745,0.0020768431983385254
pos_prop_NUM,0.014450867052023121,,0.0032679738562091504,0.006230529595015576
pos_prop_PRON,0.04431599229287091,0.039177277179236046,0.032679738562091505,0.03115264797507788
pos_prop_ADV,0.03371868978805395,0.02840352595494613,0.024509803921568627,0.03842159916926272
pos_prop_PART,0.018304431599229287,0.012732615083251714,0.0196078431372549,0.021806853582554516
dependency_distance_mean,3.36024436296344,2.537738032804875,2.7394201131877827,2.979251305560032
dependency_distance_std,1.0942012841857314,0.7443111102365049,0.5683505612654697,0.6224663150079099
prop_adjacent_dependency_relation_mean,0.44143762850910795,0.4557615833863154,0.46690570204718457,0.5098448850560231
prop_adjacent_dependency_relation_std,0.06956377938646895,0.08748581096940251,0.08318842737222676,0.060385267754955084
entropy,26.068741343636468,24.073976972507303,14.054816279464344,22.436806726319336
perplexity,209657554469.9188,28523010160.06538,1270366.8556828215,5548573620.285952
per_word_perplexity,201982229.73980615,27936346.87567618,2075.7628360830417,5761758.691885724
token_length_mean,5.586206896551724,6.527964205816555,6.641681901279708,6.178409090909091
token_length_median,5.0,6.0,6.0,5.0
token_length_std,3.2180782728702413,3.4661677216104225,4.827134163028913,3.3718402334507718
sentence_length_mean,26.441176470588236,21.285714285714285,23.782608695652176,29.333333333333332
sentence_length_median,24.0,22.0,25.0,23.5
sentence_length_std,13.30897789965721,8.987519691443332,8.948920370827011,14.790387268613204
syllables_per_token_mean,1.685205784204672,1.9574944071588367,1.9945155393053016,1.8477272727272727
syllables_per_token_median,1.0,2.0,2.0,1.0
syllables_per_token_std,1.0214132485892693,1.1587546290035593,1.3213086600676862,1.110689514827212
n_tokens,899,894,547,880
n_unique_tokens,429,354,290,371
proportion_unique_tokens,0.4771968854282536,0.3959731543624161,0.5301645338208409,0.42159090909090907
n_characters,5161,5964,3757,5520
n_sentences,34,42,23,30
first_order_coherence,0.8181767815893347,0.7865812218770748,0.8864373510534113,0.885505145993726
second_order_coherence,0.7905724113807082,0.7859479390084744,0.8812720463389442,0.884911543556622
flesch_reading_ease,37.4287965386377,19.62597315436244,13.959637548684555,20.7439393939394
flesch_kincaid_grade,14.607487077144544,15.809862575902844,17.220500755106908,17.653181818181817
smog,16.739915022923324,17.26055410069325,18.149433652867973,18.808828122642943
gunning_fog,19.1637898318393,20.013167146053053,21.140100151021382,22.006060606060608
automated_readability_index,18.101622718052738,19.959568552253117,21.74362610285351,22.336973484848485
coleman_liau_index,15.92743047830923,21.193825503355708,22.008482632541135,19.51995454545455
lix,62.036282143558196,70.1671460530521,69.30363246164852,74.10606060606061
rix,9.411764705882353,10.404761904761905,10.826086956521738,13.133333333333333
connectives,14,20,11,25
connectives_cap,3,4,3,1
duplicate_ngram_chr_fraction_6,,0.015483494011101374,0.05996720543452799,0.07879453774917596
duplicate_ngram_chr_fraction_7,,0.015483494011101374,0.04356992269852424,0.04049599748862031
duplicate_ngram_chr_fraction_8,,0.015483494011101374,0.04356992269852424,0.01789358028566944
duplicate_ngram_chr_fraction_9,,,0.04356992269852424,
duplicate_ngram_chr_fraction_10,,,0.04356992269852424,
pos_prop_SPACE,,,0.013071895424836602,0.01142263759086189
