gpt,human
26,20
18,21
23,28
18,19
24,24
28,25
19,21
25,28
23,19
20,20
22,21
21,21
22,20
26,26
23,21
28,25
25,28
31,28
22,28
27,25
29,27
29,42
33,31
28,23
29,15
25,29
21,34
25,30
25,27
20,22
29,34
33,33
28,26
24,26
23,26
25,27
25,23
23,38
20,26
24,31
26,26
29,38
21,19
26,23
24,30
20,23
23,18
20,19
27,23
21,21
25,23
28,30
24,25
25,16
21,25
28,32
24,21
26,27
26,23
31,41
17,24
29,21
27,30
38,40
29,34
25,33
25,24
32,30
37,27
30,36
18,16
19,21
21,19
24,27
25,25
24,25
21,25
30,25
20,30
24,21
29,24
36,41
31,26
30,34
26,28
38,48
24,22
19,26
20,22
34,28
27,44
25,37
22,27
28,37
20,23
20,9
35,40
17,24
24,17
26,28
