,human,continue,create,explain
first_order_coherence,0.7028645739473146,0.8371983543038368,0.5666156094853899,0.6757087862262359
second_order_coherence,0.699966087937355,0.7941456592601278,0.6335795085739206,0.6462199029326439
dependency_distance_mean,2.437046058659836,2.4930939864818598,2.630138523921158,2.636961020709482
dependency_distance_std,0.6303263485788438,0.5669174984574109,1.1227854645815316,0.8967530379888092
prop_adjacent_dependency_relation_mean,0.4471763817463103,0.48685981860381455,0.4734155976971524,0.4812023138224965
prop_adjacent_dependency_relation_std,0.08377991464470869,0.06263803642276392,0.07586509510686158,0.07333876994930129
entropy,16.530331436373437,13.326383805042404,13.900797037083109,13.141022283086556
perplexity,15101904.75240815,613161.6020434619,1089029.0060842535,509417.0354150304
per_word_perplexity,27863.292901122048,1083.3243852357984,1836.4738719801915,836.4811747373241
token_length_mean,5.047311827956989,5.786138613861386,5.3843137254901965,6.064077669902913
token_length_median,4.0,5.0,5.0,6.0
token_length_std,3.0596082185715248,3.1443499447176047,2.9354742108819125,3.269418592917548
sentence_length_mean,15.5,20.2,17.586206896551722,19.074074074074073
sentence_length_median,13.5,18.0,19.0,18.0
sentence_length_std,7.636534990862457,7.904429138147801,10.662590878067858,10.135840062485734
syllables_per_token_mean,1.5956989247311828,1.803960396039604,1.6568627450980393,1.895145631067961
syllables_per_token_median,1.0,1.0,1.0,1.0
syllables_per_token_std,1.0493125223539155,1.148043604243065,0.9382409285384119,1.1678025701586985
n_tokens,465,505,510,515
n_unique_tokens,255,280,288,301
proportion_unique_tokens,0.5483870967741935,0.5544554455445545,0.5647058823529412,0.5844660194174758
n_characters,2425,2984,2831,3218
n_sentences,30,25,29,27
flesch_reading_ease,56.10637096774195,33.71695049504953,48.81441176470591,27.145494426465348
flesch_kincaid_grade,9.284247311827958,13.574732673267327,10.819601081812039,14.211607335490829
smog,12.040495906366182,15.59284089910409,13.359377425705354,15.808213051699546
gunning_fog,12.479569892473119,17.505742574257425,14.328600405679513,17.95972671700827
automated_readability_index,10.092838709677416,15.922712871287125,12.723221095334686,16.668842862279753
coleman_liau_index,11.968516129032253,16.75714851485149,14.176627450980394,18.304932038834952
lix,43.88709677419355,60.2,55.62542258282623,61.98669543329737
rix,4.4,8.08,6.689655172413793,8.185185185185185
pos_prop_PRON,0.01107011070110701,0.03180212014134275,0.03541315345699832,0.006568144499178982
pos_prop_NOUN,0.25092250922509224,0.3003533568904594,0.2799325463743676,0.3021346469622332
pos_prop_AUX,0.05350553505535055,0.026501766784452298,0.02866779089376054,0.021346469622331693
pos_prop_VERB,0.07564575645756458,0.09540636042402827,0.10792580101180438,0.09195402298850575
pos_prop_PUNCT,0.12730627306273062,0.10070671378091872,0.1281618887015177,0.13793103448275862
pos_prop_DET,0.12730627306273062,0.09010600706713781,0.06745362563237774,0.059113300492610835
pos_prop_PART,0.012915129151291513,0.015901060070671377,0.011804384485666104,0.008210180623973728
pos_prop_ADV,0.01845018450184502,0.024734982332155476,0.03035413153456998,0.014778325123152709
pos_prop_ADJ,0.1014760147601476,0.13074204946996468,0.11973018549747048,0.13464696223316913
pos_prop_CCONJ,0.042435424354243544,0.038869257950530034,0.03372681281618887,0.024630541871921183
pos_prop_ADP,0.08856088560885608,0.11837455830388692,0.10118043844856661,0.11330049261083744
pos_prop_NUM,0.03136531365313653,0.0035335689045936395,0.013490725126475547,0.021346469622331693
pos_prop_SYM,0.01107011070110701,,,0.009852216748768473
pos_prop_PROPN,0.042435424354243544,0.015901060070671377,0.01011804384485666,0.042692939244663386
pos_prop_SCONJ,0.005535055350553505,0.007067137809187279,0.01517706576728499,0.009852216748768473
passed_quality_check,True,True,True,True
n_stop_words,200.0,208.0,197.0,166.0
alpha_ratio,0.8339483394833949,0.8904593639575972,0.8381112984822934,0.8357963875205254
mean_word_length,4.474169741697417,5.27208480565371,4.7740303541315345,5.284072249589491
doc_length,542.0,566.0,593.0,609.0
top_ngram_chr_fraction_2,0.015663069961712496,0.007185972980741593,0.010823812387251955,0.008079719903043361
top_ngram_chr_fraction_3,0.016707274625826662,0.012072434607645875,0.009019843656043296,0.01077295987072448
oov_ratio,0.01845018450184502,,0.0016863406408094434,0.014778325123152709
connectives,6,12,12,14
connectives_cap,1,3,4,4
duplicate_ngram_chr_fraction_5,,0.020695602184535786,0.03848466626578473,0.013466199838405602
duplicate_ngram_chr_fraction_6,,0.00862316757688991,0.02465423932651834,
pos_prop_X,,,0.016863406408094434,0.0016420361247947454
duplicate_ngram_chr_fraction_7,,,0.015634395670475046,
top_ngram_chr_fraction_4,,,,0.01454349582547805
