,human-full,create,explain,human-cont,continue
token_length_mean,4.7097591888466415,5.299847792998478,5.033033033033033,4.75975975975976,5.411940298507463
token_length_median,4.0,5.0,4.0,4.0,5.0
token_length_std,2.559441591467599,2.981916575099192,2.744711888935371,2.568450755148708,3.0030592554856654
sentence_length_mean,21.324324324324323,26.28,18.5,22.2,19.705882352941178
sentence_length_median,21.0,24.0,17.5,21.0,19.0
sentence_length_std,11.568956723862248,8.146262946897798,5.068968775248516,10.805554127392078,4.253229995888287
syllables_per_token_mean,1.4068441064638784,1.5875190258751903,1.4774774774774775,1.4159159159159158,1.5970149253731343
syllables_per_token_median,1.0,1.0,1.0,1.0,1.0
syllables_per_token_std,0.7622286064216708,0.895802537231881,0.8294161647916328,0.7728416533534506,0.8751921152428211
n_tokens,789,657,333,666,335
n_unique_tokens,316,306,185,286,200
proportion_unique_tokens,0.4005069708491762,0.4657534246575342,0.5555555555555556,0.4294294294294294,0.5970149253731343
n_characters,3925,3619,1716,3337,1870
n_sentences,37,25,18,30,17
flesch_reading_ease,66.17179940396673,45.85669041095889,63.06290540540542,64.51551351351355,51.72606672519757
flesch_kincaid_grade,9.327246942760251,13.39192450532725,9.059234234234236,9.775807807807805,10.940070237050048
smog,12.137299328119639,15.220704757020467,11.750952952430431,12.340626583579944,13.681092451943961
gunning_fog,13.193861542150515,17.330873668188737,12.324924924924925,13.564684684684686,14.807726075504831
automated_readability_index,11.41512794162984,16.672283105022835,11.525585585585581,12.08846846846847,13.913179982440738
coleman_liau_index,10.505297845373889,14.23677321156773,12.19423423423423,10.854054054054053,14.52011940298507
lix,45.78566779707464,61.2876103500761,47.629129129129126,47.42522522522522,55.8252853380158
rix,5.216216216216216,9.2,5.388888888888889,5.6,7.117647058823529
entropy,29.418358993565395,21.926897060214472,10.665096158945543,25.471844719491177,11.234091968673308
perplexity,5973529015520.615,3332194924.2476416,42834.37266663163,115420142343.1815,75666.58803980029
per_word_perplexity,6281313370.684138,4396035.520115622,116.08231074967921,143736167.3015959,200.1761588354505
dependency_distance_mean,2.9333950100818895,3.178059071696052,2.845905874764109,3.0154784144357105,2.8457118991340593
dependency_distance_std,1.0492384740261274,0.7086359641141391,0.7721737325827277,0.8857537128209874,0.5084516552453066
prop_adjacent_dependency_relation_mean,0.4097817635832753,0.46733620095444045,0.4692749346484491,0.41928570717713687,0.4761328740232904
prop_adjacent_dependency_relation_std,0.11771969681545365,0.054188393055157755,0.07547989383286346,0.10324894940654333,0.08676866247048752
passed_quality_check,True,True,True,True,True
n_stop_words,384.0,290.0,152.0,326.0,156.0
alpha_ratio,0.8401682439537329,0.8786279683377308,0.9105691056910569,0.8393524283935243,0.8968253968253969
mean_word_length,4.127234490010515,4.774406332453826,4.650406504065041,4.155666251556663,4.947089947089947
doc_length,951.0,758.0,369.0,803.0,378.0
duplicate_ngram_chr_fraction_5,0.06955046649703138,0.030395136778115502,0.029339853300733496,0.07646176911544228,
duplicate_ngram_chr_fraction_6,0.041560644614079725,,,0.04897551224387806,
duplicate_ngram_chr_fraction_7,0.010602205258693808,,,0.01249375312343828,
top_ngram_chr_fraction_2,0.018023748939779476,0.024549918166939442,0.0058679706601467,0.02123938030984508,0.027198549410698096
top_ngram_chr_fraction_3,0.026717557251908396,0.009819967266775777,0.03227383863080684,0.031484257871064465,
top_ngram_chr_fraction_4,0.02820186598812553,,,0.033233383308345826,
oov_ratio,0.011566771819137749,0.002638522427440633,0.02168021680216802,0.012453300124533,0.021164021164021163
first_order_coherence,0.7169088042444653,0.8071280295650164,0.7906531060443205,0.7590604547796578,0.8369742445647717
second_order_coherence,0.6974454624312264,0.8199196755886078,0.7485596910119057,0.759205946964877,0.8377700487772624
pos_prop_DET,0.10410094637223975,0.09366754617414248,0.10569105691056911,0.10834371108343711,0.09523809523809523
pos_prop_NUM,0.010515247108307046,0.002638522427440633,0.0027100271002710027,0.009962640099626401,
pos_prop_PUNCT,0.15352260778128285,0.11873350923482849,0.08672086720867209,0.15442092154420922,0.10317460317460317
pos_prop_NOUN,0.1819137749737119,0.21899736147757257,0.24119241192411925,0.18181818181818182,0.24338624338624337
pos_prop_ADJ,0.04942166140904311,0.06992084432717678,0.06233062330623306,0.047322540473225407,0.06084656084656084
pos_prop_PROPN,0.08622502628811778,0.08839050131926121,0.07317073170731707,0.08094645080946451,0.047619047619047616
pos_prop_VERB,0.12933753943217666,0.12401055408970976,0.12466124661246612,0.1320049813200498,0.13756613756613756
pos_prop_PART,0.030494216614090432,0.032981530343007916,0.02981029810298103,0.0323785803237858,0.021164021164021163
pos_prop_CCONJ,0.02103049421661409,0.025065963060686015,0.04336043360433604,0.019925280199252802,0.05026455026455026
pos_prop_ADP,0.08096740273396424,0.11081794195250659,0.1111111111111111,0.08094645080946451,0.1111111111111111
pos_prop_PRON,0.07360672975814932,0.051451187335092345,0.04878048780487805,0.07098381070983811,0.05555555555555555
pos_prop_AUX,0.04206098843322818,0.023746701846965697,0.04065040650406504,0.0410958904109589,0.03439153439153439
pos_prop_SCONJ,0.019978969505783387,0.022427440633245383,0.016260162601626018,0.021170610211706103,0.013227513227513227
pos_prop_ADV,0.015772870662460567,0.017150395778364115,0.013550135501355014,0.017434620174346202,0.026455026455026454
pos_prop_SYM,0.0010515247108307045,,,0.0012453300124533001,
connectives,16,12,8,12,8
